Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-26,OKC,CHO,1,2,24.05,9,8,4,4,1,2,1,4,3,1,0,1,2,21,10
2020-12-28,OKC,UTA,0,-1,25.07,13,5,4,0,4,5,3,5,4,1,0,0,0,14,6
2020-12-31,OKC,NOP,0,-33,24.22,7,3,5,2,0,0,0,0,4,0,0,2,1,8,-7
2021-01-02,OKC,ORL,1,9,27.55,12,7,7,3,1,1,0,1,5,2,0,1,0,18,-2
2021-01-04,OKC,MIA,1,-28,21.23,5,1,3,1,0,0,0,0,2,0,1,0,0,3,-5
2021-01-06,OKC,NOP,1,1,27.2,9,4,7,3,2,2,1,3,4,2,0,1,1,13,4
2021-01-08,OKC,NYK,1,12,28.47,4,1,2,0,2,2,1,2,3,0,1,1,4,4,-2
2021-01-10,OKC,BRK,1,13,28.08,12,6,6,2,0,0,0,0,3,2,0,1,1,14,-5
2021-01-12,OKC,SAS,0,-10,28.02,4,3,1,0,6,6,0,5,5,0,0,2,2,12,8
2021-01-13,OKC,LAL,0,-29,21.58,8,4,1,0,2,2,0,2,2,2,0,0,0,10,-21
2021-01-15,OKC,CHI,0,2,32.88,11,3,5,0,2,4,1,2,3,0,0,0,1,8,20
2021-01-19,OKC,DEN,1,-18,21.98,5,2,3,2,0,0,0,0,2,0,0,1,0,6,-12
2021-01-22,OKC,LAC,1,-14,29.97,9,5,5,2,0,0,1,5,1,0,0,2,0,12,-4
2021-01-24,OKC,LAC,1,-8,28.28,12,9,4,3,1,1,0,0,2,2,0,0,0,22,-6
2021-04-19,PHI,GSW,0,-11,17.5,5,1,1,0,0,0,1,2,2,0,2,2,0,2,-13
2021-04-21,PHI,PHO,0,-3,23.12,5,4,2,2,1,3,0,1,2,0,1,0,4,11,5
2021-04-22,PHI,MIL,1,-7,21.13,4,3,0,0,0,0,1,4,0,0,0,1,0,6,-15
2021-04-24,PHI,MIL,1,-38,16.93,6,2,1,0,2,2,0,1,1,1,0,2,0,6,-14
2021-04-26,PHI,OKC,0,31,14.02,2,1,0,0,0,0,1,1,3,2,0,2,1,2,18
2021-04-28,PHI,ATL,0,44,22.0,7,3,4,1,0,1,0,6,3,0,0,1,1,7,14
2021-04-30,PHI,ATL,0,22,19.72,6,0,1,0,4,4,3,5,2,0,0,1,0,4,18
2021-05-02,PHI,SAS,1,2,19.22,3,1,0,0,3,4,1,2,1,0,0,0,0,5,-3
2021-05-03,PHI,CHI,1,12,13.33,3,2,1,0,1,2,0,2,1,0,0,3,1,5,-1
2021-05-05,PHI,HOU,1,20,18.87,2,1,0,0,0,0,0,1,4,3,0,0,3,2,10
2021-05-07,PHI,NOP,0,2,16.77,7,4,3,1,2,2,0,2,0,0,0,1,1,11,-11
2021-05-08,PHI,DET,0,14,23.73,7,2,3,1,0,0,1,2,2,1,0,3,2,5,-3
2021-05-11,PHI,IND,1,-9,19.28,6,3,1,0,2,3,0,1,3,2,0,1,2,8,-3
2021-05-13,PHI,MIA,1,-12,17.23,3,1,0,0,3,3,0,1,1,1,0,1,1,5,-10
2021-05-14,PHI,ORL,0,25,17.68,5,1,2,1,0,0,0,0,1,0,0,1,3,3,2
2021-05-16,PHI,ORL,0,11,22.47,6,5,4,3,1,1,0,1,4,1,0,0,0,14,14
