Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2021-01-17,IND,LAC,1, -33,15:35,5,2,1,0,2,0,2,1,1,2,5
2021-01-22,IND,ORL,0, +2,0:20,0,0,0,0,0,0,0,0,0,0,0
2021-01-25,IND,TOR,0, +15,11:57,5,3,1,0,2,0,0,2,0,2,10
2021-01-27,IND,CHO,1, +10,10:50,4,1,2,0,4,2,0,2,1,0,2
2021-01-29,IND,CHO,1, -3,9:13,4,4,0,0,2,0,0,0,0,1,8
2021-01-31,IND,PHI,0, -9,5:43,1,1,0,0,1,0,0,1,1,2,3
2021-02-02,IND,MEM,0, +18,6:37,0,0,0,0,0,0,0,0,0,3,3
2021-02-03,IND,MIL,1, -20,12:35,3,3,0,0,5,0,0,2,0,1,6
2021-02-05,IND,NOP,0, -1,19:11,7,4,4,2,3,0,0,2,1,6,10
2021-02-07,IND,UTA,0, -8,15:19,7,2,4,0,5,0,0,1,0,3,4
2021-02-10,IND,BRK,1, -10,12:42,2,2,0,0,5,0,1,3,0,2,4
2021-02-11,IND,DET,1, +16,1:39,0,0,0,0,0,1,0,0,0,0,0
2021-02-15,IND,CHI,0, -8,2:24,0,0,0,0,0,0,0,0,0,1,0
2021-02-24,IND,GSW,0, -4,2:42,1,0,0,0,0,0,0,0,0,1,0
2021-02-27,IND,NYK,1, -3,11:23,4,2,2,0,2,0,0,1,1,1,5
2021-03-01,IND,PHI,1, -16,9:31,4,0,1,0,1,1,0,0,3,1,0
2021-03-12,IND,LAL,1, -5,10:07,4,1,2,1,2,1,0,0,0,0,3
2021-03-13,IND,PHO,1, +11,2:43,1,0,1,0,1,0,0,0,0,1,2
2021-03-15,IND,DEN,1, -15,9:02,3,1,1,0,2,0,2,3,0,0,3
2021-03-17,IND,BRK,0, -9,3:05,0,0,0,0,2,1,0,0,0,2,1
2021-03-19,IND,MIA,1, +27,17:45,4,2,2,0,4,0,0,2,0,2,6
2021-03-21,IND,MIA,1, +3,9:20,3,1,1,0,3,0,0,2,0,1,2
2021-03-22,IND,MIL,1, -27,18:49,10,4,3,1,5,0,0,1,0,3,10
2021-03-24,IND,DET,0, +5,11:16,7,4,2,1,5,0,0,1,1,2,9
2021-03-26,IND,DAL,1, +15,10:41,5,3,1,0,6,1,0,3,0,1,6
2021-03-29,IND,WAS,1, -8,7:03,3,3,1,1,1,1,0,1,1,3,8
2021-03-31,IND,MIA,0, -5,10:41,6,3,1,1,3,1,0,0,0,5,7
2021-04-02,IND,CHO,0, -17,10:47,5,4,2,1,7,1,0,0,0,1,10
2021-04-03,IND,SAS,1, +6,14:37,5,2,1,0,7,1,0,0,1,3,8
2021-04-06,IND,CHI,0, -16,18:39,6,2,3,0,3,6,1,3,1,2,4
2021-04-07,IND,MIN,0, +4,25:24,11,6,4,2,3,5,1,1,0,4,14
2021-04-09,IND,ORL,1, +5,15:19,7,2,3,1,7,0,0,2,1,4,5
2021-04-11,IND,MEM,1, +7,18:21,7,2,4,1,6,1,0,5,0,2,7
2021-04-13,IND,LAC,0, -11,11:18,4,0,2,0,2,0,0,1,0,1,0
2021-04-14,IND,HOU,1, +8,11:09,2,1,1,0,5,3,0,1,1,1,4
2021-04-16,IND,UTA,1, -8,12:25,6,4,4,3,4,0,1,0,2,3,13
2021-04-19,IND,SAS,0, -15,22:47,7,1,2,0,9,0,0,5,0,4,7
2021-05-05,IND,SAC,0, -11,20:37,4,2,2,1,6,2,0,2,0,3,5
2021-05-06,IND,ATL,0, +7,14:28,4,1,3,0,1,1,0,1,0,2,2
2021-05-08,IND,WAS,0, -1,15:42,7,3,4,1,2,2,1,3,0,2,7
2021-05-10,IND,CLE,1, +9,9:04,4,0,3,0,3,0,0,2,0,2,0
2021-05-11,IND,PHI,0, +9,17:30,4,0,3,0,2,1,0,2,0,3,4
2021-05-13,IND,MIL,0, -9,23:55,5,2,3,2,6,4,0,0,0,5,10
2021-05-15,IND,LAL,0, -7,29:52,8,3,3,1,7,1,0,4,1,4,10
2021-05-16,IND,TOR,1, +12,11:06,5,2,2,0,4,0,0,0,0,2,4
