Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,MEM,SAS,0,-12,11.77,3,2,2,1,0,0,0,1,1,1,2,1,2,5,-6
2020-12-26,MEM,ATL,0,-10,6.97,5,2,3,1,0,0,0,2,0,0,0,1,1,5,-14
2020-12-28,MEM,BRK,1,5,13.88,7,3,3,1,0,0,2,5,1,1,1,1,0,7,-4
2020-12-30,MEM,BOS,1,-19,23.83,10,6,5,2,3,3,2,6,2,1,0,0,2,17,-6
2021-01-01,MEM,CHO,1,15,22.22,9,5,5,2,2,2,2,8,1,0,2,1,1,14,-2
2021-01-03,MEM,LAL,0,-14,20.8,6,2,2,1,0,0,1,7,4,0,0,1,2,5,3
2021-01-05,MEM,LAL,0,-2,21.63,8,6,1,1,0,0,1,4,1,2,0,2,3,13,8
2021-01-07,MEM,CLE,0,-4,18.13,5,2,2,1,2,2,2,4,3,2,0,2,2,7,-3
2021-01-08,MEM,BRK,0,5,13.85,1,0,1,0,0,0,1,4,1,2,0,1,1,0,-10
2021-01-18,MEM,PHO,0,4,14.53,5,3,1,1,1,1,0,3,2,1,1,0,0,8,10
2021-01-30,MEM,SAS,1,17,26.68,7,4,3,2,5,7,4,7,3,1,2,3,3,15,13
2021-02-01,MEM,SAS,1,31,24.17,10,8,3,3,0,0,4,9,1,0,1,1,5,19,13
2021-02-02,MEM,IND,1,-18,25.02,4,1,0,0,3,4,0,6,1,1,1,2,3,5,2
2021-02-04,MEM,HOU,0,-12,23.05,5,2,4,2,2,2,1,7,1,1,3,2,0,8,20
2021-02-06,MEM,NOP,1,-9,21.05,2,2,1,1,3,4,3,5,2,1,0,1,4,8,-13
2021-02-08,MEM,TOR,0,-15,9.72,0,0,0,0,0,0,0,2,1,1,0,0,0,0,-9
2021-02-10,MEM,CHO,0,16,19.13,2,0,2,0,2,2,3,8,1,1,0,1,1,2,6
2021-02-12,MEM,LAL,1,-10,14.33,1,1,0,0,1,2,1,3,0,0,0,0,4,3,-4
2021-02-16,MEM,NOP,0,-31,5.5,4,1,2,1,2,2,0,0,0,0,0,0,1,5,-8
2021-02-20,MEM,PHO,0,-31,22.97,7,3,3,1,8,8,1,4,2,1,1,2,2,15,-19
2021-02-25,MEM,LAC,0,28,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2021-02-28,MEM,HOU,1,49,8.65,7,3,5,2,4,4,0,3,1,0,0,0,1,12,9
2021-03-31,SAS,SAC,0,14,5.57,0,0,0,0,1,2,0,0,0,0,0,0,0,1,-2
2021-04-05,SAS,CLE,0,-24,8.7,3,1,2,1,2,2,0,0,0,1,0,1,4,5,-6
2021-04-07,SAS,DEN,1,-10,9.63,4,1,2,0,1,2,0,2,0,1,0,1,1,3,-13
2021-04-17,SAS,PHO,1,26,20.02,3,2,1,0,1,1,2,10,3,0,1,0,1,5,10
2021-04-19,SAS,IND,1,15,3.13,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-8
2021-04-21,SAS,MIA,0,-20,4.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-4
2021-04-26,SAS,WAS,1,3,8.13,3,2,2,1,1,2,2,4,0,0,0,0,0,6,2
2021-04-28,SAS,MIA,1,-5,6.2,0,0,0,0,2,2,1,2,0,0,0,1,2,2,-11
2021-05-02,SAS,PHI,0,-2,31.48,6,5,4,3,4,4,0,4,3,2,0,2,2,17,13
2021-05-03,SAS,UTA,1,-11,15.6,8,3,2,0,3,3,2,4,3,2,0,0,2,9,-9
2021-05-05,SAS,UTA,1,-32,13.17,5,1,3,0,1,2,0,1,2,1,0,1,2,3,-15
2021-05-08,SAS,POR,1,-22,6.88,3,0,2,0,0,0,0,0,1,0,0,0,0,0,4
2021-05-10,SAS,MIL,0,21,3.97,2,1,0,0,0,0,0,1,0,1,0,1,0,2,-1
2021-05-12,SAS,BRK,1,-12,10.32,4,3,0,0,1,1,2,4,3,0,0,1,0,7,5
2021-05-15,SAS,PHO,0,-37,25.03,9,7,2,1,3,3,2,7,1,1,1,2,1,18,-19
2021-05-16,SAS,PHO,0,-2,9.48,5,3,2,1,0,0,1,3,2,0,0,0,1,7,-4
