Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,MEM,SAS,0, -12,26:57,7,2,6,2,2,5,0,1,0,1,6
2020-12-26,MEM,ATL,0, -10,29:28,6,2,5,1,4,2,0,0,0,0,10
2020-12-28,MEM,BRK,1, +5,23:57,5,0,4,0,4,1,1,0,2,0,3
2020-12-30,MEM,BOS,1, -19,11:35,1,0,1,0,1,2,0,0,1,0,0
2021-01-03,MEM,LAL,0, -14,14:35,6,1,4,1,0,2,1,0,1,2,3
2021-01-05,MEM,LAL,0, -2,15:43,2,1,2,1,3,2,0,0,0,1,3
2021-01-07,MEM,CLE,0, -4,16:09,5,2,5,2,2,0,3,0,1,0,6
2021-01-08,MEM,BRK,0, +5,22:56,7,3,4,2,4,0,2,0,2,2,10
2021-01-11,MEM,CLE,1, +10,17:45,6,3,4,1,2,1,2,0,1,0,7
2021-01-13,MEM,MIN,1, +11,26:28,10,6,5,3,0,2,2,2,1,2,20
2021-01-16,MEM,PHI,0, +2,26:27,9,3,5,3,7,4,0,0,1,2,12
2021-01-18,MEM,PHO,0, +4,26:00,8,4,5,2,6,3,1,0,4,0,16
2021-02-06,MEM,NOP,1, -9,21:43,9,3,5,2,2,1,1,0,0,2,8
2021-02-08,MEM,TOR,0, -15,20:46,6,3,6,3,3,1,1,0,0,2,12
2021-02-10,MEM,CHO,0, +16,29:36,13,5,12,5,3,3,1,0,2,4,18
2021-02-12,MEM,LAL,1, -10,34:39,13,8,10,6,3,1,2,0,3,3,23
2021-02-14,MEM,SAC,1, +14,31:27,7,4,3,2,4,3,1,0,0,1,10
2021-02-16,MEM,NOP,0, -31,25:55,7,3,5,2,1,3,0,0,1,0,8
2021-02-17,MEM,OKC,0, +9,31:57,13,7,10,6,4,3,1,0,0,2,22
2021-02-19,MEM,DET,0, +14,30:20,8,2,3,0,2,6,3,0,0,3,4
2021-02-22,MEM,DAL,1, -10,25:15,6,1,4,0,5,0,1,0,1,2,3
2021-02-25,MEM,LAC,0, +28,22:01,6,4,2,2,0,2,0,0,0,1,10
2021-02-26,MEM,LAC,0, -20,19:21,4,0,3,0,3,3,0,0,0,0,0
2021-03-15,MEM,PHO,1, -23,23:07,8,4,5,2,2,4,2,0,2,1,15
2021-03-17,MEM,MIA,0, +4,24:48,13,3,7,2,6,1,0,0,2,2,9
2021-03-19,MEM,GSW,0, -13,24:27,8,6,3,2,3,3,1,0,2,1,14
2021-03-20,MEM,GSW,0, +8,32:16,9,2,3,0,8,2,3,1,0,0,6
2021-03-22,MEM,BOS,0, +6,33:27,7,3,6,3,4,0,0,1,0,2,9
2021-03-24,MEM,OKC,1, +9,26:06,14,8,9,4,5,2,0,0,2,1,20
2021-03-26,MEM,UTA,1, -3,29:18,13,6,9,5,5,1,0,0,0,2,17
2021-03-27,MEM,UTA,1, -16,23:34,7,2,5,1,3,3,4,0,1,2,9
2021-03-29,MEM,HOU,1, +10,7:07,1,1,0,0,3,1,0,0,0,1,2
2021-04-02,MEM,MIN,0, +12,21:53,7,5,7,5,3,1,0,0,1,0,15
2021-04-04,MEM,PHI,1, +16,26:38,14,5,13,4,5,2,2,2,2,2,15
2021-04-06,MEM,MIA,1, +12,25:23,9,3,5,1,1,3,0,0,0,2,8
2021-04-07,MEM,ATL,1, +18,30:29,18,10,9,3,4,3,0,0,0,2,30
2021-04-09,MEM,NYK,1, -4,32:28,9,3,4,1,0,4,1,0,2,6,10
2021-04-11,MEM,IND,0, -7,21:46,7,2,5,1,1,4,1,0,1,0,5
2021-04-12,MEM,CHI,0, +11,32:09,10,5,9,4,6,2,0,0,4,1,14
2021-04-14,MEM,DAL,0, -1,34:30,13,7,11,6,4,2,2,0,0,2,23
2021-04-16,MEM,CHI,1, +11,26:25,9,3,7,3,3,3,0,0,0,2,11
2021-04-17,MEM,MIL,1, +13,33:54,13,9,10,7,4,1,2,0,1,1,26
2021-04-19,MEM,DEN,1, -2,43:13,20,8,10,3,3,1,3,0,3,2,24
2021-04-21,MEM,LAC,1, -12,26:18,4,1,2,1,2,3,0,0,1,1,6
2021-04-23,MEM,POR,1, +2,22:47,6,1,5,0,6,3,0,0,1,2,2
2021-04-25,MEM,POR,1, +7,26:33,12,3,4,0,5,2,1,1,1,4,9
2021-04-26,MEM,DEN,1, -24,25:08,7,3,6,2,2,0,0,0,0,1,8
2021-04-28,MEM,POR,0, -21,21:56,7,3,3,1,2,2,0,0,0,1,7
2021-05-03,MEM,NYK,0, -14,26:28,5,0,4,0,5,5,1,0,0,0,2
2021-05-05,MEM,MIN,1, +4,6:20,0,0,0,0,0,0,0,0,1,0,2
