Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,POR,UTA,0, -20,4:27,2,1,1,1,2,0,0,1,0,1,3
2020-12-30,POR,LAC,1, -23,8:05,4,3,1,0,5,0,0,1,1,0,7
2021-01-01,POR,GSW,1, +25,13:49,3,1,0,0,5,2,0,1,2,3,3
2021-01-05,POR,CHI,0, -3,4:13,0,0,0,0,1,0,0,0,0,0,0
2021-01-07,POR,MIN,0, +18,11:04,3,1,1,1,2,0,1,0,2,5,3
2021-01-09,POR,SAC,1, +26,5:33,2,0,0,0,2,2,0,2,0,3,0
2021-01-11,POR,TOR,0, +1,4:49,0,0,0,0,3,0,1,0,0,1,2
2021-01-14,POR,IND,0, -24,11:19,3,1,1,0,5,0,2,0,0,2,2
2021-01-16,POR,ATL,0, +6,11:23,2,1,0,0,5,1,0,0,0,1,3
2021-01-18,POR,SAS,0, -21,15:29,2,1,0,0,3,1,0,0,1,1,2
2021-01-24,POR,NYK,0, +3,18:56,7,2,1,0,8,1,0,1,0,1,5
2021-01-25,POR,OKC,0, -3,15:38,2,2,0,0,6,2,0,0,1,1,4
2021-01-28,POR,HOU,1, -3,14:46,4,1,0,0,3,2,0,1,1,2,2
2021-01-30,POR,CHI,1, +1,13:24,5,3,1,1,3,1,0,0,0,3,7
2021-02-01,POR,MIL,1, -28,16:55,6,2,1,0,6,2,0,0,0,1,5
2021-02-02,POR,WAS,1, +11,11:33,4,1,1,0,7,1,0,0,0,1,2
2021-02-04,POR,PHI,1, +16,14:17,4,2,0,0,9,1,0,0,2,5,4
2021-02-06,POR,NYK,1, -11,9:44,0,0,0,0,5,1,0,0,1,0,1
2021-02-09,POR,ORL,0, +9,7:17,0,0,0,0,5,1,0,1,2,1,0
2021-02-11,POR,PHI,0, +4,14:26,1,0,0,0,7,0,1,0,1,5,2
2021-02-12,POR,CLE,0, +19,20:16,5,2,0,0,10,2,0,1,0,4,6
2021-02-14,POR,DAL,1, +3,13:02,3,2,0,0,6,0,0,0,2,3,5
2021-03-21,POR,DAL,0, -40,12:00,2,0,1,0,4,1,0,1,1,1,0
2021-03-31,POR,DET,1, +23,1:17,1,1,0,0,1,0,0,0,0,0,2
2021-04-02,POR,MIL,0, -18,3:44,1,0,1,0,2,0,1,0,0,1,0
2021-04-03,POR,OKC,0, +48,15:50,5,4,3,3,2,1,0,0,1,2,12
2021-04-06,POR,LAC,1, -17,3:55,1,0,0,0,0,0,0,0,0,1,0
2021-04-08,POR,UTA,1, -19,4:45,2,0,1,0,1,1,0,0,0,0,0
2021-04-10,POR,DET,0, +15,1:52,0,0,0,0,0,0,0,0,0,0,1
2021-04-11,POR,MIA,0, -9,4:34,1,1,1,1,0,0,0,0,0,1,3
2021-04-27,POR,IND,1, +21,9:28,5,2,2,1,2,0,0,0,1,2,5
2021-04-28,POR,MEM,1, +21,3:14,2,0,1,0,1,1,0,0,0,0,0
2021-04-30,POR,BRK,1, +19,3:03,1,1,0,0,2,1,0,0,0,0,2
2021-05-03,POR,ATL,1, -9,5:13,4,3,1,0,3,0,1,0,0,0,7
2021-05-05,POR,CLE,1, +36,6:01,5,3,2,0,0,1,1,1,0,1,6
2021-05-08,POR,SAS,0, +22,5:06,2,0,1,0,5,2,0,1,1,1,0
2021-05-10,POR,HOU,0, +11,2:03,0,0,0,0,0,0,0,0,0,0,0
2021-05-16,POR,DEN,0, +16,5:29,3,1,1,0,2,1,0,1,0,0,2
