Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-27,NYK,MIL,0,20,1.27,1,0,0,0,1,0,0,0,0,0,2
2020-12-31,NYK,TOR,1,-17,0.75,0,0,0,0,1,0,0,0,0,0,0
2021-01-10,NYK,DEN,0,-25,1.78,0,0,0,0,0,0,0,0,0,0,0
2021-01-17,NYK,BOS,1,30,3.28,0,0,0,0,0,1,0,0,1,0,0
2021-04-04,PHI,MEM,0,-16,7.9,3,0,1,0,2,0,0,0,0,0,0
2021-05-03,ORL,DET,1,7,31.58,8,5,1,1,3,1,2,0,1,4,14
2021-05-05,ORL,BOS,0,-36,30.42,9,3,2,1,4,1,0,0,1,4,7
2021-05-07,ORL,CHO,1,-10,24.13,11,3,2,1,7,3,0,0,2,1,8
2021-05-09,ORL,MIN,0,-32,35.13,11,7,3,1,6,3,0,0,3,5,16
2021-05-11,ORL,MIL,1,-12,20.42,5,1,2,1,3,1,1,0,0,3,5
2021-05-13,ORL,ATL,1,-23,26.6,14,4,7,1,4,2,0,1,1,1,9
2021-05-14,ORL,PHI,1,-25,31.5,12,9,5,3,6,1,0,2,1,1,21
2021-05-16,ORL,PHI,1,-11,34.03,9,3,5,2,8,4,1,0,2,3,9
