Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,WAS,PHI,1,-6,16.72,3,2,1,1,0,1,1,3,2,2,0,1,2,5,7
2020-12-26,WAS,ORL,0,-10,20.0,5,4,3,2,0,0,0,0,2,0,2,1,3,10,-2
2020-12-27,WAS,ORL,0,-7,18.1,2,2,2,2,0,0,1,7,1,0,1,0,2,6,20
2020-12-29,WAS,CHI,0,-8,15.82,2,0,2,0,0,0,1,4,0,0,0,1,1,0,-4
2021-01-01,WAS,MIN,1,21,4.73,1,0,1,0,0,0,0,1,0,0,0,0,1,0,-13
2021-01-08,WAS,BOS,1,-9,6.3,0,0,0,0,0,0,0,1,1,0,0,0,1,0,-5
2021-01-09,WAS,MIA,0,-4,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-11,WAS,PHO,0,21,12.45,1,1,1,1,0,0,0,2,0,0,0,0,3,3,12
2021-01-24,WAS,SAS,1,-20,32.55,10,3,4,1,0,0,4,7,1,1,1,0,3,7,-13
2021-01-26,WAS,HOU,1,-19,25.63,3,0,2,0,0,0,0,4,0,0,0,1,4,0,-9
2021-01-27,WAS,NOP,1,-18,28.38,5,1,3,1,2,2,0,3,1,1,0,2,1,5,-10
2021-01-29,WAS,ATL,0,-16,15.6,0,0,0,0,0,0,1,3,1,0,0,0,3,0,-11
2021-01-31,WAS,BRK,0,3,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2021-02-02,WAS,POR,0,-11,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2021-02-05,WAS,MIA,1,-27,18.23,2,1,2,1,0,0,0,2,0,0,0,1,1,3,2
2021-02-07,WAS,CHO,1,-22,8.47,1,0,1,0,0,0,0,1,0,0,0,0,0,0,6
2021-02-14,WAS,BOS,0,13,5.3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,-12
2021-02-20,WAS,POR,1,7,5.12,2,1,1,0,0,0,0,2,0,0,0,1,1,2,5
2021-02-23,WAS,LAC,1,-19,7.37,1,1,1,1,0,0,0,1,2,1,0,0,0,3,6
2021-02-27,WAS,MIN,0,16,3.07,1,1,0,0,1,1,0,0,0,0,0,0,1,3,1
2021-02-28,WAS,BOS,1,-1,16.07,5,0,5,0,0,0,0,2,1,1,1,0,2,0,8
2021-03-02,WAS,MEM,0,-14,9.7,0,0,0,0,0,0,1,1,1,0,0,1,1,0,-11
2021-03-12,WAS,PHI,0,-26,6.32,2,0,1,0,0,0,0,2,0,0,0,1,0,0,1
2021-03-13,WAS,MIL,0,-6,8.42,2,1,1,1,0,0,1,1,0,0,0,1,2,3,2
2021-03-18,WAS,UTA,0,9,18.8,5,2,2,0,0,0,3,4,2,1,0,0,5,4,7
2021-03-21,WAS,BRK,1,-7,12.35,2,1,1,0,0,0,0,0,0,0,1,1,3,2,-8
2021-03-23,WAS,NYK,1,-18,15.77,3,2,1,0,0,0,3,5,1,0,1,2,2,4,-12
2021-03-25,WAS,NYK,1,-4,8.22,0,0,0,0,0,2,1,1,0,0,0,0,3,0,-8
2021-03-27,WAS,DET,0,14,4.28,0,0,0,0,0,0,0,0,1,0,0,1,2,0,-2
2021-04-01,WAS,DET,1,-29,10.28,4,1,2,0,0,0,0,2,2,1,0,1,2,2,-3
2021-04-07,WAS,ORL,1,15,1.73,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2
2021-04-10,WAS,PHO,1,-28,4.25,2,0,1,0,0,0,0,1,1,0,0,0,1,0,-2
2021-04-12,WAS,UTA,1,4,9.1,3,2,1,1,0,0,0,1,0,1,1,0,1,5,5
2021-04-16,WAS,NOP,0,2,21.27,4,1,3,0,0,0,0,2,1,0,0,1,2,2,13
2021-04-17,WAS,DET,0,21,5.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
2021-04-21,WAS,GSW,0,4,10.1,3,2,1,0,2,2,0,0,1,1,0,1,1,6,-4
2021-04-23,WAS,OKC,1,20,10.42,3,1,3,1,0,0,1,2,0,1,0,2,2,3,9
2021-04-28,WAS,LAL,0,9,1.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
2021-04-30,WAS,CLE,1,29,6.37,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3
2021-05-05,WAS,MIL,1,-1,6.3,1,0,1,0,0,0,0,0,1,0,1,1,3,0,-4
