Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,CLE,CHO,0,7,33.53,5,4,2,1,3,5,0,0,2,1,11
2020-12-26,CLE,DET,1,9,41.63,4,0,3,0,3,0,1,0,2,4,0
2021-01-06,CLE,ORL,1,-11,28.0,5,4,1,0,0,2,0,0,0,3,10
2021-01-07,CLE,MEM,1,4,39.3,9,3,4,1,2,2,1,2,2,2,8
2021-01-09,CLE,MIL,1,-10,33.55,9,2,1,0,2,1,0,0,1,4,4
2021-01-11,CLE,MEM,0,-10,39.98,11,5,3,2,2,1,3,0,4,2,12
2021-01-12,CLE,UTA,0,-30,35.55,13,4,6,2,3,3,2,0,1,3,11
2021-01-15,CLE,NYK,0,3,41.72,8,4,3,1,2,4,2,2,2,0,13
2021-01-20,CLE,BRK,0,12,43.3,9,3,4,2,3,2,1,0,2,6,8
2021-01-22,CLE,BRK,0,12,31.47,5,3,2,0,4,1,1,0,0,3,8
2021-01-24,CLE,BOS,1,-38,29.32,6,1,2,0,1,0,3,1,2,1,6
2021-01-25,CLE,LAL,0,-7,34.03,8,3,3,1,4,0,2,0,0,4,9
2021-01-27,CLE,DET,0,15,37.32,5,3,3,1,2,6,2,0,1,4,10
2021-01-29,CLE,NYK,1,-21,32.42,4,1,1,0,3,2,0,0,2,4,5
2021-01-31,CLE,MIN,1,-5,32.17,10,6,3,1,2,4,0,0,0,1,13
2021-02-01,CLE,MIN,0,2,32.53,4,2,0,0,1,1,1,1,3,1,4
2021-02-03,CLE,LAC,0,-22,27.58,5,1,1,0,2,0,2,0,0,2,2
2021-02-05,CLE,MIL,0,-18,31.48,8,4,5,2,3,0,2,2,0,2,10
2021-02-06,CLE,MIL,0,-25,29.2,5,0,3,0,5,1,0,0,2,2,2
2021-02-08,CLE,PHO,1,-6,25.02,7,3,5,2,0,2,0,0,0,4,11
2021-02-10,CLE,DEN,1,-38,29.95,12,5,3,0,1,2,0,0,1,4,10
2021-02-12,CLE,POR,1,-19,27.0,1,0,0,0,2,1,1,0,0,4,0
2021-02-14,CLE,LAC,1,-17,29.93,9,4,3,0,3,2,1,1,2,4,10
2021-02-15,CLE,GSW,1,-31,26.07,8,1,3,0,4,3,2,1,4,4,2
2021-02-19,CLE,DEN,0,-17,34.22,10,5,6,3,3,2,1,1,5,3,14
2021-02-21,CLE,OKC,0,-16,39.32,12,4,11,4,5,1,3,0,1,4,12
2021-02-23,CLE,ATL,0,1,37.05,6,3,2,1,5,3,0,3,1,3,8
2021-02-24,CLE,HOU,0,16,26.98,6,4,2,2,2,0,0,1,1,3,10
2021-02-27,CLE,PHI,1,3,34.4,9,6,2,1,8,3,3,0,0,6,15
2021-03-01,CLE,HOU,1,11,33.33,8,2,6,1,1,2,1,1,2,3,5
2021-03-03,CLE,IND,0,-3,32.55,4,3,0,0,2,2,1,0,3,4,7
2021-03-12,CLE,NOP,1,-34,28.72,8,1,2,0,0,1,0,0,1,3,2
2021-03-14,CLE,ATL,1,-18,24.68,8,3,4,0,5,1,0,0,0,3,6
2021-03-16,CLE,MIA,1,-15,30.33,6,4,2,2,3,1,0,1,1,1,10
2021-03-17,CLE,BOS,0,7,35.12,10,5,1,0,4,2,0,0,1,4,15
2021-03-19,CLE,SAS,0,-6,21.85,4,1,1,1,2,1,1,0,0,4,4
2021-03-21,CLE,TOR,0,11,30.38,6,3,5,2,7,5,2,1,6,1,8
2021-03-22,CLE,SAC,0,-14,28.42,6,2,1,0,2,0,2,0,0,0,6
2021-03-24,CLE,CHI,1,9,29.03,7,5,2,1,3,2,2,1,1,0,12
2021-03-26,CLE,LAL,1,-14,25.5,3,2,0,0,1,2,1,0,3,2,6
2021-03-27,CLE,SAC,1,-2,32.95,7,1,3,0,2,2,0,0,2,2,2
2021-03-29,CLE,UTA,1,-39,27.78,9,1,6,0,3,0,0,0,1,3,5
2021-04-01,CLE,PHI,0,-20,28.18,4,4,0,0,5,1,1,0,1,3,9
2021-04-03,CLE,MIA,1,-14,35.82,7,5,2,2,3,0,1,1,2,1,17
2021-04-05,CLE,SAS,1,24,28.33,6,4,3,3,3,1,0,0,1,4,11
2021-04-08,CLE,OKC,1,27,35.15,13,6,6,2,1,2,1,0,1,1,15
2021-04-10,CLE,TOR,0,-20,26.25,3,1,1,0,5,3,0,1,0,3,2
2021-04-11,CLE,NOP,0,-7,29.98,10,6,4,2,3,3,1,0,0,2,19
2021-04-14,CLE,CHO,1,13,31.52,8,2,2,0,5,3,2,1,0,1,7
2021-04-15,CLE,GSW,0,-18,33.6,8,3,2,0,1,2,3,0,1,2,6
2021-04-17,CLE,CHI,1,-10,31.38,7,5,4,2,1,1,1,0,0,1,13
