Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-28,DET,ATL,1,-8,14.45,4,1,0,0,8,2,0,0,1,3,2
2020-12-29,DET,GSW,0,-10,23.18,5,3,0,0,7,1,0,2,0,2,6
2021-01-01,DET,BOS,0,3,18.4,4,3,0,0,4,0,0,0,1,3,8
2021-01-03,DET,BOS,0,-2,15.08,3,1,0,0,3,0,0,2,0,3,2
2021-01-04,DET,MIL,1,-10,20.43,3,2,0,0,2,1,1,1,0,4,4
2021-01-06,DET,MIL,1,-15,20.18,6,2,0,0,7,0,0,0,2,2,5
2021-01-08,DET,PHO,0,5,8.62,2,0,0,0,4,0,1,1,1,0,0
2021-01-10,DET,UTA,0,-10,14.25,3,1,0,0,4,1,1,0,0,4,2
2021-01-13,DET,MIL,0,-9,17.17,7,4,1,0,7,1,0,0,0,1,9
2021-01-16,DET,MIA,1,20,19.03,6,4,0,0,11,2,1,0,1,6,10
2021-01-18,DET,MIA,1,-6,12.13,1,0,0,0,2,1,0,1,0,2,0
2021-01-20,DET,ATL,1,-8,15.93,4,2,0,0,4,1,1,1,1,4,4
2021-01-22,DET,HOU,0,-1,22.85,5,3,0,0,10,0,0,2,2,1,7
2021-01-23,DET,PHI,0,-4,19.3,5,3,0,0,5,1,1,2,1,4,8
2021-01-25,DET,PHI,0,15,20.37,3,1,0,0,3,0,1,1,1,2,4
2021-01-27,DET,CLE,1,-15,14.67,6,0,0,0,6,1,1,0,0,2,0
2021-01-28,DET,LAL,0,15,21.27,6,2,1,0,6,0,0,1,0,1,8
2021-01-30,DET,GSW,1,-27,19.73,4,3,0,0,5,0,0,2,1,2,8
2021-02-02,DET,UTA,1,-12,19.73,3,2,0,0,5,1,0,0,0,2,4
2021-02-05,DET,PHO,1,-17,23.58,6,5,0,0,10,1,1,2,2,3,10
2021-02-06,DET,LAL,1,-6,10.53,3,2,0,0,2,0,0,0,2,5,4
2021-02-09,DET,BRK,0,11,9.5,3,2,1,1,0,0,1,1,1,1,5
2021-02-11,DET,IND,0,-16,31.17,9,8,0,0,7,1,2,1,0,4,17
2021-02-12,DET,BOS,1,6,22.25,3,2,0,0,6,1,0,1,0,3,5
2021-02-14,DET,NOP,0,11,17.52,2,1,1,0,6,0,0,3,2,5,4
2021-02-17,DET,CHI,1,-3,14.87,3,0,0,0,6,1,1,0,1,2,0
2021-02-19,DET,MEM,1,-14,13.95,5,2,0,0,5,0,0,0,2,1,4
2021-02-21,DET,ORL,1,-9,19.87,5,2,1,0,8,2,0,3,0,0,4
2021-02-23,DET,ORL,1,12,18.23,2,2,0,0,2,0,1,1,2,3,4
2021-02-24,DET,NOP,1,-10,18.15,8,5,0,0,10,0,2,1,1,3,11
2021-02-26,DET,SAC,0,-3,21.42,3,3,0,0,11,2,1,1,3,3,6
2021-02-28,DET,NYK,0,-19,27.83,3,2,0,0,10,0,1,2,2,2,4
2021-03-03,DET,TOR,1,24,19.68,5,3,0,0,6,2,0,2,0,4,6
2021-03-04,DET,NYK,1,-10,20.23,6,5,0,0,4,1,0,0,0,1,10
2021-03-11,DET,CHO,1,-3,22.67,3,3,1,1,8,2,1,0,0,1,7
2021-03-13,DET,BRK,1,-5,19.57,7,4,0,0,8,0,2,3,1,2,9
2021-03-15,DET,SAS,0,-10,24.75,8,5,1,0,5,2,0,1,2,2,10
2021-03-17,DET,TOR,0,4,23.2,5,3,2,2,4,1,0,1,2,1,10
2021-03-19,DET,HOU,1,13,25.47,10,5,2,1,9,2,1,0,2,3,13
2021-03-21,DET,CHI,0,-14,23.08,8,5,2,1,6,0,1,2,0,1,11
2021-03-24,DET,IND,1,-5,18.6,7,5,1,0,7,0,0,1,0,0,11
2021-03-26,DET,BRK,0,-2,5.68,1,1,0,0,0,0,0,0,0,3,2
2021-03-27,DET,WAS,1,-14,21.47,9,5,3,1,8,1,0,1,1,2,11
2021-03-29,DET,TOR,0,14,29.63,7,5,2,1,2,3,0,1,1,4,14
2021-03-31,DET,POR,0,-23,18.2,6,2,4,2,4,0,1,1,1,4,6
2021-04-01,DET,WAS,0,29,17.17,7,2,1,0,7,2,0,2,2,6,4
2021-04-03,DET,NYK,0,-44,26.72,7,2,0,0,7,0,0,0,1,1,4
2021-04-05,DET,OKC,1,24,21.72,6,4,0,0,6,0,1,4,1,1,12
2021-04-06,DET,DEN,1,-15,27.68,5,4,0,0,8,2,0,0,0,2,9
2021-04-08,DET,SAC,1,12,32.82,10,8,0,0,13,4,1,1,3,2,16
2021-04-10,DET,POR,1,-15,20.75,5,1,1,0,2,0,0,1,0,2,4
2021-04-11,DET,LAC,1,-7,20.82,3,3,1,1,6,2,0,0,1,2,7
2021-04-14,DET,LAC,0,-2,21.67,7,6,0,0,8,0,1,1,1,5,12
2021-04-16,DET,OKC,0,6,31.72,12,7,1,0,21,3,0,2,1,4,15
2021-04-17,DET,WAS,1,-21,24.33,11,7,1,1,12,1,0,2,1,2,19
2021-04-19,DET,CLE,0,4,31.5,12,8,0,0,16,0,3,3,2,4,18
2021-04-21,DET,DAL,1,-10,15.92,6,3,0,0,6,2,1,0,1,3,7
2021-04-22,DET,SAS,1,-15,28.03,6,3,0,0,13,0,0,2,3,3,8
2021-04-24,DET,IND,1,-6,19.07,9,5,3,1,5,0,0,2,0,4,13
2021-04-26,DET,ATL,0,14,27.08,6,2,0,0,11,1,1,4,2,5,4
2021-04-29,DET,DAL,0,-10,29.25,14,9,5,2,10,0,1,3,0,4,20
2021-05-01,DET,CHO,1,-13,26.68,6,3,1,0,2,0,1,3,2,4,9
2021-05-03,DET,ORL,0,-7,31.55,10,4,4,0,8,1,1,3,1,4,10
2021-05-04,DET,CHO,0,-3,26.35,5,1,2,0,7,0,0,1,1,3,3
2021-05-06,DET,MEM,0,14,30.85,14,6,5,0,7,1,1,3,1,4,15
2021-05-08,DET,PHI,1,-14,20.17,6,2,4,2,6,0,1,2,1,4,9
2021-05-09,DET,CHI,0,-12,32.48,13,7,7,3,7,3,0,2,0,1,19
2021-05-11,DET,MIN,0,-19,32.58,12,5,4,1,8,2,2,0,2,3,11
