Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,WAS,PHI,1, -6,22:53,7,2,2,1,4,3,0,1,1,1,7
2020-12-26,WAS,ORL,0, -10,22:19,9,4,1,0,4,3,0,0,1,1,8
2020-12-27,WAS,ORL,0, -7,15:47,5,2,0,0,3,4,0,0,1,3,4
2020-12-29,WAS,CHI,0, -8,21:15,7,2,2,0,2,1,0,2,0,0,4
2020-12-31,WAS,CHI,0, -3,7:56,0,0,0,0,0,3,0,0,2,0,0
2021-01-01,WAS,MIN,1, +21,20:56,6,2,1,1,6,9,0,0,2,0,5
2021-01-03,WAS,BRK,1, +1,10:58,4,2,1,1,4,2,1,0,0,1,5
2021-01-06,WAS,PHI,1, -5,23:05,8,4,2,0,5,5,2,0,1,2,9
2021-01-08,WAS,BOS,1, -9,17:13,6,3,0,0,3,1,3,0,1,1,8
2021-01-09,WAS,MIA,0, -4,28:00,11,4,2,1,3,7,0,0,1,2,9
2021-01-11,WAS,PHO,0, +21,21:14,8,3,1,0,3,6,1,0,1,1,6
2021-01-31,WAS,BRK,0, +3,23:48,9,6,2,1,2,7,2,1,0,0,13
2021-02-02,WAS,POR,0, -11,27:24,4,1,1,0,5,9,2,0,2,1,3
2021-02-03,WAS,MIA,1, +3,27:04,8,0,0,0,4,6,1,0,1,3,0
2021-02-05,WAS,MIA,1, -27,25:46,9,4,3,0,5,5,0,0,1,0,8
2021-02-07,WAS,CHO,1, -22,27:28,3,2,1,0,4,5,1,0,1,2,4
2021-02-08,WAS,CHI,1, +4,31:17,9,3,0,0,6,7,1,0,2,0,6
2021-02-10,WAS,TOR,0, -22,4:25,0,0,0,0,1,2,0,0,0,0,0
2021-02-12,WAS,NYK,0, -18,12:02,3,0,1,0,2,5,1,0,1,0,0
2021-04-03,WAS,DAL,0, -22,22:36,6,1,1,1,2,2,0,0,1,4,5
2021-04-05,WAS,TOR,1, -2,21:02,12,5,0,0,5,3,1,0,3,0,10
2021-04-07,WAS,ORL,1, +15,13:39,5,3,1,0,1,7,0,1,0,1,6
2021-04-09,WAS,GSW,1, +3,19:11,5,2,0,0,2,2,0,0,2,2,4
2021-04-10,WAS,PHO,1, -28,22:24,8,5,2,2,6,2,0,0,1,0,12
2021-04-12,WAS,UTA,1, +4,17:27,7,4,1,1,2,2,0,1,0,3,9
2021-04-14,WAS,SAC,1, +12,22:43,6,4,1,0,3,3,1,0,1,1,10
2021-04-16,WAS,NOP,0, +2,14:37,3,3,0,0,2,3,1,0,1,0,6
2021-04-17,WAS,DET,0, +21,23:54,8,6,2,2,3,5,0,0,1,5,16
2021-04-19,WAS,OKC,0, +12,21:40,4,1,1,0,6,4,0,0,0,3,2
2021-04-21,WAS,GSW,0, +4,18:49,6,1,0,0,3,4,1,1,1,1,2
2021-04-23,WAS,OKC,1, +20,17:29,6,0,3,0,1,2,1,1,1,2,0
2021-04-25,WAS,CLE,0, +9,18:27,8,3,4,2,3,4,1,2,1,3,8
2021-04-26,WAS,SAS,0, -3,25:57,7,3,0,0,2,8,0,0,0,1,6
2021-04-28,WAS,LAL,0, +9,18:01,6,4,1,1,2,1,1,0,1,2,12
2021-04-30,WAS,CLE,1, +29,25:18,8,5,1,0,3,4,3,1,1,2,11
2021-05-01,WAS,DAL,1, -1,23:59,8,3,0,0,4,2,1,0,2,3,6
2021-05-03,WAS,IND,0, +13,17:31,8,6,1,1,2,1,1,0,0,0,13
2021-05-05,WAS,MIL,1, -1,22:06,6,0,1,0,2,1,0,0,0,1,2
2021-05-06,WAS,TOR,1, +2,19:23,6,1,2,0,2,1,1,0,0,2,2
2021-05-08,WAS,IND,1, +1,19:07,6,3,2,1,7,4,0,0,1,2,7
2021-05-10,WAS,ATL,1, -1,23:07,12,7,3,2,3,1,2,1,1,3,16
2021-05-12,WAS,ATL,1, -4,27:52,9,3,1,0,5,6,1,0,0,1,6
2021-05-14,WAS,CLE,0, +15,24:24,10,5,0,0,5,3,1,0,2,2,11
2021-05-16,WAS,CHO,0, +5,32:03,11,7,1,0,8,7,0,1,1,0,14
