Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-22,LAC,LAL,1, +7,26:31,5,4,0,0,6,1,1,1,1,4,11
2020-12-25,LAC,DEN,1, +13,19:05,2,2,0,0,0,0,0,1,2,4,12
2020-12-27,LAC,DAL,0, -51,16:28,4,3,0,0,2,0,0,0,0,1,10
2020-12-29,LAC,MIN,0, +23,18:30,7,5,0,0,4,1,0,3,0,0,12
2020-12-30,LAC,POR,0, +23,15:12,2,2,0,0,2,2,2,3,2,3,7
2021-01-01,LAC,UTA,1, -6,14:25,8,5,0,0,2,0,0,0,0,1,12
2021-01-03,LAC,PHO,1, +5,23:06,3,2,0,0,4,4,0,0,0,3,4
2021-01-05,LAC,SAS,0, -3,18:42,1,1,0,0,8,0,1,0,2,0,2
2021-01-06,LAC,GSW,1, +7,10:00,2,2,0,0,6,0,0,0,1,5,4
2021-01-08,LAC,GSW,1, -10,16:56,4,1,0,0,4,1,0,1,3,2,2
2021-01-10,LAC,CHI,0, +3,15:33,6,2,0,0,7,1,1,1,0,2,5
2021-01-13,LAC,NOP,0, +5,21:48,3,3,0,0,7,1,0,0,1,3,9
2021-01-15,LAC,SAC,1, +38,20:57,5,3,0,0,7,1,1,1,1,2,6
2021-01-17,LAC,IND,0, +33,16:11,3,3,0,0,6,2,1,1,1,4,6
2021-01-20,LAC,SAC,0, +19,22:31,5,4,0,0,12,1,0,1,1,2,11
2021-01-22,LAC,OKC,0, +14,14:54,4,3,0,0,6,0,0,1,0,3,8
2021-01-24,LAC,OKC,0, +8,24:02,6,5,0,0,11,1,0,2,1,2,10
2021-01-26,LAC,ATL,1, -9,18:14,5,3,0,0,10,1,0,0,0,4,13
2021-01-28,LAC,MIA,1, +4,21:12,4,2,0,0,8,1,1,2,2,3,6
2021-01-29,LAC,ORL,1, +26,20:36,5,2,0,0,7,1,0,0,1,2,4
2021-01-31,LAC,NYK,1, +14,22:41,5,3,0,0,7,4,0,0,0,0,8
2021-02-02,LAC,BRK,1, -4,16:14,2,1,0,0,3,0,0,0,2,4,2
2021-02-03,LAC,CLE,1, +22,27:44,8,3,1,0,16,1,2,3,1,3,10
2021-02-05,LAC,BOS,0, -4,20:13,7,7,0,0,6,0,0,1,2,1,14
2021-02-07,LAC,SAC,0, -3,26:55,6,4,0,0,14,1,0,0,0,3,12
2021-02-10,LAC,MIN,1, +7,17:11,5,1,0,0,7,2,0,1,2,2,3
2021-02-12,LAC,CHI,1, +19,14:54,6,5,0,0,4,1,0,1,2,5,12
2021-02-14,LAC,CLE,0, +17,14:53,2,1,0,0,5,1,0,0,0,4,5
2021-02-15,LAC,MIA,0, +7,28:17,11,9,0,0,8,1,1,0,1,3,22
2021-02-17,LAC,UTA,0, -18,21:37,6,4,0,0,9,2,0,0,1,3,8
2021-02-19,LAC,UTA,0, +4,17:00,2,0,0,0,8,2,1,0,2,2,3
2021-02-21,LAC,BRK,0, -4,20:26,7,6,0,0,8,1,0,0,0,1,13
2021-02-23,LAC,WAS,0, +19,26:31,6,6,0,0,13,1,0,2,1,1,12
2021-02-25,LAC,MEM,1, -28,20:02,4,2,0,0,6,1,0,2,0,2,7
2021-02-26,LAC,MEM,1, +20,18:58,2,1,0,0,8,2,0,2,1,4,3
2021-02-28,LAC,MIL,1, -5,16:18,3,1,0,0,2,0,1,0,2,3,2
2021-03-02,LAC,BOS,1, -5,19:51,6,4,0,0,10,3,0,0,2,0,8
2021-03-04,LAC,WAS,1, -2,28:46,10,5,0,0,13,1,1,0,1,3,13
2021-03-11,LAC,GSW,0, +26,15:57,3,2,0,0,3,0,0,1,1,2,9
2021-03-14,LAC,NOP,1, -20,13:18,5,1,1,0,5,0,0,1,0,3,3
2021-03-15,LAC,DAL,1, +10,34:51,8,7,0,0,11,1,1,0,2,1,15
2021-03-17,LAC,DAL,1, -16,35:02,9,7,0,0,7,2,3,1,2,2,14
2021-03-20,LAC,CHO,0, +27,24:54,4,3,0,0,5,3,0,1,2,2,10
2021-03-22,LAC,ATL,0, +9,24:31,7,5,0,0,9,1,1,2,0,1,12
2021-03-24,LAC,SAS,1, +33,32:23,5,5,0,0,8,2,1,1,1,2,14
2021-03-25,LAC,SAS,1, +13,29:25,11,3,0,0,13,0,0,5,2,5,10
2021-03-27,LAC,PHI,0, +10,21:22,7,2,1,0,11,1,0,2,1,4,7
2021-03-29,LAC,MIL,0, +24,24:19,7,3,0,0,9,1,1,0,2,3,6
2021-03-30,LAC,ORL,0, -7,35:39,10,7,0,0,13,0,0,0,2,5,14
2021-04-01,LAC,DEN,0, -7,28:55,5,3,0,0,4,1,0,2,0,3,8
2021-04-04,LAC,LAL,0, +18,31:13,5,3,0,0,9,1,0,2,1,5,6
2021-04-06,LAC,POR,0, +17,24:01,7,5,0,0,5,2,0,0,0,2,11
2021-04-08,LAC,PHO,0, +10,23:49,4,3,0,0,5,0,0,0,2,2,7
2021-04-09,LAC,HOU,0, +17,23:23,6,4,0,0,7,0,0,0,0,3,10
2021-04-11,LAC,DET,0, +7,35:20,6,5,0,0,10,7,0,1,2,1,13
2021-04-13,LAC,IND,1, +11,25:32,8,7,0,0,7,2,0,0,1,2,14
2021-04-14,LAC,DET,1, +2,31:36,10,6,0,0,13,2,2,1,2,4,18
2021-04-16,LAC,PHI,1, -3,15:57,3,2,0,0,7,0,0,0,2,3,4
2021-04-18,LAC,MIN,0, +19,22:14,7,5,0,0,6,1,0,1,2,4,13
2021-04-20,LAC,POR,1, +1,27:44,9,5,0,0,6,2,0,2,1,3,10
2021-04-21,LAC,MEM,0, +12,32:49,11,6,0,0,7,3,0,2,1,3,18
2021-04-23,LAC,HOU,1, +5,23:40,9,5,0,0,8,1,0,0,2,5,12
2021-04-26,LAC,NOP,1, -17,20:28,2,1,0,0,6,1,1,1,3,3,4
2021-04-28,LAC,PHO,1, -8,25:12,9,7,0,0,7,3,0,0,1,0,14
2021-05-01,LAC,DEN,0, -6,24:04,3,1,0,0,7,1,0,0,1,3,6
2021-05-04,LAC,TOR,0, +5,30:28,6,4,0,0,8,3,0,2,2,4,8
2021-05-06,LAC,LAL,0, +24,27:34,5,5,0,0,8,0,0,1,1,3,14
2021-05-09,LAC,NYK,0, -6,20:49,4,3,0,0,8,1,0,0,0,2,6
2021-05-11,LAC,TOR,1, +19,30:09,12,8,0,0,10,3,0,1,0,2,18
2021-05-13,LAC,CHO,1, +23,35:08,4,3,0,0,11,1,0,2,3,4,8
2021-05-14,LAC,HOU,1, -7,3:18,1,1,1,1,0,1,0,0,0,1,3
2021-05-16,LAC,OKC,1, -5,0:06,0,0,0,0,0,0,0,0,0,1,0
