Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,MEM,SAS,0,-12,35.17,27,18,2,1,7,8,0,2,9,2,1,1,1,44,10
2020-12-26,MEM,ATL,0,-10,33.52,21,10,7,2,6,8,1,3,7,0,1,2,4,28,-2
2020-12-28,MEM,BRK,1,5,12.6,7,2,0,0,3,3,1,2,3,0,0,4,1,7,4
2021-01-16,MEM,PHI,0,2,30.7,14,7,3,0,3,4,0,0,6,1,0,3,4,17,6
2021-01-18,MEM,PHO,0,4,34.05,10,5,2,1,6,8,0,3,10,2,1,4,1,17,-11
2021-01-30,MEM,SAS,1,17,27.6,14,8,5,1,2,3,1,2,11,0,0,5,1,19,9
2021-02-01,MEM,SAS,1,31,21.55,9,5,1,1,2,2,1,3,8,2,0,4,1,13,7
2021-02-02,MEM,IND,1,-18,28.58,10,2,1,0,6,6,0,1,5,2,1,4,1,10,-24
2021-02-04,MEM,HOU,0,-12,28.65,15,6,5,1,2,5,0,3,4,2,0,2,2,15,-32
2021-02-06,MEM,NOP,1,-9,31.07,14,5,5,1,5,6,0,3,9,0,0,1,0,16,-25
2021-02-08,MEM,TOR,0,-15,36.7,17,5,5,2,6,6,2,2,9,1,0,2,2,18,-9
2021-02-10,MEM,CHO,0,16,30.87,14,6,3,1,2,4,2,3,11,1,0,5,2,15,23
2021-02-12,MEM,LAL,1,-10,35.22,18,7,4,1,7,8,1,3,10,0,0,1,0,22,-4
2021-02-14,MEM,SAC,1,14,31.95,18,7,3,0,2,3,0,1,10,0,0,4,2,16,18
2021-02-16,MEM,NOP,0,-31,30.73,16,12,3,1,3,4,2,7,8,0,0,6,1,28,-13
2021-02-17,MEM,OKC,0,9,34.7,14,4,3,0,7,8,1,11,12,1,0,3,0,15,5
2021-02-19,MEM,DET,0,14,32.4,23,10,5,0,9,10,0,3,4,1,0,2,2,29,14
2021-02-20,MEM,PHO,0,-31,26.83,12,5,2,0,2,2,3,5,5,1,0,3,2,12,-22
2021-02-22,MEM,DAL,1,-10,33.88,21,10,4,0,2,6,2,4,9,2,0,1,2,22,-11
2021-02-25,MEM,LAC,0,28,29.7,14,7,4,1,1,2,1,2,7,0,0,0,0,16,18
2021-02-26,MEM,LAC,0,-20,33.18,20,7,6,2,4,5,0,4,5,2,0,2,0,20,-11
2021-02-28,MEM,HOU,1,49,26.2,8,2,1,0,2,2,0,1,7,3,0,2,3,6,30
2021-03-02,MEM,WAS,1,14,33.03,18,11,3,2,11,14,0,5,10,1,0,4,1,35,21
2021-03-04,MEM,MIL,0,-1,38.9,25,11,13,3,10,11,2,6,5,1,0,4,3,35,-3
2021-03-10,MEM,WAS,0,15,32.7,14,7,2,0,7,12,0,6,10,0,0,2,3,21,17
2021-03-12,MEM,DEN,0,-1,34.02,16,5,2,2,4,4,2,4,9,1,0,5,1,16,-8
2021-03-14,MEM,OKC,1,-6,34.42,15,7,3,1,7,8,0,1,7,1,0,2,2,22,6
2021-03-15,MEM,PHO,1,-23,28.52,12,4,0,0,7,10,0,3,4,1,0,3,2,15,-14
2021-03-17,MEM,MIA,0,4,35.85,15,5,5,0,3,5,0,4,6,0,0,2,2,13,2
2021-03-19,MEM,GSW,0,-13,29.8,12,6,2,0,2,4,2,2,2,0,1,6,1,14,-16
2021-03-20,MEM,GSW,0,8,35.42,20,5,5,1,3,4,2,3,8,1,0,3,1,14,8
2021-03-22,MEM,BOS,0,6,40.52,25,12,5,1,4,7,2,5,9,0,0,2,1,29,1
2021-03-24,MEM,OKC,1,9,30.83,14,5,4,1,0,0,1,5,7,2,2,3,0,11,14
2021-03-26,MEM,UTA,1,-3,37.08,21,11,2,1,9,11,3,4,11,0,0,1,3,32,11
2021-03-27,MEM,UTA,1,-16,26.47,12,4,4,1,3,4,1,1,4,0,0,3,1,12,-17
2021-03-29,MEM,HOU,1,10,33.17,11,5,4,1,1,3,1,5,8,0,0,2,3,12,1
2021-03-31,MEM,UTA,0,-4,35.97,18,11,4,2,12,15,0,2,7,3,0,5,1,36,4
2021-04-02,MEM,MIN,0,12,28.03,7,3,4,2,3,6,0,3,7,0,0,2,0,11,0
2021-04-04,MEM,PHI,1,16,28.65,8,3,2,1,1,2,2,5,10,1,0,2,1,8,29
2021-04-06,MEM,MIA,1,12,29.25,8,3,4,0,4,6,0,4,4,1,0,7,1,10,1
2021-04-07,MEM,ATL,1,18,31.3,13,8,3,2,1,2,2,7,7,0,0,5,1,19,20
2021-04-09,MEM,NYK,1,-4,38.5,18,9,5,4,4,8,0,4,6,0,1,4,2,26,-10
2021-04-11,MEM,IND,0,-7,34.8,15,8,1,0,7,11,2,2,6,2,0,4,1,23,-14
2021-04-12,MEM,CHI,0,11,36.35,14,5,1,0,3,4,1,3,10,0,0,5,0,13,23
2021-04-14,MEM,DAL,0,-1,34.77,15,7,4,1,2,2,0,4,5,1,0,1,1,17,-10
2021-04-16,MEM,CHI,1,11,32.3,11,5,3,1,4,6,1,7,5,0,0,3,1,15,11
2021-04-17,MEM,MIL,1,13,31.47,16,5,9,3,0,0,1,6,6,0,0,4,1,13,9
2021-04-19,MEM,DEN,1,-2,45.43,24,13,5,2,8,11,2,8,12,3,1,4,1,36,9
2021-04-21,MEM,LAC,1,-12,31.4,15,9,6,4,0,4,2,6,4,1,0,4,3,22,-11
2021-04-23,MEM,POR,1,2,36.27,17,11,3,1,10,12,1,5,13,1,0,0,0,33,4
2021-04-25,MEM,POR,1,7,30.4,15,8,4,3,9,12,0,8,3,2,0,4,3,28,9
2021-04-26,MEM,DEN,1,-24,29.87,15,10,4,0,7,9,0,6,6,1,0,3,2,27,-8
2021-04-28,MEM,POR,0,-21,28.32,11,3,4,2,2,2,0,3,8,1,1,4,1,10,-8
2021-04-30,MEM,ORL,0,17,32.75,12,3,4,1,1,2,1,5,6,3,0,1,1,8,16
2021-05-01,MEM,ORL,1,-1,31.67,18,8,3,2,4,4,1,3,7,0,1,6,1,22,-6
2021-05-03,MEM,NYK,0,-14,37.55,14,2,4,0,4,4,1,5,6,0,0,3,1,8,0
2021-05-05,MEM,MIN,1,4,37.1,25,14,2,1,8,11,0,4,10,2,1,4,0,37,8
2021-05-06,MEM,DET,1,-14,36.67,15,7,10,4,2,4,0,3,5,0,1,5,1,20,-10
2021-05-08,MEM,TOR,1,10,37.47,7,3,1,0,6,8,3,7,6,1,0,4,0,12,20
2021-05-10,MEM,NOP,0,5,34.88,14,5,6,2,0,5,0,3,12,1,0,2,2,12,-1
2021-05-11,MEM,DAL,0,29,29.15,13,7,6,3,7,8,1,7,8,1,0,4,2,24,11
2021-05-13,MEM,SAC,0,6,38.03,12,5,5,1,1,2,3,7,8,0,0,6,2,12,25
2021-05-16,MEM,GSW,1,-12,37.97,21,7,6,1,1,2,1,3,9,1,0,4,1,16,-16
