Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2021-01-01,DEN,PHO,0,-3,11.9,3,3,2,2,0,0,0,4,2,1,0,3,4,8,-11
2021-01-03,DEN,MIN,1,15,27.22,10,5,8,3,1,2,2,5,3,2,0,4,2,14,14
2021-01-05,DEN,MIN,0,7,20.33,8,5,3,3,4,6,1,6,1,0,0,1,3,17,-3
2021-01-07,DEN,DAL,0,-7,18.68,10,4,6,2,0,0,2,9,0,0,0,3,2,10,-2
2021-01-09,DEN,PHI,1,12,21.05,11,4,6,2,2,2,2,6,1,0,0,2,1,12,4
2021-01-10,DEN,NYK,1,25,22.88,5,4,2,2,0,0,1,8,1,1,0,0,2,10,24
2021-01-12,DEN,BRK,1,-6,22.12,7,3,5,2,1,2,3,7,1,0,0,2,2,9,2
2021-01-14,DEN,GSW,0,10,28.08,10,5,4,3,2,2,3,9,0,0,0,1,2,15,12
2021-01-17,DEN,UTA,0,-4,19.8,8,2,3,1,0,0,2,6,0,0,1,0,1,5,-4
2021-01-19,DEN,OKC,0,18,16.62,12,4,5,2,0,0,4,8,1,0,1,2,3,10,8
2021-01-22,DEN,PHO,1,4,19.42,6,1,3,1,0,0,0,3,2,1,0,0,1,3,6
2021-01-23,DEN,PHO,1,8,23.68,8,4,6,2,6,6,1,5,2,0,0,1,4,16,15
2021-01-25,DEN,DAL,1,4,22.07,9,5,7,3,4,5,1,8,1,2,0,0,4,17,10
2021-01-27,DEN,MIA,1,27,19.67,10,4,7,3,4,4,3,10,1,1,0,0,1,15,12
2021-01-29,DEN,SAS,1,-10,19.97,2,1,1,1,0,0,1,7,1,1,0,1,3,3,-16
2021-01-31,DEN,UTA,0,11,23.73,7,4,2,1,0,0,1,5,1,1,0,0,3,9,11
2021-02-04,DEN,LAL,1,-21,28.42,10,5,6,2,2,2,4,8,0,1,0,1,4,14,-12
2021-02-06,DEN,SAC,1,-5,25.75,9,4,3,2,0,0,1,3,1,1,0,0,4,10,-3
2021-02-08,DEN,MIL,0,-13,16.87,7,2,3,1,0,0,1,2,0,0,0,1,3,5,-9
2021-02-10,DEN,CLE,0,38,13.67,7,4,3,0,0,0,1,6,0,0,1,0,1,8,13
2021-02-12,DEN,OKC,0,2,16.3,7,1,4,0,0,0,1,7,0,0,0,2,3,2,-5
2021-02-14,DEN,LAL,0,17,14.03,2,1,2,1,0,0,0,2,2,2,0,0,5,3,4
2021-02-16,DEN,BOS,1,-13,28.55,7,1,2,0,0,0,4,6,1,1,0,1,4,2,4
2021-02-17,DEN,WAS,1,-2,29.77,4,3,3,2,1,1,2,10,2,0,4,1,5,9,8
2021-02-19,DEN,CLE,1,17,1.25,1,1,0,0,0,0,0,0,0,0,0,0,1,2,-1
2021-03-13,DEN,DAL,0,-13,18.03,6,2,3,1,0,0,1,5,0,0,0,1,2,5,-8
2021-03-15,DEN,IND,0,15,17.67,10,6,6,4,0,0,2,3,1,0,1,0,2,16,5
2021-03-17,DEN,CHO,0,25,12.0,6,3,3,0,0,0,1,1,0,1,0,1,3,6,8
2021-03-19,DEN,CHI,0,4,17.13,5,3,3,2,2,2,0,4,1,0,0,2,1,10,1
2021-03-21,DEN,NOP,0,-5,16.8,4,2,1,0,0,0,2,4,0,0,0,0,3,4,-7
2021-03-23,DEN,ORL,1,11,17.72,3,1,2,0,0,0,0,3,0,1,2,1,2,2,8
2021-03-24,DEN,TOR,1,-24,9.3,8,3,5,0,0,0,2,2,0,0,0,1,6,6,-13
2021-03-26,DEN,NOP,1,5,16.0,4,1,3,0,0,0,2,4,1,1,1,0,5,2,-17
2021-03-28,DEN,ATL,0,24,13.88,12,7,5,3,3,4,3,7,1,1,0,0,0,20,7
2021-03-30,DEN,PHI,0,9,13.57,1,1,0,0,1,1,0,6,3,0,1,3,0,3,1
2021-04-01,DEN,LAC,1,7,10.08,1,1,1,1,0,0,0,0,0,0,0,1,2,3,-1
