Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2021-02-20,SAC,CHI,1,-8,8.77,2,1,1,0,0,0,1,3,0,0,1,1,1,2,-2
2021-02-21,SAC,MIL,1,-13,16.18,5,3,0,0,0,0,0,3,1,0,0,2,3,6,-15
2021-03-15,SAC,CHO,1,-6,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
2021-04-17,BOS,GSW,0,5,15.75,6,5,1,0,1,2,4,4,0,0,0,2,0,11,6
2021-04-19,BOS,CHI,0,-6,15.92,7,4,1,0,0,0,0,1,0,0,1,0,1,8,5
2021-04-22,BOS,PHO,0,13,15.33,5,3,1,0,0,0,0,4,4,1,0,2,1,6,-2
2021-04-23,BOS,BRK,1,-5,12.87,5,1,0,0,0,0,2,8,2,0,1,0,1,2,5
2021-04-25,BOS,CHO,1,-21,11.55,3,1,1,0,2,2,0,1,0,0,1,0,0,4,-1
2021-04-27,BOS,OKC,0,-4,4.7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
2021-05-05,BOS,ORL,1,36,8.15,2,1,0,0,0,0,1,5,0,0,0,1,1,2,6
2021-05-07,BOS,CHI,1,-22,9.58,4,2,1,0,0,0,1,2,0,0,1,1,0,4,-10
2021-05-15,BOS,MIN,1,16,17.48,6,3,2,1,2,3,0,3,2,0,0,1,1,9,-10
2021-05-16,BOS,NYK,1,-4,26.9,10,6,3,1,5,6,1,7,2,0,0,0,3,18,8
