Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-27,MIN,LAL,1, -36,7:40,3,2,3,2,1,0,2,1,0,2,6
2020-12-29,MIN,LAC,1, -23,7:29,1,1,0,0,2,0,0,0,2,1,3
2021-01-01,MIN,WAS,0, -21,9:05,2,0,1,0,1,1,0,0,0,0,0
2021-01-03,MIN,DEN,0, -15,0:55,2,2,1,1,0,0,0,0,0,0,5
2021-01-07,MIN,POR,1, -18,12:00,3,1,3,1,4,3,0,0,1,2,3
2021-01-18,MIN,ATL,1, -11,12:26,4,1,3,1,1,0,0,0,1,3,3
2021-01-20,MIN,ORL,0, -1,26:06,9,5,4,2,8,1,0,3,0,4,12
2021-01-22,MIN,ATL,0, -18,22:34,9,2,2,0,5,0,0,1,0,0,4
2021-01-23,MIN,NOP,0, +10,20:07,7,1,3,1,3,1,0,2,1,4,3
2021-01-25,MIN,GSW,1, -22,25:42,9,3,3,1,5,2,1,0,0,4,7
2021-01-27,MIN,GSW,1, -12,14:29,5,1,4,1,2,1,0,0,2,5,5
2021-01-29,MIN,PHI,0, -24,24:23,8,3,2,0,7,0,0,1,0,5,6
2021-01-31,MIN,CLE,0, +5,20:02,3,1,2,1,3,1,1,3,0,4,3
2021-02-01,MIN,CLE,1, -2,21:38,10,5,4,1,4,0,0,0,2,3,11
2021-02-03,MIN,SAS,1, -3,18:00,2,1,1,1,1,2,0,1,0,3,3
2021-02-05,MIN,OKC,1, +3,28:37,4,0,3,0,5,1,1,1,0,2,0
2021-02-06,MIN,OKC,1, -2,23:50,5,3,3,1,6,2,1,0,3,2,8
2021-02-08,MIN,DAL,1, -5,19:49,3,2,3,2,5,1,0,0,2,3,6
2021-02-10,MIN,LAC,0, -7,18:12,7,4,5,2,3,3,0,4,1,2,10
2021-02-12,MIN,CHO,1, -6,24:20,7,3,4,2,4,1,1,2,1,3,9
2021-02-14,MIN,TOR,1, +4,18:18,3,2,2,1,2,2,0,1,1,1,6
2021-02-16,MIN,LAL,0, -8,17:44,2,0,1,0,1,0,1,2,1,3,0
2021-02-17,MIN,IND,0, -6,37:04,10,4,6,3,4,1,0,3,1,2,11
2021-02-19,MIN,TOR,0, -5,30:33,5,2,5,2,6,1,0,2,1,4,8
2021-02-21,MIN,NYK,1, -4,21:40,7,2,3,1,4,0,0,0,1,3,6
2021-02-23,MIN,MIL,1, -27,21:51,4,1,2,0,1,2,1,2,0,4,4
2021-02-24,MIN,CHI,1, -7,15:35,2,1,1,0,3,1,0,0,1,1,2
2021-02-27,MIN,WAS,1, -16,14:58,3,0,3,0,3,1,0,1,1,1,0
2021-02-28,MIN,PHO,0, -19,8:45,3,2,2,1,0,0,1,0,0,0,5
2021-03-03,MIN,CHO,0, -33,29:52,7,2,4,0,7,2,0,0,0,0,5
2021-03-11,MIN,NOP,1, +30,25:40,9,8,5,4,4,1,2,3,0,4,20
2021-03-13,MIN,POR,0, -4,21:28,2,2,1,1,2,1,0,0,1,3,5
2021-03-16,MIN,LAL,1, -16,22:43,3,2,2,1,2,0,2,0,0,1,5
2021-03-18,MIN,PHO,1, +4,26:55,5,1,3,0,4,2,2,1,0,0,2
