Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,MIN,DET,0, +10,16:33,3,0,1,0,1,0,0,0,0,0,0
2020-12-26,MIN,UTA,1, +5,13:36,0,0,0,0,0,1,1,0,0,2,0
2020-12-27,MIN,LAL,1, -36,14:47,8,4,1,0,3,0,0,0,0,1,10
2020-12-29,MIN,LAC,1, -23,13:03,4,2,1,0,1,1,1,2,0,3,4
2021-01-01,MIN,WAS,0, -21,15:06,6,2,3,1,1,1,3,0,1,3,12
2021-01-03,MIN,DEN,0, -15,22:21,4,2,2,0,0,2,2,0,1,1,6
2021-01-05,MIN,DEN,1, -7,14:22,3,2,2,1,1,1,0,1,1,3,7
2021-01-07,MIN,POR,1, -18,12:44,4,2,2,0,0,0,0,1,1,0,4
2021-01-09,MIN,SAS,0, -3,4:55,0,0,0,0,0,0,0,0,0,1,0
2021-01-22,MIN,ATL,0, -18,12:38,5,3,2,0,2,1,1,0,0,1,7
2021-01-25,MIN,GSW,1, -22,13:32,4,2,0,0,3,2,0,1,1,2,4
2021-01-27,MIN,GSW,1, -12,18:52,6,3,1,1,4,0,2,1,2,1,7
2021-01-29,MIN,PHI,0, -24,21:26,4,2,3,2,4,0,0,1,0,1,6
2021-01-31,MIN,CLE,0, +5,19:47,7,4,2,0,2,0,0,1,0,0,8
2021-02-01,MIN,CLE,1, -2,14:07,4,2,3,1,1,0,0,0,0,0,5
2021-02-03,MIN,SAS,1, -3,10:51,8,4,4,1,0,0,1,1,2,2,11
2021-02-05,MIN,OKC,1, +3,17:46,9,4,3,2,2,0,1,0,0,0,10
2021-02-06,MIN,OKC,1, -2,23:28,9,6,5,2,2,1,5,0,0,0,16
2021-02-08,MIN,DAL,1, -5,11:57,4,1,2,0,1,0,0,0,1,2,2
2021-02-19,MIN,TOR,0, -5,13:14,4,3,2,2,3,0,1,1,1,3,8
2021-02-21,MIN,NYK,1, -4,7:09,1,0,0,0,1,1,0,0,2,0,0
2021-02-23,MIN,MIL,1, -27,3:13,3,1,2,0,0,0,0,0,0,0,2
2021-02-28,MIN,PHO,0, -19,30:25,8,5,3,1,4,4,0,1,3,1,11
2021-03-03,MIN,CHO,0, -33,25:58,7,5,3,1,1,1,2,0,1,0,14
2021-03-11,MIN,NOP,1, +30,23:04,7,4,5,3,2,0,0,1,0,1,12
2021-03-13,MIN,POR,0, -4,28:02,5,1,4,0,5,3,1,0,2,2,3
2021-03-14,MIN,POR,0, +2,20:32,4,2,2,1,2,1,0,0,1,1,5
2021-03-16,MIN,LAL,1, -16,16:10,6,2,2,0,1,0,1,2,0,2,4
2021-03-18,MIN,PHO,1, +4,22:22,2,1,1,0,2,2,2,0,2,2,2
2021-03-19,MIN,PHO,1, -12,12:44,5,1,2,0,4,0,1,1,0,0,2
2021-03-22,MIN,OKC,0, -9,16:37,7,3,2,0,6,2,0,0,0,0,6
2021-03-24,MIN,DAL,0, -20,14:03,2,2,0,0,2,2,0,1,1,1,4
2021-03-27,MIN,HOU,0, -22,5:07,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,MIN,NYK,0, +1,3:28,0,0,0,0,0,0,0,0,0,0,0
2021-04-02,MIN,MEM,1, -12,4:27,0,0,0,0,0,0,0,0,0,0,0
2021-04-03,MIN,PHI,1, -9,18:07,5,3,1,0,0,0,1,0,0,2,6
2021-04-05,MIN,SAC,0, +10,2:57,1,0,1,0,0,0,1,0,1,0,0
2021-04-07,MIN,IND,1, -4,16:29,6,4,1,0,2,1,0,0,0,1,9
2021-04-13,MIN,BRK,0, -30,12:00,5,3,4,2,1,0,1,1,0,1,9
2021-04-14,MIN,MIL,0, -25,5:29,4,1,1,0,0,0,1,0,2,0,3
2021-04-16,MIN,MIA,0, +8,4:36,0,0,0,0,0,0,0,0,0,1,0
2021-04-18,MIN,LAC,1, -19,4:08,1,1,0,0,0,1,0,0,0,0,2
2021-05-09,MIN,ORL,1, +32,7:17,4,2,2,1,1,0,0,1,0,1,5
2021-05-11,MIN,DET,1, +19,2:30,0,0,0,0,0,0,0,1,0,1,0
2021-05-15,MIN,BOS,0, -16,15:13,5,2,3,1,2,0,0,0,0,1,5
