Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,SAS,MEM,1, +12,19:14,6,2,0,0,7,1,1,1,0,1,4
2020-12-26,SAS,TOR,0, +5,18:47,4,2,0,0,7,5,0,0,2,0,4
2020-12-27,SAS,NOP,1, -3,23:19,6,4,0,0,8,0,0,2,1,3,8
2020-12-30,SAS,LAL,0, -14,24:01,5,4,0,0,7,1,1,0,0,3,8
2021-01-01,SAS,LAL,0, -6,20:21,1,0,0,0,5,3,0,0,2,1,0
2021-01-03,SAS,UTA,0, -21,24:25,8,5,0,0,7,4,0,0,0,3,11
2021-01-05,SAS,LAC,1, +3,19:17,1,1,0,0,6,3,2,0,2,0,2
2021-01-07,SAS,LAL,1, +9,15:43,3,1,0,0,6,2,0,0,1,3,3
2021-01-09,SAS,MIN,1, +3,16:25,3,0,0,0,7,1,1,0,2,1,1
2021-01-10,SAS,MIN,1, -8,11:17,2,1,0,0,1,0,0,0,0,2,2
2021-01-12,SAS,OKC,1, +10,16:26,3,2,0,0,3,1,1,2,0,1,4
2021-01-14,SAS,HOU,0, -4,15:26,3,1,0,0,6,3,0,2,1,3,2
2021-01-16,SAS,HOU,0, +12,29:42,7,6,0,0,11,3,1,3,2,4,13
2021-01-18,SAS,POR,1, +21,21:32,7,5,0,0,7,1,0,3,2,4,11
2021-01-20,SAS,GSW,1, -22,24:42,9,5,0,0,5,0,0,0,2,1,10
2021-01-22,SAS,DAL,0, -5,17:36,3,1,0,0,5,1,0,2,1,1,2
2021-01-24,SAS,WAS,0, +20,21:27,4,2,0,0,6,1,2,1,0,1,4
2021-01-27,SAS,BOS,0, +4,19:29,2,2,0,0,9,4,1,2,3,5,4
2021-01-29,SAS,DEN,0, +10,25:12,4,2,0,0,6,1,1,0,0,2,4
2021-01-30,SAS,MEM,0, -17,18:10,6,4,0,0,6,4,0,3,1,1,8
2021-02-01,SAS,MEM,0, -31,20:34,2,2,0,0,6,2,0,2,0,2,6
2021-02-03,SAS,MIN,0, +3,33:39,10,9,0,0,8,1,1,4,1,1,19
2021-02-06,SAS,HOU,1, +5,29:06,6,0,0,0,11,1,0,1,1,2,2
2021-02-08,SAS,GSW,0, +5,29:50,9,7,0,0,11,0,0,4,1,4,14
2021-02-09,SAS,GSW,0, -23,19:42,4,2,0,0,5,0,0,2,1,3,4
2021-02-12,SAS,ATL,1, +11,28:16,7,7,0,0,12,1,3,3,2,0,14
2021-02-14,SAS,CHO,1, +12,36:32,6,3,0,0,11,2,1,4,3,4,8
2021-02-24,SAS,OKC,1, -3,35:11,7,3,0,0,9,3,0,2,0,1,7
2021-02-27,SAS,NOP,0, +3,25:13,5,3,0,0,11,2,1,3,2,5,6
2021-03-01,SAS,BRK,0, -11,36:26,8,7,0,0,12,2,1,1,1,2,14
2021-03-02,SAS,NYK,0, +26,29:49,5,3,0,0,8,3,1,2,0,1,8
2021-03-04,SAS,OKC,0, -5,22:43,3,1,0,0,5,2,1,1,3,5,2
2021-03-10,SAS,DAL,1, -11,32:22,3,2,0,0,5,0,0,0,0,4,6
2021-03-12,SAS,ORL,0, +27,29:03,6,3,0,0,9,6,1,0,3,2,6
2021-03-14,SAS,PHI,1, -35,24:29,7,3,0,0,5,2,0,2,0,1,7
2021-03-15,SAS,DET,1, +10,25:54,8,6,0,0,12,2,1,4,4,1,14
2021-03-17,SAS,CHI,1, +7,33:42,11,9,0,0,16,1,0,0,2,1,20
2021-03-19,SAS,CLE,1, +6,25:30,8,4,0,0,12,1,1,2,0,5,8
