Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,DAL,PHO,1, -4,18:11,8,5,2,0,2,4,0,0,3,2,12
2020-12-25,DAL,LAL,1, -23,13:52,5,2,1,0,2,1,0,0,3,2,4
2020-12-27,DAL,LAC,1, +51,13:19,6,4,3,1,2,3,0,0,0,0,11
2020-12-30,DAL,CHO,0, -19,20:16,13,5,5,2,4,4,1,0,1,0,16
2021-01-01,DAL,MIA,0, +10,12:11,5,1,0,0,3,2,2,0,1,1,2
2021-01-03,DAL,CHI,1, -10,37:30,17,11,7,3,5,7,1,0,4,0,31
2021-01-04,DAL,HOU,1, +13,18:34,6,2,1,0,0,4,0,0,0,1,6
2021-01-07,DAL,DEN,1, +7,18:39,5,2,3,1,2,3,0,0,2,3,7
2021-01-18,DAL,TOR,1, -23,27:24,10,4,4,3,2,2,1,0,3,3,13
2021-01-20,DAL,IND,1, +12,33:53,13,8,2,0,3,4,0,0,1,2,19
2021-01-22,DAL,SAS,1, +5,30:35,11,6,5,3,4,6,0,0,1,1,16
2021-01-23,DAL,HOU,0, -25,32:57,4,2,0,0,3,3,1,0,2,2,9
2021-01-25,DAL,DEN,0, -4,29:12,4,4,2,2,1,3,0,0,1,2,12
2021-01-27,DAL,UTA,1, -12,22:03,7,3,1,0,5,5,0,0,1,1,6
2021-01-29,DAL,UTA,1, -19,26:15,7,4,4,2,2,2,0,0,0,2,13
2021-01-30,DAL,PHO,0, -6,26:22,8,3,3,1,2,3,0,0,1,2,7
2021-02-01,DAL,PHO,0, -1,21:14,9,4,3,0,4,1,1,0,0,1,11
2021-02-03,DAL,ATL,1, +6,24:02,8,5,0,0,4,4,1,0,1,2,12
2021-02-04,DAL,GSW,0, -31,22:26,9,6,5,3,3,4,0,0,1,1,18
2021-02-06,DAL,GSW,0, +2,22:49,6,3,2,1,8,2,0,0,0,2,7
2021-02-08,DAL,MIN,0, +5,19:28,4,1,2,0,3,6,1,0,1,2,3
2021-02-10,DAL,ATL,0, +1,30:07,18,9,6,2,4,5,0,0,1,2,21
2021-02-12,DAL,NOP,0, +13,22:24,5,4,2,2,6,7,0,0,0,1,13
2021-02-14,DAL,POR,0, -3,34:17,12,5,5,0,2,2,0,0,1,1,11
2021-02-22,DAL,MEM,0, +10,27:54,11,7,5,2,7,3,1,0,2,1,19
2021-02-23,DAL,BOS,0, +3,30:12,11,6,7,5,2,2,0,0,2,2,22
2021-02-25,DAL,PHI,1, -14,22:57,5,3,3,2,5,1,1,0,2,2,11
2021-02-27,DAL,BRK,1, +17,26:34,11,6,4,1,3,1,2,0,0,2,14
2021-03-01,DAL,ORL,1, +6,29:05,13,9,6,3,6,3,1,0,1,1,24
2021-03-03,DAL,OKC,0, +9,32:53,11,5,4,0,6,4,2,0,2,1,11
2021-03-10,DAL,SAS,0, +11,20:18,4,3,2,1,2,3,1,0,2,1,8
2021-03-11,DAL,OKC,1, -8,35:35,15,9,4,2,4,3,1,0,1,2,26
2021-03-13,DAL,DEN,1, +13,25:04,11,4,5,1,4,4,0,0,0,2,12
2021-03-15,DAL,LAC,0, -10,23:52,4,3,2,2,2,3,0,0,1,2,8
2021-03-17,DAL,LAC,0, +16,15:44,5,2,2,1,3,2,1,0,5,2,5
2021-03-19,DAL,POR,1, -6,14:54,4,3,2,1,1,2,0,0,1,0,9
2021-03-21,DAL,POR,1, +40,19:03,7,2,2,0,3,1,0,0,1,1,4
2021-03-24,DAL,MIN,1, +20,29:34,12,7,2,0,11,5,1,0,2,5,16
2021-03-26,DAL,IND,0, -15,33:50,13,5,2,0,4,2,0,0,3,2,10
2021-03-27,DAL,NOP,1, -9,39:29,15,10,2,1,2,4,0,0,1,3,24
2021-03-29,DAL,OKC,1, +21,19:27,9,4,3,1,2,7,2,0,1,2,9
2021-03-31,DAL,BOS,1, +5,32:58,10,8,1,1,5,3,1,0,1,1,21
2021-04-02,DAL,NYK,1, +13,25:13,9,6,2,1,7,5,0,0,1,0,15
2021-04-03,DAL,WAS,1, +22,29:31,12,6,4,1,0,3,2,0,2,6,19
2021-04-05,DAL,UTA,0, +8,30:05,15,8,7,4,4,3,0,0,0,2,20
2021-04-07,DAL,HOU,1, -9,30:27,7,5,2,1,3,3,0,0,0,2,14
