Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,CHO,CLE,1, -7,5:34,2,1,0,0,1,0,1,0,1,0,2
2020-12-26,CHO,OKC,0, -2,10:43,1,0,0,0,5,1,0,0,1,3,2
2020-12-27,CHO,BRK,0, +2,4:05,3,0,1,0,1,2,0,0,0,1,0
2020-12-30,CHO,DAL,1, +19,16:11,5,4,2,1,1,0,0,0,4,2,10
2021-01-01,CHO,MEM,0, -15,15:47,3,2,1,0,5,2,0,0,1,1,7
2021-01-02,CHO,PHI,1, -15,12:01,4,2,0,0,2,0,0,0,1,2,4
2021-01-04,CHO,PHI,1, -17,16:29,6,4,2,1,4,0,1,0,0,4,10
2021-01-11,CHO,NYK,0, +21,1:21,0,0,0,0,0,0,0,0,0,0,0
2021-01-13,CHO,DAL,0, -11,1:15,1,0,0,0,0,0,0,0,0,0,0
2021-02-14,CHO,SAS,0, -12,24:57,8,3,3,0,2,1,0,0,1,2,6
2021-02-20,CHO,GSW,0, +2,18:42,7,3,4,2,7,0,0,0,3,4,9
2021-02-22,CHO,UTA,1, -22,24:51,5,1,3,0,5,0,0,0,0,2,4
2021-02-24,CHO,PHO,1, +3,15:16,2,2,1,1,4,0,0,1,0,2,8
2021-02-26,CHO,GSW,1, -9,15:46,7,2,2,0,2,2,0,0,1,4,4
2021-02-28,CHO,SAC,1, +1,15:10,6,2,2,0,2,0,0,2,1,1,4
2021-03-01,CHO,POR,1, -12,8:49,3,2,2,1,3,0,0,1,0,1,5
2021-03-03,CHO,MIN,1, +33,5:43,3,1,0,0,1,0,0,0,0,1,2
2021-03-13,CHO,TOR,0, +10,5:04,1,0,0,0,1,1,0,1,3,1,0
2021-03-17,CHO,DEN,1, -25,8:21,5,2,3,1,0,0,0,0,0,0,5
2021-03-20,CHO,LAC,1, -27,3:50,2,2,1,1,1,0,0,0,0,0,7
2021-03-24,CHO,HOU,1, +25,4:13,1,0,1,0,0,1,0,0,0,1,0
2021-04-01,CHO,BRK,1, -22,4:52,2,1,1,0,0,0,1,0,0,0,2
2021-04-02,CHO,IND,1, +17,1:41,2,1,0,0,0,0,0,0,0,0,2
2021-04-04,CHO,BOS,1, -30,16:50,6,3,1,0,1,1,0,0,0,2,7
2021-04-07,CHO,OKC,1, +11,31:51,14,9,6,3,6,3,2,0,0,5,21
2021-04-09,CHO,MIL,1, +8,31:05,11,7,3,2,6,5,1,2,1,3,19
2021-04-11,CHO,ATL,0, -4,28:59,7,4,2,1,3,2,1,1,0,4,9
2021-04-13,CHO,LAL,0, -8,39:54,12,7,4,2,8,1,2,0,2,5,16
2021-04-14,CHO,CLE,0, -13,31:29,13,3,8,3,3,2,2,1,2,4,9
2021-04-16,CHO,BRK,1, -15,32:04,8,3,4,1,2,1,4,0,4,3,12
2021-04-18,CHO,POR,0, +8,29:16,7,4,3,1,6,0,1,0,4,5,13
2021-04-20,CHO,NYK,1, -12,35:56,12,5,3,0,4,3,1,1,2,1,11
2021-04-22,CHO,CHI,1, -17,31:10,8,1,2,1,5,3,1,0,1,3,3
2021-04-23,CHO,CLE,0, +6,24:41,9,4,4,1,6,3,0,0,0,1,10
2021-04-25,CHO,BOS,0, +21,19:05,8,2,3,0,1,2,2,1,1,0,4
2021-04-27,CHO,MIL,0, -10,15:37,4,2,0,0,2,1,1,0,0,1,6
2021-04-28,CHO,BOS,1, -9,13:22,3,3,1,1,2,0,1,0,0,1,7
2021-05-01,CHO,DET,0, +13,14:49,3,3,0,0,9,0,0,2,1,2,7
2021-05-02,CHO,MIA,0, -10,26:35,7,4,5,3,9,2,0,0,2,2,12
2021-05-04,CHO,DET,1, +3,38:47,11,4,3,1,12,1,3,1,0,4,10
2021-05-06,CHO,CHI,0, -21,31:54,10,4,3,1,3,1,1,2,2,3,9
2021-05-07,CHO,ORL,0, +10,29:57,11,5,3,1,8,3,0,1,1,5,13
2021-05-09,CHO,NOP,0, -2,14:51,5,1,3,0,4,0,0,1,1,1,2
2021-05-11,CHO,DEN,0, -5,24:44,9,7,2,1,4,2,1,0,1,2,15
2021-05-13,CHO,LAC,0, -23,32:28,10,4,4,1,4,2,0,0,0,2,10
2021-05-15,CHO,NYK,1, -9,39:42,10,5,5,2,10,3,1,1,1,2,15
2021-05-16,CHO,WAS,1, -5,27:47,7,4,4,1,4,2,0,0,2,2,13
