Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,PHO,DAL,0,4,16.22,3,2,0,0,3,1,0,1,1,1,4
2020-12-26,PHO,SAC,1,-3,4.08,2,0,1,0,2,0,0,0,0,0,0
2021-01-23,PHO,DEN,0,-8,8.77,3,2,2,1,2,0,0,1,0,2,5
2021-01-27,PHO,OKC,0,-5,5.1,4,1,2,1,1,0,0,0,0,0,3
2021-01-28,PHO,GSW,0,21,5.07,2,1,0,0,0,0,0,0,0,0,2
2021-02-03,PHO,NOP,1,-22,6.15,2,0,1,0,1,1,0,0,0,0,0
2021-02-05,PHO,DET,0,17,2.95,1,0,1,0,1,0,0,0,0,0,0
2021-02-13,PHO,PHI,0,9,1.37,0,0,0,0,0,0,0,0,0,0,0
2021-02-26,PHO,CHI,1,9,1.03,0,0,0,0,0,0,0,0,0,0,0
2021-02-28,PHO,MIN,1,19,3.08,1,0,1,0,0,0,0,0,0,1,0
2021-03-04,PHO,GSW,0,22,3.65,1,1,0,0,1,0,0,0,0,0,2
2021-03-15,PHO,MEM,0,23,4.48,1,1,0,0,3,0,0,0,1,1,3
2021-03-19,PHO,MIN,0,12,1.87,0,0,0,0,0,0,0,0,1,1,0
2021-03-21,PHO,LAL,0,17,0.87,1,0,1,0,1,0,0,0,0,1,0
2021-03-23,PHO,MIA,1,10,1.38,0,0,0,0,0,0,0,0,0,0,0
2021-04-02,PHO,OKC,0,37,6.93,4,1,1,0,1,0,0,0,1,2,2
2021-04-08,PHO,LAC,1,-10,1.4,1,1,0,0,0,0,0,0,0,0,2
2021-04-10,PHO,WAS,0,28,4.25,1,0,0,0,0,0,0,0,0,0,0
2021-04-13,PHO,MIA,0,20,3.17,0,0,0,0,0,0,0,0,1,0,0
2021-04-17,PHO,SAS,0,-26,5.77,2,1,1,0,3,0,1,0,0,1,2
2021-04-25,PHO,BRK,1,-9,1.0,1,0,0,0,0,0,0,0,0,0,0
2021-04-28,PHO,LAC,0,8,0.47,0,0,0,0,0,0,0,0,0,0,0
2021-04-30,PHO,UTA,0,21,4.68,3,3,1,1,1,0,0,0,0,0,7
2021-05-04,PHO,CLE,1,16,0.97,0,0,0,0,0,0,0,0,0,1,0
2021-05-05,PHO,ATL,1,-32,8.03,1,1,0,0,2,0,0,0,1,2,6
2021-05-15,PHO,SAS,1,37,12.0,5,2,1,0,5,0,0,1,1,0,4
2021-05-16,PHO,SAS,1,2,40.97,11,5,4,1,10,2,0,2,0,3,11
