Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2021-01-06,ORL,CLE,0, +11,16:06,3,2,1,0,2,1,0,0,2,2,6
2021-01-08,ORL,HOU,1, -42,19:54,7,2,0,0,3,2,1,0,1,3,6
2021-01-09,ORL,DAL,1, -14,20:39,5,2,2,0,2,1,3,0,1,0,4
2021-01-11,ORL,MIL,0, -22,15:21,3,1,2,1,2,1,1,0,1,0,3
2021-01-15,ORL,BOS,1, -27,14:34,4,1,2,0,1,0,0,0,0,3,2
2021-01-16,ORL,BRK,1, -7,14:10,2,1,1,0,3,0,0,1,2,3,2
2021-01-18,ORL,NYK,1, -7,24:17,6,2,4,1,2,2,1,2,1,4,5
2021-01-20,ORL,MIN,1, +1,27:37,4,2,1,1,3,3,0,0,0,0,5
2021-01-22,ORL,IND,1, -2,27:59,7,4,3,1,5,2,0,0,1,2,9
2021-01-24,ORL,CHO,0, -3,21:30,7,3,2,2,5,2,2,1,1,2,8
2021-01-25,ORL,CHO,0, +9,13:54,1,0,1,0,4,3,1,1,1,3,0
2021-01-27,ORL,SAC,0, -14,19:15,4,3,1,1,1,0,1,0,1,5,8
2021-01-29,ORL,LAC,0, -26,18:23,2,2,2,2,5,1,2,0,2,1,6
2021-01-31,ORL,TOR,1, -13,19:26,5,3,2,1,4,0,0,0,0,3,8
2021-02-02,ORL,TOR,0, -15,19:20,6,4,2,1,4,1,1,0,1,1,10
2021-02-05,ORL,CHI,0, +4,23:22,5,3,0,0,3,0,1,0,0,2,14
2021-02-06,ORL,CHI,0, -26,29:19,6,1,2,0,7,1,0,0,1,3,6
2021-02-09,ORL,POR,1, -9,34:51,9,5,5,3,6,2,1,1,1,2,16
2021-02-11,ORL,GSW,1, -6,38:49,12,7,5,3,10,1,2,0,3,4,17
2021-02-12,ORL,SAC,1, +11,19:05,5,3,0,0,3,4,2,0,0,1,10
2021-02-19,ORL,GSW,0, +4,15:17,5,2,3,2,8,2,0,0,0,3,7
2021-02-21,ORL,DET,0, +9,20:48,3,1,2,0,2,1,0,0,0,1,3
2021-02-23,ORL,DET,0, -12,23:54,4,1,2,0,5,2,0,0,1,3,4
2021-02-25,ORL,BRK,1, -37,16:12,5,5,2,2,3,0,1,0,0,2,15
2021-03-21,ORL,BOS,1, -16,20:55,6,5,4,3,5,1,0,0,0,0,18
2021-03-23,ORL,DEN,0, -11,19:31,4,1,3,1,3,1,2,0,2,1,3
2021-03-24,ORL,PHO,0, +1,27:29,6,1,6,1,7,2,0,0,1,2,5
2021-03-26,ORL,POR,0, -7,35:51,10,6,6,4,3,4,0,0,2,1,18
2021-03-28,ORL,LAL,1, -3,26:52,12,4,4,1,4,0,0,0,1,1,9
2021-03-30,ORL,LAC,1, +7,27:38,8,2,3,0,6,1,0,0,1,2,5
2021-04-01,ORL,NOP,1, +5,37:50,9,6,1,1,4,3,4,0,0,4,13
2021-04-03,ORL,UTA,1, -46,36:05,9,4,2,1,5,1,1,0,0,3,12
2021-04-04,ORL,DEN,1, -10,37:22,7,5,4,3,2,5,2,0,2,1,17
2021-04-07,ORL,WAS,0, -15,18:07,5,2,3,0,3,1,1,0,2,2,4
2021-04-09,ORL,IND,0, -5,33:02,6,3,2,1,5,4,1,0,0,3,14
2021-04-11,ORL,MIL,0, -37,24:43,7,2,3,0,3,0,0,0,0,1,6
2021-04-12,ORL,SAS,0, -23,27:57,9,2,3,1,7,1,0,0,1,2,8
2021-04-14,ORL,CHI,1, +9,30:29,12,8,6,5,4,3,0,1,0,5,22
2021-04-16,ORL,TOR,1, -11,29:09,6,1,4,1,4,0,1,0,0,0,6
2021-04-28,ORL,CLE,1, +5,23:02,4,2,1,1,8,2,0,0,3,1,8
2021-04-30,ORL,MEM,1, -17,16:09,3,1,2,0,0,1,0,0,0,2,3
