Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-25,LAL,DAL,0,23,2.38,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4
2020-12-27,LAL,MIN,0,36,7.67,1,1,1,1,0,0,0,2,0,0,0,0,0,3,0
2020-12-30,LAL,SAS,1,14,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2021-01-03,LAL,MEM,1,14,1.45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1
2021-01-07,LAL,SAS,0,-9,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2021-01-08,LAL,CHI,0,2,7.13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
2021-02-18,LAL,BRK,0,-11,3.13,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9
2021-02-24,LAL,UTA,1,-25,13.68,2,1,2,1,0,0,2,4,1,0,0,1,2,3,-14
2021-02-28,LAL,GSW,0,26,12.0,2,0,1,0,0,0,1,4,0,0,0,1,0,0,-4
2021-03-02,LAL,PHO,0,-10,11.38,2,0,1,0,0,0,0,2,0,0,1,0,3,0,9
2021-03-03,LAL,SAC,1,-3,14.28,0,0,0,0,0,0,0,3,2,1,0,0,1,0,-11
2021-05-16,LAL,NOP,1,12,4.48,2,0,1,0,0,0,0,2,0,0,0,0,0,0,-1
