Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-27,MIN,LAL,1, -36,15:28,3,0,0,0,7,6,3,1,1,0,2
2020-12-29,MIN,LAC,1, -23,15:38,5,4,0,0,6,1,1,1,0,0,9
2021-01-01,MIN,WAS,0, -21,12:00,3,3,0,0,4,1,1,0,3,1,6
2021-01-03,MIN,DEN,0, -15,0:55,0,0,0,0,0,0,0,0,0,0,0
2021-01-05,MIN,DEN,1, -7,23:07,5,4,0,0,5,2,3,2,0,4,11
2021-01-07,MIN,POR,1, -18,20:54,7,4,0,0,10,1,2,0,0,2,10
2021-01-09,MIN,SAS,0, -3,12:14,1,1,0,0,2,1,0,0,1,1,2
2021-01-10,MIN,SAS,0, +8,19:09,4,2,0,0,8,0,0,0,1,2,5
2021-01-13,MIN,MEM,0, -11,14:37,1,1,0,0,4,0,0,0,0,5,2
2021-01-18,MIN,ATL,1, -11,29:13,4,3,0,0,8,3,3,1,3,3,8
2021-01-20,MIN,ORL,0, -1,17:32,3,1,1,1,3,1,1,1,1,4,4
2021-01-22,MIN,ATL,0, -18,26:50,10,5,0,0,4,4,2,1,0,1,10
2021-01-23,MIN,NOP,0, +10,21:11,13,8,0,0,11,0,2,1,0,1,16
2021-01-25,MIN,GSW,1, -22,24:35,8,5,0,0,5,2,2,2,2,3,12
2021-01-27,MIN,GSW,1, -12,24:49,3,2,0,0,7,4,2,1,0,2,4
2021-01-29,MIN,PHI,0, -24,23:31,5,5,0,0,5,2,1,1,3,3,11
2021-01-31,MIN,CLE,0, +5,25:25,6,3,0,0,8,0,1,1,3,3,7
2021-02-01,MIN,CLE,1, -2,19:12,4,1,0,0,9,4,0,0,1,2,4
2021-02-03,MIN,SAS,1, -3,15:54,2,1,0,0,11,2,0,1,2,2,2
2021-02-05,MIN,OKC,1, +3,21:01,4,3,0,0,9,2,1,0,1,0,8
