Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2021-01-12,UTA,CLE,1,30,5.65,1,0,1,0,1,0,0,1,0,2,0
2021-01-19,UTA,NOP,0,16,1.82,0,0,0,0,0,0,0,0,0,0,0
2021-01-27,UTA,DAL,0,12,1.57,0,0,0,0,0,0,0,0,0,0,0
2021-01-29,UTA,DAL,0,19,2.72,2,1,1,1,1,0,0,0,0,1,3
2021-01-31,UTA,DEN,1,-11,3.08,2,0,1,0,1,0,0,0,0,0,0
2021-02-04,UTA,ATL,1,21,3.27,2,2,2,2,0,0,0,0,1,1,6
2021-02-13,UTA,MIA,0,18,1.92,0,0,0,0,1,0,1,0,0,0,0
2021-02-17,UTA,LAC,1,18,2.32,1,0,1,0,0,0,0,0,0,0,0
2021-02-24,UTA,LAL,0,25,4.2,2,1,1,0,3,0,0,0,0,0,2
2021-02-27,UTA,ORL,1,15,1.28,0,0,0,0,0,0,0,0,0,0,0
2021-03-18,UTA,WAS,1,-9,0.95,0,0,0,0,0,0,0,0,0,0,0
2021-03-22,UTA,CHI,1,25,1.63,0,0,0,0,0,1,1,0,0,0,0
2021-03-24,UTA,BRK,0,30,4.1,3,2,2,1,0,1,0,0,0,1,5
2021-03-27,UTA,MEM,0,16,2.17,1,1,0,0,0,0,1,0,0,1,2
2021-03-29,UTA,CLE,0,39,6.6,4,1,1,0,2,1,0,0,0,1,4
2021-04-03,UTA,ORL,0,46,12.0,5,2,4,1,4,1,0,0,0,2,5
2021-04-08,UTA,POR,0,19,2.25,2,1,1,0,2,0,0,0,0,0,2
2021-04-13,UTA,OKC,0,10,21.87,5,4,3,2,4,1,0,0,1,3,10
2021-04-17,UTA,LAL,1,-12,6.63,0,0,0,0,0,1,0,1,1,1,0
2021-04-19,UTA,LAL,1,14,3.15,1,0,1,0,0,0,0,0,0,0,0
2021-04-21,UTA,HOU,1,23,4.75,2,0,1,0,1,0,0,0,0,1,0
2021-04-28,UTA,SAC,1,49,12.0,6,5,3,3,3,3,1,0,2,2,13
2021-04-30,UTA,PHO,1,-21,9.73,1,0,0,0,0,2,1,0,1,0,0
2021-05-03,UTA,SAS,0,11,1.27,1,0,1,0,0,0,0,0,0,0,0
2021-05-05,UTA,SAS,0,32,8.48,5,2,2,1,2,2,0,0,0,1,5
2021-05-12,UTA,POR,0,-7,2.3,3,2,1,1,0,1,0,0,0,0,5
2021-05-14,UTA,OKC,1,16,7.72,3,1,1,0,2,1,2,0,2,0,2
2021-05-16,UTA,SAC,1,22,2.88,0,0,0,0,0,0,0,0,0,0,0
