Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-22,BRK,GSW,0,26,19.62,3,2,0,0,4,5,3,7,2,1,2,2,0,8,12
2020-12-25,BRK,BOS,1,28,21.45,3,2,0,0,5,6,5,11,1,0,4,1,1,9,18
2020-12-27,BRK,CHO,1,-2,25.35,2,1,0,0,6,8,4,14,1,0,1,2,1,8,-3
2020-12-28,BRK,MEM,0,-5,22.38,6,3,0,0,2,3,5,15,1,0,0,2,1,8,2
2020-12-30,BRK,ATL,0,4,24.43,7,6,0,0,3,5,5,13,1,0,0,2,3,15,8
2021-01-01,BRK,ATL,0,-18,22.05,3,2,0,0,1,1,2,4,0,0,1,0,2,5,-7
2021-01-03,BRK,WAS,0,-1,24.72,6,3,0,0,8,9,2,11,0,1,4,3,3,14,-5
2021-01-05,BRK,UTA,0,34,31.95,9,8,0,0,3,7,5,18,1,3,2,0,1,19,20
2021-01-07,BRK,PHI,0,13,28.42,6,5,0,0,5,6,3,11,3,0,1,3,3,15,16
2021-01-08,BRK,MEM,1,-5,30.28,7,3,0,0,6,7,3,6,6,1,1,2,2,12,3
2021-01-10,BRK,OKC,0,-13,33.08,7,6,0,0,3,3,1,10,1,0,1,3,3,15,-5
2021-01-12,BRK,DEN,0,6,35.82,6,3,0,0,0,1,0,5,3,1,2,2,1,6,18
2021-01-20,CLE,BRK,0,12,31.17,10,6,0,0,0,0,3,11,2,1,4,1,0,12,10
2021-01-22,CLE,BRK,0,12,19.3,9,7,0,0,5,6,2,6,0,0,0,2,1,19,0
2021-01-24,CLE,BOS,1,-38,25.8,7,5,0,0,2,2,3,7,2,0,1,0,2,12,-9
2021-01-25,CLE,LAL,0,-7,28.87,3,2,0,0,2,2,3,5,0,0,2,2,3,6,-9
2021-01-27,CLE,DET,0,15,19.98,7,5,0,0,0,0,0,1,0,1,2,1,2,10,9
2021-01-29,CLE,NYK,1,-21,25.68,8,5,0,0,5,6,5,9,3,1,1,1,2,15,-22
2021-01-31,CLE,MIN,1,-5,15.3,5,4,0,0,2,2,1,5,0,0,1,1,1,10,-6
2021-02-01,CLE,MIN,0,2,34.77,9,7,0,0,9,14,4,18,1,0,5,1,1,23,8
2021-02-03,CLE,LAC,0,-22,25.75,8,3,0,0,1,1,3,9,5,1,2,0,2,7,11
2021-02-05,CLE,MIL,0,-18,21.5,3,3,1,1,6,6,1,4,3,0,2,2,2,13,-9
2021-02-06,CLE,MIL,0,-25,24.7,4,1,1,0,0,0,2,7,0,0,1,0,2,2,-26
2021-02-08,CLE,PHO,1,-6,34.02,7,5,0,0,4,5,2,5,1,0,1,0,2,14,0
2021-02-10,CLE,DEN,1,-38,25.75,11,7,1,0,4,5,4,10,2,0,1,2,0,18,-25
2021-02-12,CLE,POR,1,-19,24.35,12,7,1,0,8,15,5,6,2,1,2,3,0,22,-9
