Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,MIN,DET,0,10,20.62,6,3,1,0,4,5,2,10,2,0,0,0,0,10,7
2020-12-26,MIN,UTA,1,5,19.73,7,5,3,3,1,2,3,6,0,1,0,0,3,14,9
2020-12-27,MIN,LAL,1,-36,29.42,11,4,4,0,0,0,2,4,0,1,1,5,4,8,-18
2020-12-29,MIN,LAC,1,-23,25.5,10,0,3,0,0,0,4,10,0,1,1,1,1,0,-12
2021-01-01,MIN,WAS,0,-21,20.65,4,2,1,0,0,0,1,2,0,0,0,2,5,4,-8
2021-01-03,MIN,DEN,0,-15,28.47,13,8,4,1,3,6,4,6,0,3,0,2,2,20,-9
2021-01-05,MIN,DEN,1,-7,22.2,5,2,1,0,0,0,1,6,1,0,0,2,2,4,4
2021-01-07,MIN,POR,1,-18,19.58,6,3,3,1,0,0,3,5,2,0,0,1,1,7,-14
2021-01-09,MIN,SAS,0,-3,30.62,6,4,0,0,2,4,1,8,3,0,0,1,4,10,-4
2021-01-10,MIN,SAS,0,8,19.92,5,1,1,0,0,0,0,3,4,0,1,2,1,2,8
2021-01-13,MIN,MEM,0,-11,10.08,2,1,1,0,0,2,0,2,0,0,0,0,2,2,-6
2021-01-18,MIN,ATL,1,-11,19.2,6,3,0,0,1,2,2,7,0,3,1,3,3,7,-4
2021-01-20,MIN,ORL,0,-1,15.02,6,3,0,0,1,2,1,3,1,1,1,1,0,7,6
2021-01-22,MIN,ATL,0,-18,18.55,13,6,5,1,2,2,1,2,2,0,1,0,4,15,-15
2021-01-23,MIN,NOP,0,10,24.78,9,6,4,2,2,4,0,5,0,1,0,0,4,16,1
2021-01-25,MIN,GSW,1,-22,14.72,2,0,0,0,4,4,0,1,0,0,0,1,2,4,5
2021-02-27,MIN,WAS,1,-16,14.02,6,1,1,0,1,2,3,5,0,0,1,1,0,3,-20
2021-02-28,MIN,PHO,0,-19,9.1,3,0,2,0,0,0,0,2,1,1,0,0,0,0,-6
2021-03-03,MIN,CHO,0,-33,14.02,8,2,1,0,0,0,2,3,0,0,0,1,2,4,-5
2021-03-19,MIN,PHO,1,-12,9.72,4,2,1,0,1,2,0,0,1,1,0,1,2,5,3
2021-03-22,MIN,OKC,0,-9,8.22,1,0,1,0,0,0,0,1,0,0,0,0,2,0,-4
2021-03-24,MIN,DAL,0,-20,7.82,2,0,0,0,1,2,0,0,0,0,0,0,1,1,-6
2021-03-27,MIN,HOU,0,-22,4.35,2,1,1,0,0,0,0,1,0,0,0,0,0,2,-8
2021-03-29,MIN,BRK,1,-5,16.28,10,3,4,1,1,1,2,3,0,1,1,0,3,8,-12
2021-03-31,MIN,NYK,0,1,3.73,2,0,1,0,1,2,0,1,0,0,0,0,0,1,-3
2021-04-02,MIN,MEM,1,-12,3.78,1,1,0,0,2,2,0,0,0,2,0,0,0,4,8
2021-04-03,MIN,PHI,1,-9,8.65,1,1,1,1,0,0,0,1,0,0,0,1,2,3,-14
2021-04-05,MIN,SAC,0,10,6.92,1,0,0,0,0,0,0,0,1,0,0,0,2,0,-5
2021-04-07,MIN,IND,1,-4,18.3,5,3,1,1,1,2,2,3,2,0,1,1,2,8,-9
2021-04-09,MIN,BOS,1,-9,5.13,0,0,0,0,0,0,0,1,0,0,0,0,3,0,4
2021-04-11,MIN,CHI,0,4,6.93,2,2,1,1,0,0,0,0,0,1,0,1,0,5,-1
2021-04-13,MIN,BRK,0,-30,14.93,6,1,5,1,1,2,0,3,2,0,0,1,0,4,-1
2021-04-14,MIN,MIL,0,-25,3.95,2,0,2,0,0,0,0,0,0,0,0,0,0,0,-5
2021-04-18,MIN,LAC,1,-19,4.13,1,1,0,0,0,0,0,0,2,0,0,0,1,2,3
