Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,NOP,TOR,1, +14,6:17,0,0,0,0,0,1,0,0,1,1,0
2020-12-25,NOP,MIA,1, -13,3:15,1,0,0,0,1,1,0,0,1,0,0
2020-12-27,NOP,SAS,0, +3,17:09,3,2,0,0,4,0,0,0,1,4,6
2020-12-29,NOP,PHO,1, -25,11:46,0,0,0,0,6,1,1,2,0,0,0
2020-12-31,NOP,OKC,1, +33,14:10,2,0,0,0,6,1,0,2,2,3,0
2021-01-02,NOP,TOR,0, +4,16:36,3,1,0,0,8,0,1,0,0,3,6
2021-01-04,NOP,IND,0, -2,13:52,5,4,0,0,5,0,0,1,1,1,9
2021-01-06,NOP,OKC,0, -1,13:43,3,2,0,0,2,0,0,0,0,2,4
2021-01-08,NOP,CHO,0, -8,3:17,0,0,0,0,0,1,0,0,0,2,0
2021-01-13,NOP,LAC,1, -5,19:01,6,2,0,0,10,2,0,0,0,1,4
2021-01-15,NOP,LAL,1, -17,7:57,5,4,0,0,4,0,0,1,1,2,8
2021-01-17,NOP,SAC,1, +5,15:52,6,4,0,0,6,0,0,0,1,1,11
2021-01-19,NOP,UTA,1, -16,15:01,2,1,0,0,1,0,0,0,1,3,2
2021-01-21,NOP,UTA,1, -11,15:37,1,1,0,0,2,1,1,0,1,1,3
2021-01-23,NOP,MIN,1, -10,17:12,1,1,0,0,3,1,1,1,3,1,2
2021-01-27,NOP,WAS,0, +18,14:38,4,4,0,0,1,0,0,0,0,3,8
2021-01-30,NOP,HOU,0, -14,13:26,3,3,0,0,5,0,2,0,0,3,10
2021-02-01,NOP,SAC,0, -9,11:18,6,3,0,0,4,0,0,0,0,4,7
2021-02-09,NOP,HOU,0, +29,1:46,1,1,0,0,0,0,0,0,0,0,2
2021-02-16,NOP,MEM,1, +31,4:58,1,1,0,0,3,0,0,0,0,1,2
2021-02-17,NOP,POR,0, -2,8:37,2,1,0,0,5,0,1,0,0,2,4
2021-02-19,NOP,PHO,0, -18,19:57,2,2,0,0,3,0,1,0,3,5,4
2021-02-21,NOP,BOS,0, +5,13:28,1,1,0,0,1,0,0,1,0,0,3
2021-03-03,NOP,CHI,0, -4,11:06,5,5,0,0,1,0,0,3,0,1,10
2021-03-04,NOP,MIA,0, -10,20:46,5,3,0,0,8,0,1,1,0,1,6
2021-03-11,NOP,MIN,0, -30,11:03,5,5,0,0,1,1,0,1,0,1,11
2021-03-12,NOP,CLE,0, +34,20:16,6,5,0,0,6,1,0,1,0,3,13
2021-03-14,NOP,LAC,0, +20,24:21,6,6,0,0,3,1,1,1,1,1,17
2021-03-16,NOP,POR,1, -1,18:52,2,2,0,0,3,1,0,1,0,4,4
2021-03-18,NOP,POR,1, -8,13:22,1,1,0,0,2,0,0,0,0,0,3
2021-03-21,NOP,DEN,1, +5,11:44,3,1,0,0,2,1,0,0,1,1,3
2021-03-23,NOP,LAL,0, +17,19:08,6,4,0,0,5,2,1,0,1,4,15
2021-03-26,NOP,DEN,0, -5,6:53,0,0,0,0,2,0,0,0,1,0,2
2021-03-29,NOP,BOS,1, +6,18:07,2,2,0,0,4,2,0,0,2,2,4
2021-04-01,NOP,ORL,0, -5,16:26,7,4,0,0,3,2,1,1,1,2,10
2021-04-02,NOP,ATL,0, -23,26:42,9,4,0,0,4,0,0,1,0,3,12
2021-04-04,NOP,HOU,1, +7,29:04,12,4,2,1,7,2,1,1,0,3,11
2021-04-06,NOP,ATL,1, -16,17:05,8,5,0,0,7,1,0,1,2,1,11
2021-04-07,NOP,BRK,1, -28,24:15,7,5,1,1,6,0,0,0,1,3,11
2021-04-09,NOP,PHI,0, +7,19:13,6,5,1,0,6,0,0,1,1,0,12
2021-04-11,NOP,CLE,1, +7,14:50,6,3,1,1,3,1,0,0,1,2,8
2021-04-12,NOP,SAC,0, +7,20:30,7,4,1,0,7,0,3,0,2,1,8
2021-04-14,NOP,NYK,0, -10,16:47,4,3,0,0,7,0,0,0,1,1,8
2021-04-16,NOP,WAS,1, -2,9:26,1,0,0,0,1,1,0,0,0,2,3
2021-04-18,NOP,NYK,1, -10,16:49,3,2,0,0,5,0,0,2,0,0,6
2021-04-20,NOP,BRK,0, -5,9:17,2,1,1,0,3,0,0,0,0,2,2
2021-04-22,NOP,ORL,1, +35,21:19,5,4,0,0,6,1,1,0,0,2,10
2021-04-24,NOP,SAS,0, -2,13:55,7,2,0,0,4,0,1,0,0,0,6
2021-04-26,NOP,LAC,0, +17,17:23,4,3,0,0,3,0,0,1,0,3,6
2021-04-28,NOP,DEN,1, -2,13:55,3,3,0,0,3,0,1,0,0,1,10
2021-04-29,NOP,OKC,1, +14,19:26,5,3,0,0,7,0,0,2,1,3,8
2021-05-01,NOP,MIN,1, +4,25:28,6,4,0,0,6,1,0,1,1,1,13
2021-05-03,NOP,GSW,0, -15,14:12,4,4,0,0,4,0,1,0,3,1,9
2021-05-04,NOP,GSW,0, +5,23:54,7,4,0,0,9,0,1,1,0,0,8
2021-05-07,NOP,PHI,1, -2,23:51,16,8,1,0,8,3,1,3,1,4,19
2021-05-09,NOP,CHO,1, +2,26:03,11,8,0,0,8,0,1,6,0,0,18
2021-05-10,NOP,MEM,1, -5,23:32,10,5,3,3,2,2,0,0,2,1,13
2021-05-12,NOP,DAL,1, -18,21:45,10,4,1,0,6,0,1,1,0,1,15
2021-05-14,NOP,GSW,1, -3,24:25,14,7,2,0,8,0,0,0,0,1,19
2021-05-16,NOP,LAL,0, -12,19:36,7,4,0,0,7,3,1,0,0,2,10
