Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,BOS,MIL,0, +1,37:38,24,13,8,3,5,4,2,1,0,3,33
2020-12-25,BOS,BRK,0, -28,30:32,25,11,4,0,8,3,0,1,2,5,27
2020-12-27,BOS,IND,1, -1,33:36,13,8,1,0,2,4,2,1,2,4,18
2020-12-29,BOS,IND,1, +5,34:22,13,7,2,1,2,2,4,0,1,2,20
2020-12-30,BOS,MEM,0, +19,28:57,21,15,10,7,5,4,1,0,4,1,42
2021-01-01,BOS,DET,1, -3,37:34,21,12,7,1,9,2,3,2,4,3,25
2021-01-03,BOS,DET,1, +2,34:53,16,13,8,5,1,3,0,0,6,2,31
2021-01-04,BOS,TOR,1, +12,33:56,16,7,2,1,5,3,1,0,4,2,19
2021-01-06,BOS,MIA,1, +2,36:46,23,8,9,3,12,5,2,2,1,4,21
2021-01-08,BOS,WAS,0, +9,37:40,19,9,6,3,13,5,2,0,5,4,27
2021-01-15,BOS,ORL,0, +27,25:01,12,6,5,2,2,8,1,0,2,1,21
2021-01-17,BOS,NYK,0, -30,32:33,20,9,9,3,6,3,1,0,2,3,25
2021-01-20,BOS,PHI,1, -8,32:49,24,10,10,3,5,3,0,0,4,3,26
2021-01-22,BOS,PHI,1, -12,35:50,28,16,8,5,9,3,1,1,3,1,42
2021-01-24,BOS,CLE,0, +38,19:14,20,13,4,3,3,1,2,0,1,3,33
2021-01-25,BOS,CHI,1, +16,29:49,21,10,3,2,5,2,2,0,2,1,26
2021-01-27,BOS,SAS,1, -4,36:06,19,8,6,3,4,5,1,2,0,4,24
2021-01-30,BOS,LAL,0, -1,37:57,19,13,4,2,1,3,1,1,2,4,28
2021-02-02,BOS,GSW,1, +4,32:07,20,8,6,1,10,4,0,1,3,5,18
2021-02-03,BOS,SAC,1, -5,33:49,18,7,6,2,3,4,0,1,1,2,21
2021-02-09,BOS,UTA,1, -14,37:24,20,12,6,3,8,0,0,0,3,2,33
2021-02-11,BOS,TOR,0, +14,32:14,14,3,4,0,5,10,2,1,5,4,12
2021-02-12,BOS,DET,0, -6,36:20,21,11,4,1,6,0,2,0,2,4,27
2021-02-14,BOS,WAS,1, -13,28:39,21,11,5,2,7,0,1,1,5,2,25
2021-02-16,BOS,DEN,0, +13,37:00,20,11,10,5,5,5,0,0,7,3,27
2021-02-17,BOS,ATL,0, -8,35:21,20,6,7,2,3,7,0,0,3,5,22
2021-02-19,BOS,ATL,0, +12,34:11,12,6,7,4,4,6,1,0,3,0,17
2021-02-21,BOS,NOP,1, -5,40:49,23,7,10,3,6,9,0,0,3,5,25
2021-02-23,BOS,DAL,1, -3,37:33,20,12,8,2,7,5,2,0,3,4,29
2021-02-24,BOS,ATL,1, -15,29:29,16,6,6,0,4,5,1,0,2,1,17
2021-02-26,BOS,IND,0, +6,37:29,12,5,2,0,7,5,0,0,4,3,15
2021-03-02,BOS,LAC,0, +5,33:54,14,8,3,2,5,2,1,0,1,2,18
2021-03-04,BOS,TOR,0, +7,33:54,11,4,6,2,7,4,0,1,3,4,21
2021-03-11,BOS,BRK,1, -12,40:25,23,5,12,3,5,6,4,0,4,0,13
2021-03-14,BOS,HOU,1, +27,26:45,14,9,3,2,2,0,1,0,2,3,24
2021-03-16,BOS,UTA,0, -8,38:55,21,12,4,2,5,7,2,1,3,3,28
2021-03-17,BOS,CLE,1, -7,39:18,26,11,10,2,3,4,2,3,2,4,28
2021-03-19,BOS,SAC,0, -11,34:33,20,8,5,3,11,3,3,1,5,4,19
2021-03-21,BOS,ORL,0, +16,32:34,24,12,19,10,4,3,1,0,0,4,34
2021-03-22,BOS,MEM,1, -6,40:22,24,11,11,3,9,5,1,1,3,4,27
2021-03-24,BOS,MIL,1, -2,33:54,16,10,7,4,10,2,0,0,2,0,24
2021-03-26,BOS,MIL,1, +8,30:11,15,6,9,4,5,2,1,0,2,2,18
2021-03-27,BOS,OKC,1, +17,29:50,23,9,10,3,3,0,0,0,4,4,25
2021-03-31,BOS,DAL,0, -5,36:38,17,9,11,4,4,1,4,0,3,2,24
2021-04-02,BOS,HOU,0, +16,27:26,20,9,2,1,11,2,2,0,1,3,22
2021-04-04,BOS,CHO,0, +30,25:50,13,6,8,5,6,1,0,1,1,2,17
2021-04-06,BOS,PHI,0, -10,32:56,10,6,7,3,3,0,0,1,3,4,17
2021-04-07,BOS,NYK,0, +2,36:01,26,12,13,5,10,3,2,1,2,1,32
2021-04-09,BOS,MIN,0, +9,44:09,15,9,9,4,5,3,2,2,5,5,26
2021-04-11,BOS,DEN,1, +18,35:57,15,8,7,2,8,3,0,2,0,3,20
2021-04-13,BOS,POR,1, +1,40:29,21,9,7,3,4,2,1,0,1,4,24
2021-04-15,BOS,LAL,1, +8,32:06,20,17,5,3,9,3,1,0,6,2,40
2021-04-19,BOS,CHI,0, -6,37:01,15,10,4,3,4,1,1,0,2,4,23
2021-04-25,BOS,CHO,1, -21,34:50,22,8,7,2,8,2,2,0,3,1,20
2021-04-27,BOS,OKC,0, -4,38:03,26,13,11,4,11,3,4,0,3,3,39
2021-04-28,BOS,CHO,0, +9,36:48,23,13,13,7,7,4,0,1,1,3,38
2021-04-30,BOS,SAS,0, +3,43:31,24,5,12,4,5,2,2,2,4,3,17
2021-05-02,BOS,POR,0, -10,34:42,22,6,9,1,11,4,0,0,3,4,16
