Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2021-01-07,MIN,POR,1, -18,7:47,3,1,1,0,1,1,0,0,0,0,2
2021-01-22,MIN,ATL,0, -18,12:07,4,4,1,1,2,0,1,0,1,2,9
2021-01-27,MIN,GSW,1, -12,15:56,7,3,6,2,2,3,0,0,1,1,12
2021-01-29,MIN,PHI,0, -24,23:24,9,3,5,1,1,1,0,1,3,4,10
2021-01-31,MIN,CLE,0, +5,19:29,13,6,6,1,0,1,1,0,1,3,13
2021-02-01,MIN,CLE,1, -2,17:06,13,5,3,1,4,1,0,0,0,2,12
2021-02-03,MIN,SAS,1, -3,16:26,9,3,3,2,1,0,1,0,0,0,10
2021-02-05,MIN,OKC,1, +3,15:56,12,6,5,2,2,0,0,0,0,1,14
2021-02-06,MIN,OKC,1, -2,22:21,8,6,5,3,2,0,0,0,1,1,15
2021-02-08,MIN,DAL,1, -5,20:51,9,6,2,1,5,1,1,1,1,1,18
2021-02-10,MIN,LAC,0, -7,17:30,10,3,3,2,2,0,0,1,1,2,9
2021-02-12,MIN,CHO,1, -6,17:42,6,1,4,0,2,1,0,0,0,1,2
2021-02-14,MIN,TOR,1, +4,13:41,6,4,3,1,0,2,1,1,0,5,11
2021-02-16,MIN,LAL,0, -8,9:55,5,0,1,0,2,1,1,0,0,1,2
2021-02-17,MIN,IND,0, -6,6:02,2,2,0,0,0,2,0,0,0,3,6
2021-02-19,MIN,TOR,0, -5,8:23,2,0,1,0,0,0,0,0,0,1,0
2021-02-21,MIN,NYK,1, -4,11:14,6,0,2,0,0,0,1,0,0,1,0
2021-02-23,MIN,MIL,1, -27,22:11,10,5,6,3,4,1,1,0,1,2,13
2021-02-24,MIN,CHI,1, -7,19:17,10,5,4,1,3,0,0,0,0,0,12
2021-02-27,MIN,WAS,1, -16,25:46,9,5,4,3,5,4,1,0,0,4,15
2021-02-28,MIN,PHO,0, -19,20:57,8,1,2,0,3,1,1,0,1,2,6
2021-03-03,MIN,CHO,0, -33,23:05,9,2,5,1,1,3,0,0,1,3,7
2021-03-11,MIN,NOP,1, +30,28:11,13,11,7,6,5,6,1,1,2,1,28
2021-03-13,MIN,POR,0, -4,27:58,14,7,6,3,5,1,0,0,3,3,17
2021-03-14,MIN,POR,0, +2,24:53,9,4,8,4,4,2,1,0,0,2,14
2021-03-16,MIN,LAL,1, -16,27:41,10,6,4,1,4,4,0,2,1,3,13
2021-03-18,MIN,PHO,1, +4,20:38,8,3,3,0,2,0,0,1,0,3,6
2021-03-19,MIN,PHO,1, -12,22:02,9,6,5,2,1,1,2,1,1,5,14
2021-03-22,MIN,OKC,0, -9,28:07,12,6,5,2,1,3,0,1,1,2,14
2021-03-24,MIN,DAL,0, -20,24:40,8,4,2,0,2,4,1,0,1,2,11
2021-03-26,MIN,HOU,0, +6,30:24,14,4,6,0,5,5,3,0,0,2,8
2021-03-27,MIN,HOU,0, -22,22:42,9,3,5,1,2,2,0,0,1,1,9
2021-03-29,MIN,BRK,1, -5,16:17,9,3,4,2,3,1,1,0,1,1,9
2021-03-31,MIN,NYK,0, +1,21:15,7,2,0,0,6,3,2,0,0,1,4
2021-04-02,MIN,MEM,1, -12,20:45,9,4,3,1,1,3,0,0,4,1,9
2021-04-03,MIN,PHI,1, -9,4:33,3,1,2,0,1,1,0,0,0,0,4
2021-04-13,MIN,BRK,0, -30,16:45,10,1,6,0,3,0,0,0,0,1,3
2021-04-14,MIN,MIL,0, -25,9:52,4,0,1,0,2,0,0,0,0,0,0
2021-05-07,MIN,MIA,1, -9,7:12,1,0,0,0,1,0,0,0,0,2,0
2021-05-09,MIN,ORL,1, +32,24:55,8,3,4,1,3,2,0,2,1,2,8
2021-05-11,MIN,DET,1, +19,2:30,3,1,3,1,0,0,0,0,0,0,3
2021-05-15,MIN,BOS,0, -16,10:35,5,2,4,1,2,1,1,0,0,0,7
