Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-26,WAS,ORL,0, -10,19:39,3,0,2,0,2,1,0,0,1,4,0
2020-12-27,WAS,ORL,0, -7,7:16,1,1,0,0,0,0,0,0,2,3,2
2021-01-01,WAS,MIN,1, +21,22:07,8,4,3,2,2,3,1,0,0,1,13
2021-01-03,WAS,BRK,1, +1,11:45,3,0,1,0,2,2,1,0,0,2,0
2021-01-06,WAS,PHI,1, -5,5:06,0,0,0,0,0,0,0,0,0,2,0
2021-01-09,WAS,MIA,0, -4,23:47,8,4,4,2,4,2,1,0,1,1,12
2021-01-24,WAS,SAS,1, -20,35:19,15,6,10,3,5,4,0,1,0,0,16
2021-01-26,WAS,HOU,1, -19,29:45,7,2,3,0,5,1,1,0,2,2,4
2021-01-27,WAS,NOP,1, -18,22:25,7,2,4,1,3,4,0,0,2,1,8
2021-01-29,WAS,ATL,0, -16,24:11,7,1,1,0,6,1,1,1,2,4,6
2021-02-05,WAS,MIA,1, -27,16:14,8,2,3,1,4,0,1,0,1,1,7
2021-02-10,WAS,TOR,0, -22,2:27,0,0,0,0,0,0,0,0,0,0,0
2021-02-14,WAS,BOS,0, +13,0:39,0,0,0,0,0,0,0,0,0,0,0
2021-03-27,WAS,DET,0, +14,18:08,5,0,1,0,1,1,2,0,2,3,0
2021-03-29,WAS,IND,0, +8,20:36,6,1,1,0,0,2,3,3,3,5,3
2021-03-30,WAS,CHO,0, -10,36:11,14,5,8,2,3,3,1,0,2,1,12
2021-04-01,WAS,DET,1, -29,9:19,3,0,1,0,1,1,0,1,1,1,0
