Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,UTA,POR,1,20,26.72,10,5,8,3,5,7,1,1,1,0,14
2020-12-26,UTA,MIN,0,-5,25.87,8,3,5,2,2,0,0,0,3,3,10
2020-12-28,UTA,OKC,1,1,20.38,4,2,2,0,4,3,1,0,3,3,4
2020-12-31,UTA,PHO,0,-11,32.18,7,2,5,1,1,4,1,0,1,3,5
2021-01-01,UTA,LAC,0,6,32.9,7,5,3,1,8,7,0,0,1,2,11
2021-01-03,UTA,SAS,1,21,20.67,9,5,6,2,7,1,0,0,0,1,13
2021-01-05,UTA,BRK,1,-34,22.72,6,2,2,1,3,2,0,0,2,3,7
2021-01-06,UTA,NYK,1,-12,28.27,13,6,9,4,2,3,0,0,4,1,16
2021-01-10,UTA,DET,1,10,23.52,6,3,5,2,5,2,0,0,0,2,9
2021-01-19,UTA,NOP,0,16,18.63,6,5,6,5,3,2,0,1,0,1,15
2021-01-21,UTA,NOP,0,11,19.5,6,3,4,2,1,9,1,0,1,2,8
2021-01-23,UTA,GSW,0,19,17.92,8,5,6,3,0,3,0,1,1,1,13
2021-01-26,UTA,NYK,0,14,27.08,6,3,4,1,2,5,0,0,1,1,7
2021-01-27,UTA,DAL,0,12,30.33,13,7,11,7,4,8,0,0,1,2,21
2021-01-29,UTA,DAL,0,19,27.53,7,4,4,2,4,4,1,0,4,4,10
2021-01-31,UTA,DEN,1,-11,25.35,7,3,4,2,1,6,0,0,2,1,10
2021-02-02,UTA,DET,0,12,24.03,5,1,4,1,3,6,1,0,2,2,5
2021-02-04,UTA,ATL,1,21,26.73,5,3,1,0,4,4,1,0,0,2,6
2021-02-05,UTA,CHO,1,17,27.97,5,3,4,2,4,11,0,1,2,0,10
2021-02-07,UTA,IND,1,8,31.52,10,3,6,1,9,3,0,0,2,1,7
2021-02-09,UTA,BOS,0,14,35.98,12,5,11,5,3,6,0,0,1,3,24
2021-02-12,UTA,MIL,0,14,29.97,11,8,9,7,3,5,0,0,2,0,27
2021-02-13,UTA,MIA,0,18,32.85,7,3,5,1,3,6,1,0,2,1,8
2021-02-15,UTA,PHI,0,11,32.55,12,8,5,2,3,5,1,1,3,1,20
2021-02-17,UTA,LAC,1,18,24.13,7,5,4,3,3,5,1,0,2,3,14
2021-02-19,UTA,LAC,1,-4,24.72,4,1,4,1,0,2,0,1,1,1,5
2021-02-22,UTA,CHO,0,22,30.3,11,7,10,7,5,6,0,0,0,1,21
2021-02-24,UTA,LAL,0,25,22.45,3,1,3,1,3,2,0,0,3,2,3
2021-02-26,UTA,MIA,1,-8,25.23,7,4,5,3,2,3,2,0,0,2,13
2021-02-27,UTA,ORL,1,15,31.07,13,7,8,3,2,7,1,1,1,3,17
2021-03-01,UTA,NOP,1,-5,22.22,3,0,2,0,2,2,1,1,1,2,0
2021-03-03,UTA,PHI,1,-8,25.12,7,6,5,4,6,1,1,0,3,2,16
2021-03-12,UTA,HOU,0,15,25.83,5,3,4,2,3,3,0,1,2,2,8
2021-03-14,UTA,GSW,1,-12,30.05,7,3,6,2,5,7,0,0,3,2,8
2021-03-16,UTA,BOS,1,8,25.28,9,5,8,4,5,2,1,0,0,2,14
2021-03-18,UTA,WAS,1,-9,32.97,17,12,10,8,5,2,2,0,0,3,34
2021-03-19,UTA,TOR,1,3,32.8,6,5,6,5,5,6,1,0,1,1,19
2021-03-22,UTA,CHI,1,25,25.35,8,6,6,5,7,1,2,0,0,0,17
2021-03-24,UTA,BRK,0,30,25.53,6,1,6,1,7,3,1,0,1,2,3
2021-03-26,UTA,MEM,0,3,22.97,8,3,6,2,6,6,3,0,1,1,9
2021-03-27,UTA,MEM,0,16,28.98,7,4,5,3,2,7,1,0,3,1,15
2021-03-29,UTA,CLE,0,39,18.47,3,2,3,2,2,4,1,0,2,2,7
2021-03-31,UTA,MEM,1,4,34.3,9,3,6,2,5,2,1,0,3,2,10
2021-04-02,UTA,CHI,0,7,22.1,3,3,3,3,1,1,2,0,2,3,9
2021-04-03,UTA,ORL,0,46,21.12,9,6,7,5,6,2,2,0,2,3,17
2021-04-05,UTA,DAL,1,-8,25.02,4,1,2,1,2,3,0,0,3,4,3
2021-04-07,UTA,PHO,1,-4,27.03,4,2,2,1,1,2,0,0,2,0,5
2021-04-08,UTA,POR,0,19,34.83,13,4,8,2,5,6,2,0,0,1,13
2021-04-10,UTA,SAC,0,16,31.17,11,6,10,5,3,6,0,0,0,3,20
2021-04-12,UTA,WAS,0,-4,30.58,16,6,9,3,4,6,0,1,3,3,18
2021-04-16,UTA,IND,0,8,26.02,8,4,7,3,6,3,0,0,2,4,11
2021-04-17,UTA,LAL,1,-12,39.38,14,6,12,6,3,14,3,0,4,3,20
2021-04-19,UTA,LAL,1,14,31.73,11,8,8,5,4,5,0,0,2,2,21
2021-04-21,UTA,HOU,1,23,29.38,11,7,10,6,6,4,1,1,1,1,21
2021-04-24,UTA,MIN,0,-5,37.52,9,1,6,1,2,7,0,0,3,2,3
2021-04-26,UTA,MIN,1,-1,33.53,14,3,13,3,5,3,0,1,1,0,10
2021-04-28,UTA,SAC,1,49,24.0,7,4,6,3,2,7,0,0,3,0,13
2021-04-30,UTA,PHO,1,-21,29.18,14,5,7,1,3,4,0,0,3,2,12
2021-05-01,UTA,TOR,0,4,33.93,8,4,7,4,3,9,0,0,4,3,15
2021-05-03,UTA,SAS,0,11,31.35,11,5,7,2,2,9,2,0,2,2,13
2021-05-05,UTA,SAS,0,32,25.4,11,5,8,3,5,7,0,0,1,2,14
2021-05-07,UTA,DEN,0,7,34.88,9,3,6,2,3,9,1,0,1,2,10
2021-05-08,UTA,HOU,0,8,29.95,10,6,6,2,6,7,1,0,4,1,14
2021-05-10,UTA,GSW,1,-3,30.83,7,2,6,1,3,5,1,0,2,1,5
2021-05-12,UTA,POR,0,-7,31.93,13,4,9,3,4,4,1,0,1,1,14
2021-05-14,UTA,OKC,1,16,26.47,7,2,5,1,1,5,0,0,3,1,5
2021-05-16,UTA,SAC,1,22,30.25,8,3,6,2,5,7,1,0,2,2,10
