Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,PHI,WAS,0,6,34.83,17,10,1,1,8,9,2,14,2,0,1,3,3,29,-2
2020-12-26,PHI,NYK,1,20,30.65,20,10,4,2,5,7,4,10,2,1,1,1,3,27,18
2020-12-29,PHI,TOR,0,7,37.88,17,7,6,1,14,16,4,16,4,2,2,5,1,29,15
2020-12-31,PHI,ORL,1,24,26.68,11,7,2,1,6,8,0,9,2,0,2,0,2,21,23
2021-01-02,PHI,CHO,0,15,36.73,11,7,2,1,4,6,3,14,4,1,1,5,2,19,19
2021-01-04,PHI,CHO,0,17,24.9,10,4,3,0,6,8,1,11,4,2,3,1,1,14,18
2021-01-06,PHI,WAS,0,5,36.6,20,11,4,3,13,13,0,8,5,3,3,5,1,38,14
2021-01-07,PHI,BRK,1,-13,29.87,14,7,2,2,4,5,0,12,3,0,1,5,5,20,-16
2021-01-11,PHI,ATL,1,-18,22.82,17,8,4,1,7,8,2,11,1,0,1,3,2,24,-27
2021-01-12,PHI,MIA,0,3,39.33,23,16,3,0,13,13,2,16,4,5,1,4,2,45,4
2021-01-14,PHI,MIA,0,17,23.6,8,3,2,1,2,4,0,5,1,1,0,3,1,9,4
2021-01-20,PHI,BOS,0,8,32.88,19,12,5,1,17,21,0,10,2,1,1,1,2,42,15
2021-01-22,PHI,BOS,0,12,30.22,15,11,2,2,14,15,3,11,3,1,0,5,5,38,13
2021-01-23,PHI,DET,1,4,35.08,20,10,2,1,12,17,5,14,1,1,2,3,2,33,13
2021-01-27,PHI,LAL,0,1,37.72,18,8,3,1,11,13,1,6,4,0,2,5,4,28,8
2021-01-29,PHI,MIN,1,24,26.63,19,10,2,1,16,18,3,11,3,1,0,0,3,37,21
2021-02-03,PHI,CHO,1,7,33.75,17,11,4,3,9,10,0,11,2,2,1,5,3,34,12
2021-02-04,PHI,POR,0,-16,33.53,21,14,1,0,9,9,1,5,1,1,1,5,1,37,-23
2021-02-06,PHI,BRK,0,16,31.07,21,10,7,1,12,14,2,9,3,3,0,5,2,33,17
2021-02-09,PHI,SAC,1,8,34.97,15,6,2,0,13,14,4,17,6,2,2,4,3,25,9
2021-02-11,PHI,POR,1,-4,34.65,25,13,2,1,8,11,3,9,3,0,2,3,3,35,9
2021-02-13,PHI,PHO,1,-9,36.4,23,12,2,2,9,10,3,8,2,1,0,2,3,35,-2
2021-02-17,PHI,HOU,0,5,36.88,21,10,3,1,10,12,1,11,9,2,1,6,4,31,4
2021-02-19,PHI,CHI,0,7,35.27,26,17,2,1,15,17,6,17,5,2,4,2,2,50,22
2021-02-21,PHI,TOR,1,-7,36.27,20,6,3,1,12,14,2,17,2,0,2,2,0,25,-1
2021-02-23,PHI,TOR,1,7,35.63,13,3,1,1,11,12,3,12,2,1,1,6,4,18,2
2021-02-25,PHI,DAL,0,14,27.68,20,5,5,2,11,12,3,9,4,2,1,0,3,23,7
2021-02-27,PHI,CLE,0,-3,40.47,22,13,3,2,14,16,3,13,6,1,2,3,4,42,5
