Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-31,HOU,SAC,0,3,36.57,20,8,8,2,4,4,1,6,9,1,1,5,0,22,-4
2021-01-02,HOU,SAC,0,8,37.23,22,11,8,2,4,6,1,4,6,3,2,5,0,28,-4
2021-01-04,HOU,DAL,0,-13,33.0,10,4,3,1,5,5,1,4,4,0,0,2,2,14,-13
2021-01-06,HOU,IND,1,-7,37.13,20,12,3,0,4,4,1,6,3,2,1,5,1,28,3
2021-01-08,HOU,ORL,0,42,28.75,11,5,4,3,1,2,0,3,4,0,0,0,3,14,26
2021-01-10,HOU,LAL,0,-18,34.43,14,5,4,2,2,2,1,10,5,1,2,4,3,14,-28
2021-01-12,HOU,LAL,0,-17,29.9,11,4,1,0,2,3,0,0,5,2,1,3,0,10,-18
2021-01-23,HOU,DAL,1,25,20.7,9,3,4,0,1,2,1,1,8,0,0,1,1,7,10
2021-01-26,HOU,WAS,0,19,24.05,21,9,6,1,5,6,1,2,5,1,0,3,0,24,11
2021-01-28,HOU,POR,0,3,29.73,16,6,7,3,5,6,0,5,6,0,1,2,0,20,3
2021-01-30,HOU,NOP,1,14,26.08,12,5,6,4,1,2,0,2,9,1,1,2,4,15,3
2021-02-01,HOU,OKC,1,30,21.7,12,7,5,4,0,0,1,6,5,2,1,3,1,18,9
2021-02-04,HOU,MEM,1,12,27.92,17,6,9,4,6,6,0,1,8,0,0,7,0,22,34
2021-02-06,HOU,SAS,0,-5,32.02,19,10,5,1,6,9,1,2,7,0,1,2,3,27,-10
2021-02-09,HOU,NOP,1,-29,34.42,23,11,8,2,1,6,0,4,6,0,0,3,2,25,-15
2021-02-11,HOU,MIA,0,-7,35.93,13,5,9,4,3,6,0,6,7,1,0,5,2,17,-6
2021-02-13,HOU,NYK,1,-22,30.63,20,9,6,3,5,6,0,2,4,2,0,2,0,26,-4
2021-02-15,HOU,WAS,1,-12,34.92,26,10,7,1,8,10,1,3,11,1,1,5,2,29,-11
2021-02-17,HOU,PHI,1,-5,35.9,24,11,8,2,4,5,0,3,7,2,1,7,2,28,0
2021-02-22,HOU,CHI,0,-20,26.2,14,4,3,1,6,7,0,3,7,0,0,2,1,15,-29
2021-02-24,HOU,CLE,1,-16,30.9,18,7,6,3,3,3,0,1,3,2,2,2,1,20,-15
2021-02-26,HOU,TOR,1,-11,36.45,21,9,9,2,1,2,0,2,12,0,1,2,0,21,-2
2021-02-28,HOU,MEM,0,-49,26.78,16,4,5,0,6,8,0,0,0,0,0,5,0,14,-33
2021-03-01,HOU,CLE,0,-11,39.83,24,11,4,1,9,12,0,3,5,1,1,3,0,32,-13
2021-03-03,HOU,BRK,0,-18,41.48,30,12,12,5,7,11,1,2,5,0,1,3,1,36,-17
2021-03-19,HOU,DET,0,-13,28.55,16,7,5,2,5,8,0,3,7,0,0,6,3,21,-14
2021-03-21,HOU,OKC,0,-2,35.47,18,7,7,1,9,12,0,2,7,3,0,3,1,24,6
2021-03-22,HOU,TOR,0,18,36.1,30,8,7,1,2,2,3,11,10,1,2,3,2,19,11
2021-03-24,HOU,CHO,0,-25,29.05,15,6,8,3,5,6,1,2,7,1,0,1,1,20,-15
2021-03-26,HOU,MIN,1,-6,37.18,25,6,7,1,1,2,0,3,15,2,2,7,1,14,-6
2021-03-27,HOU,MIN,1,22,25.7,14,5,6,2,1,1,0,3,12,1,1,1,1,13,8
2021-03-29,HOU,MEM,0,-10,33.25,12,2,5,1,4,5,0,3,8,3,2,4,1,9,10
2021-04-07,HOU,DAL,0,9,34.05,23,12,10,4,3,6,1,3,7,4,1,1,0,31,22
2021-04-10,HOU,GSW,1,-16,36.9,19,11,7,5,3,6,1,2,7,1,1,6,0,30,-9
2021-04-12,HOU,PHO,1,-6,35.9,20,5,10,3,0,0,0,2,8,1,0,5,2,13,-13
2021-04-14,HOU,IND,0,-8,35.95,28,12,7,0,7,9,0,3,9,1,2,3,2,31,8
2021-04-16,HOU,DEN,0,-29,28.15,8,3,3,2,2,2,0,1,2,0,0,7,1,10,-15
2021-04-19,HOU,MIA,1,-22,30.08,14,4,5,1,5,6,0,4,6,1,0,4,0,14,-22
2021-04-21,HOU,UTA,0,-23,29.6,19,8,5,1,4,4,0,3,6,0,0,3,0,21,-20
2021-04-23,HOU,LAC,0,-5,39.47,22,9,7,1,8,9,0,3,13,1,2,4,2,27,6
