Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2021-03-15,MEM,PHO,1,-23,3.25,2,0,1,0,3,0,0,0,0,1,0
2021-03-27,MEM,UTA,1,-16,6.53,2,2,1,1,4,1,2,0,2,0,5
2021-04-02,MEM,MIN,0,12,3.78,2,0,2,0,1,0,0,0,2,2,0
2021-04-04,MEM,PHI,1,16,1.45,0,0,0,0,0,0,0,0,0,0,0
2021-04-07,MEM,ATL,1,18,4.07,1,0,1,0,1,0,0,0,1,3,0
2021-04-17,MEM,MIL,1,13,0.68,0,0,0,0,0,0,0,0,0,0,0
2021-04-21,MEM,LAC,1,-12,1.75,1,1,1,1,0,0,0,0,0,0,3
2021-04-26,MEM,DEN,1,-24,4.12,1,0,1,0,0,0,0,0,0,0,3
2021-04-30,MEM,ORL,0,17,1.73,1,0,0,0,1,0,0,0,0,0,0
2021-05-11,MEM,DAL,0,29,5.22,2,2,0,0,1,0,0,0,1,2,4
2021-05-14,MEM,SAC,0,1,21.4,3,3,1,1,3,0,1,1,1,4,7
