Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-29,OKC,ORL,0,-11,0.78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2020-12-31,OKC,NOP,0,-33,10.32,5,1,4,1,0,2,0,1,0,0,0,0,3,3,-20
2021-01-04,OKC,MIA,1,-28,7.3,2,0,1,0,0,0,1,3,2,0,0,1,2,0,1
2021-01-13,OKC,LAL,0,-29,7.15,3,0,1,0,0,0,0,0,2,0,0,0,0,0,-3
2021-01-19,OKC,DEN,1,-18,13.05,5,2,2,0,2,3,0,2,1,0,0,2,1,6,6
2021-01-29,OKC,BRK,0,-22,5.05,2,1,0,0,1,2,0,0,0,0,0,0,0,3,-2
2021-02-01,OKC,HOU,0,-30,7.57,0,0,0,0,0,0,0,3,2,0,0,1,1,0,-2
2021-03-27,OKC,BOS,0,-17,20.4,5,1,3,0,2,6,0,5,1,0,0,1,2,4,-11
2021-03-29,OKC,DAL,0,-21,21.72,6,3,2,1,3,4,0,1,1,0,0,4,2,10,-9
2021-03-31,OKC,TOR,0,10,20.97,4,0,2,0,5,8,0,5,4,0,0,2,1,5,17
2021-04-02,OKC,PHO,1,-37,22.53,4,0,1,0,2,2,0,1,2,0,0,1,5,2,-12
2021-04-03,OKC,POR,1,-48,11.2,2,1,1,0,0,0,0,2,2,0,0,2,1,2,0
2021-04-13,OKC,UTA,1,-10,15.17,3,0,1,0,0,0,0,2,1,0,0,1,1,0,1
2021-04-14,OKC,GSW,0,-38,10.42,3,0,2,0,2,2,0,3,0,0,0,1,2,2,-4
2021-04-29,OKC,NOP,0,-14,6.98,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-14
2021-05-01,OKC,IND,0,-57,23.95,8,3,2,0,1,4,2,4,4,1,1,1,0,7,-11
2021-05-04,OKC,SAC,0,-4,22.12,7,3,2,1,0,0,2,7,0,1,0,1,1,7,1
2021-05-06,OKC,GSW,1,-21,24.17,8,3,3,0,2,3,0,5,0,1,0,1,1,8,-11
2021-05-08,OKC,GSW,1,-39,25.82,6,1,3,0,0,0,0,5,2,0,0,0,3,2,-16
2021-05-09,OKC,SAC,1,-28,16.6,4,0,1,0,0,2,0,0,2,1,0,2,5,0,-19
2021-05-16,OKC,LAC,0,5,42.72,21,11,6,1,2,6,1,10,2,0,0,3,5,25,9
