Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,NOP,TOR,1,14,26.68,5,2,4,1,1,3,1,5,1,2,0,2,2,6,8
2020-12-25,NOP,MIA,1,-13,28.67,10,5,6,2,0,0,2,9,0,1,0,0,3,12,-10
2020-12-27,NOP,SAS,0,3,32.98,6,3,2,1,5,5,1,10,0,0,0,0,3,12,10
2020-12-29,NOP,PHO,1,-25,21.93,2,1,1,0,1,2,0,6,0,0,0,0,1,3,-20
2020-12-31,NOP,OKC,1,33,34.33,9,3,7,3,3,4,1,11,2,1,0,1,2,12,28
2021-01-02,NOP,TOR,0,4,25.83,8,3,7,2,1,2,1,7,2,1,1,2,2,9,-9
2021-01-04,NOP,IND,0,-2,28.5,5,1,2,0,1,1,1,10,3,0,0,0,0,3,-9
2021-01-06,NOP,OKC,0,-1,27.75,4,0,2,0,0,0,2,10,1,3,0,2,2,0,2
2021-01-08,NOP,CHO,0,-8,26.72,8,6,5,4,3,4,0,8,2,1,0,1,4,19,-11
2021-01-13,NOP,LAC,1,-5,38.28,9,3,4,0,0,2,1,7,3,0,0,1,2,6,-10
2021-01-15,NOP,LAL,1,-17,28.83,6,3,4,1,0,0,0,6,4,0,0,0,3,7,-2
2021-01-17,NOP,SAC,1,5,24.77,5,2,3,1,0,0,2,5,3,1,0,1,1,5,2
2021-01-19,NOP,UTA,1,-16,25.1,5,3,3,2,0,0,0,5,1,1,0,0,2,8,-7
2021-01-21,NOP,UTA,1,-11,24.52,4,2,2,1,2,2,1,8,3,2,1,0,3,7,2
2021-01-23,NOP,MIN,1,-10,28.53,2,2,1,1,0,0,1,8,0,0,0,1,5,5,0
2021-01-27,NOP,WAS,0,18,29.47,4,1,4,1,3,4,3,8,1,0,0,1,1,6,3
2021-01-29,NOP,MIL,0,5,24.68,8,5,5,3,2,3,0,5,5,1,0,0,3,15,9
2021-01-30,NOP,HOU,0,-14,18.92,3,1,2,1,0,0,0,4,2,1,0,2,2,3,-18
2021-02-01,NOP,SAC,0,-9,31.57,13,6,5,1,2,2,6,13,4,2,0,0,4,15,-11
2021-02-03,NOP,PHO,0,22,22.5,7,4,3,2,0,0,0,3,2,0,0,0,0,10,2
2021-02-05,NOP,IND,1,1,23.75,5,3,2,1,4,4,0,7,2,1,0,0,1,11,-8
2021-02-06,NOP,MEM,0,9,27.7,5,0,5,0,1,2,1,8,1,0,0,0,2,1,-16
2021-02-09,NOP,HOU,0,29,40.22,16,8,9,3,1,2,3,17,3,1,2,2,2,20,19
2021-02-10,NOP,CHI,1,-13,27.1,6,3,5,2,0,0,0,6,3,2,0,2,2,8,-7
2021-02-12,NOP,DAL,1,-13,30.33,8,2,5,1,1,2,0,5,5,1,0,0,3,6,-3
2021-02-14,NOP,DET,1,-11,23.43,7,4,2,0,0,0,0,3,4,0,0,2,5,8,-4
2021-02-16,NOP,MEM,1,31,31.7,16,10,11,6,1,1,0,9,2,0,0,2,0,27,30
2021-02-17,NOP,POR,0,-2,30.35,9,2,4,0,0,0,2,6,1,0,1,1,1,4,9
2021-02-19,NOP,PHO,0,-18,28.9,3,2,3,2,2,2,0,9,3,1,0,0,2,8,-25
2021-02-21,NOP,BOS,0,5,36.7,10,5,5,2,5,7,1,10,0,1,3,0,4,17,18
2021-02-24,NOP,DET,0,10,29.12,10,5,4,1,0,0,0,2,0,1,0,1,1,11,3
2021-02-25,NOP,MIL,1,-4,22.2,6,2,3,1,1,2,1,5,4,0,0,0,3,6,-3
2021-02-27,NOP,SAS,1,-3,31.13,8,0,6,0,2,2,3,9,1,1,0,0,3,2,-2
2021-03-01,NOP,UTA,0,5,24.3,7,6,0,0,1,2,0,7,1,1,1,0,3,13,4
2021-03-03,NOP,CHI,0,-4,33.75,6,3,4,2,5,5,1,5,2,2,0,1,5,13,6
2021-03-04,NOP,MIA,0,-10,41.02,10,3,7,1,5,5,3,8,3,0,0,3,5,12,-9
2021-03-11,NOP,MIN,0,-30,25.87,8,2,3,0,1,1,2,13,3,0,0,6,2,5,-22
2021-03-12,NOP,CLE,0,34,22.53,7,3,3,0,0,0,0,4,0,0,0,1,2,6,19
2021-03-14,NOP,LAC,0,20,26.95,6,5,4,3,0,2,0,5,6,1,0,1,3,13,11
2021-03-16,NOP,POR,1,-1,28.45,13,7,5,2,0,0,1,9,2,1,1,1,1,16,-2
2021-03-18,NOP,POR,1,-8,24.27,5,3,3,1,2,2,1,8,0,0,0,1,2,9,-7
2021-03-21,NOP,DEN,1,5,29.35,9,4,5,2,2,2,2,9,6,1,0,2,0,12,12
2021-03-23,NOP,LAL,0,17,26.65,9,1,4,0,0,0,4,15,5,5,0,0,1,2,12
2021-03-26,NOP,DEN,0,-5,27.13,6,3,3,2,2,2,1,8,2,1,1,1,1,10,-5
2021-03-27,NOP,DAL,0,9,27.63,7,0,5,0,2,2,1,10,3,0,0,0,3,2,0
2021-03-29,NOP,BOS,1,6,31.6,8,5,5,3,2,2,2,15,3,0,1,4,5,15,8
2021-04-01,NOP,ORL,0,-5,46.75,11,4,6,1,5,6,1,17,5,0,0,4,4,14,3
