Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,MIN,DET,0,10,32.55,9,4,4,1,3,3,1,4,2,0,0,2,3,12,17
2020-12-26,MIN,UTA,1,5,31.55,8,4,1,0,0,0,3,6,2,0,1,1,3,8,-4
2020-12-27,MIN,LAL,1,-36,11.02,4,2,1,0,0,0,0,0,1,0,0,0,0,4,-16
2021-01-10,MIN,SAS,0,8,20.13,5,3,2,0,0,2,0,4,0,0,1,1,2,6,7
2021-01-13,MIN,MEM,0,-11,26.98,2,1,0,0,1,1,1,3,4,0,3,0,5,3,0
2021-01-18,MIN,ATL,1,-11,22.4,3,1,1,0,2,2,1,2,2,0,1,1,2,4,-16
2021-01-20,MIN,ORL,0,-1,25.1,7,4,3,1,2,2,0,6,0,1,1,3,4,11,-14
2021-01-22,MIN,ATL,0,-18,19.22,4,1,3,1,0,0,0,1,1,2,0,1,2,3,1
2021-01-23,MIN,NOP,0,10,27.33,8,2,5,1,4,5,1,3,2,5,0,1,1,9,0
2021-01-25,MIN,GSW,1,-22,16.85,0,0,0,0,0,0,0,0,1,1,0,0,2,0,-14
2021-01-27,MIN,GSW,1,-12,17.13,7,1,4,0,1,2,1,1,0,1,0,0,2,3,-17
2021-01-29,MIN,PHI,0,-24,17.78,3,2,0,0,0,0,0,1,2,0,0,1,1,4,-10
2021-01-31,MIN,CLE,0,5,23.05,6,0,2,0,5,6,1,4,2,1,2,0,2,5,4
2021-02-01,MIN,CLE,1,-2,22.23,6,1,4,1,0,0,2,2,2,1,0,0,0,3,-12
2021-02-03,MIN,SAS,1,-3,24.45,4,1,3,1,0,0,1,4,0,0,2,3,4,3,5
2021-02-05,MIN,OKC,1,3,9.47,3,0,0,0,0,0,0,1,1,2,1,1,0,0,-6
2021-02-06,MIN,OKC,1,-2,8.78,2,0,1,0,0,2,1,1,0,0,0,0,0,0,-10
2021-02-08,MIN,DAL,1,-5,26.1,3,3,1,1,4,4,0,2,1,0,1,0,4,11,20
2021-02-10,MIN,LAC,0,-7,25.62,14,4,4,1,1,3,4,6,1,2,0,0,1,10,-14
2021-02-12,MIN,CHO,1,-6,21.72,4,2,2,0,2,2,2,4,0,1,1,0,0,6,-7
2021-02-14,MIN,TOR,1,4,7.12,3,0,2,0,0,0,1,1,0,0,0,1,1,0,-4
2021-02-16,MIN,LAL,0,-8,15.67,3,2,2,2,2,2,0,0,1,1,0,0,3,8,-8
2021-02-17,MIN,IND,0,-6,15.18,2,0,1,0,2,2,2,3,2,1,0,1,1,2,9
2021-02-19,MIN,TOR,0,-5,7.03,3,0,2,0,0,0,0,1,0,1,0,0,2,0,-2
2021-02-21,MIN,NYK,1,-4,8.05,3,1,1,0,0,0,1,2,0,1,0,1,2,2,1
2021-02-23,MIN,MIL,1,-27,12.47,2,1,0,0,0,0,1,1,1,0,0,1,0,2,-19
2021-02-24,MIN,CHI,1,-7,15.92,4,2,1,0,0,0,1,4,0,2,0,1,3,4,-12
2021-02-27,MIN,WAS,1,-16,28.7,7,5,3,2,0,1,0,3,2,1,0,1,5,12,0
2021-02-28,MIN,PHO,0,-19,18.48,5,0,2,0,2,2,1,3,0,0,0,1,3,2,-12
2021-03-11,MIN,NOP,1,30,23.47,3,0,2,0,4,4,1,4,4,1,0,1,2,4,25
2021-03-13,MIN,POR,0,-4,15.47,4,2,0,0,3,3,1,1,2,0,0,0,2,7,-3
2021-03-14,MIN,POR,0,2,24.28,2,0,1,0,10,11,2,5,3,1,0,0,3,10,-9
2021-03-16,MIN,LAL,1,-16,20.98,2,1,2,1,0,0,1,3,2,0,0,0,2,3,-13
2021-03-18,MIN,PHO,1,4,22.27,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1
2021-03-19,MIN,PHO,1,-12,27.2,6,2,3,1,0,0,1,2,1,2,1,1,2,5,-15
2021-03-22,MIN,OKC,0,-9,21.05,5,3,2,1,0,0,1,3,0,4,0,2,5,7,13
2021-04-02,MIN,MEM,1,-12,19.97,4,1,3,1,0,0,0,2,0,1,0,2,2,3,-3
2021-04-03,MIN,PHI,1,-9,24.62,1,0,0,0,3,4,1,2,0,0,1,0,3,3,-9
2021-04-05,MIN,SAC,0,10,19.52,3,2,0,0,2,2,3,3,0,1,0,0,2,6,-16
2021-04-09,MIN,BOS,1,-9,37.15,11,6,4,2,2,2,2,3,1,4,0,0,3,16,-3
2021-04-11,MIN,CHI,0,4,35.65,6,2,2,0,2,2,0,3,0,1,1,3,2,6,1
2021-04-13,MIN,BRK,0,-30,17.85,2,2,1,1,2,3,0,1,1,4,1,2,4,7,-15
