Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,MIL,BOS,1, -1,38:23,16,10,4,1,6,3,2,1,3,3,25
2020-12-25,MIL,GSW,0, +39,25:22,8,6,1,0,4,6,0,1,3,1,12
2020-12-27,MIL,NYK,1, -20,27:55,10,4,4,0,4,5,2,0,3,0,8
2020-12-29,MIL,MIA,1, +47,26:10,15,9,10,6,3,7,3,1,0,1,24
2020-12-30,MIL,MIA,1, -11,33:57,15,4,7,3,4,5,2,1,0,5,13
2021-01-01,MIL,CHI,0, +30,25:56,9,4,6,3,1,4,3,0,0,2,11
2021-01-04,MIL,DET,0, +10,34:13,10,6,3,2,6,7,3,0,1,1,15
2021-01-06,MIL,DET,0, +15,30:04,11,4,3,0,5,6,0,0,1,2,10
2021-01-08,MIL,UTA,0, -13,33:42,14,7,5,3,4,5,2,1,2,4,17
2021-01-09,MIL,CLE,0, +10,36:16,12,5,2,0,6,4,4,1,2,4,15
2021-01-11,MIL,ORL,1, +22,29:34,10,3,4,0,3,3,2,1,1,1,11
2021-01-13,MIL,DET,1, +9,36:51,13,8,5,3,6,5,3,1,1,2,21
2021-01-15,MIL,DAL,0, +3,34:59,15,7,4,1,3,5,2,1,2,1,16
2021-01-18,MIL,BRK,1, -2,37:20,16,8,4,2,4,6,0,0,0,2,22
2021-01-21,MIL,LAL,0, -7,38:32,18,10,7,2,5,7,1,0,1,2,22
2021-01-24,MIL,ATL,0, +14,33:04,13,6,4,2,5,5,1,0,4,0,15
2021-01-27,MIL,TOR,1, +7,34:30,14,3,8,1,7,7,2,0,1,0,7
2021-01-29,MIL,NOP,1, -5,38:02,17,8,9,3,9,5,1,1,1,3,22
2021-01-30,MIL,CHO,1, -12,40:08,17,7,10,5,5,5,2,2,3,2,21
2021-02-01,MIL,POR,0, +28,29:58,14,10,3,2,7,6,3,0,2,0,22
2021-02-03,MIL,IND,0, +20,26:50,9,5,3,1,7,3,3,1,3,0,11
2021-02-05,MIL,CLE,1, +18,29:24,9,8,1,1,3,7,1,0,1,4,17
2021-02-06,MIL,CLE,1, +25,25:22,14,8,4,2,3,8,2,1,1,0,20
2021-02-28,MIL,LAC,0, +5,17:55,5,1,3,0,0,3,0,0,2,1,2
2021-03-02,MIL,DEN,0, -31,18:15,6,2,4,0,1,3,1,0,3,1,4
2021-03-04,MIL,MEM,1, +1,22:35,14,6,3,1,2,3,2,0,1,3,15
2021-03-11,MIL,NYK,0, +33,25:26,9,5,3,1,3,3,2,0,1,3,11
2021-03-13,MIL,WAS,1, +6,32:12,18,6,5,2,8,3,2,1,3,3,18
2021-03-15,MIL,WAS,1, +11,32:13,14,6,4,1,6,4,0,0,3,2,15
2021-03-17,MIL,PHI,1, +4,40:46,14,7,5,1,6,6,3,0,4,0,19
2021-03-20,MIL,SAS,0, +7,34:23,16,8,4,2,5,3,0,1,1,1,21
2021-03-22,MIL,IND,0, +27,29:44,15,11,6,5,5,14,2,1,2,1,28
2021-03-24,MIL,BOS,0, +2,35:22,16,6,4,1,2,3,2,0,1,2,13
2021-03-26,MIL,BOS,0, -8,27:42,12,7,6,3,3,4,1,0,6,1,17
2021-03-29,MIL,LAC,1, -24,35:29,14,8,8,3,4,7,3,1,3,1,24
2021-03-31,MIL,LAL,1, +15,34:12,16,11,5,3,8,6,4,1,4,1,28
2021-04-02,MIL,POR,1, +18,33:06,14,9,6,2,4,10,2,0,3,1,22
2021-04-03,MIL,SAC,1, +1,37:19,23,14,5,3,7,11,1,1,2,2,33
2021-04-06,MIL,GSW,1, -1,33:59,18,11,7,4,3,5,1,0,8,4,29
2021-04-08,MIL,DAL,1, -15,34:11,16,6,4,1,5,3,0,1,3,3,13
2021-04-11,MIL,ORL,1, +37,26:41,10,4,2,2,5,7,1,1,2,0,12
2021-04-14,MIL,MIN,1, +25,25:30,15,7,3,1,4,4,3,0,2,1,15
2021-04-15,MIL,ATL,1, +11,33:48,17,9,4,2,4,7,1,0,2,1,23
2021-04-17,MIL,MEM,0, -13,38:00,11,5,5,3,4,7,2,0,2,0,17
2021-04-19,MIL,PHO,0, -1,40:28,19,10,6,2,4,8,2,1,2,3,25
2021-04-22,MIL,PHI,0, +7,34:30,12,5,5,1,4,11,1,1,2,1,12
2021-04-24,MIL,PHI,0, +38,27:12,12,5,4,2,3,5,4,0,1,0,12
2021-04-25,MIL,ATL,1, -7,34:50,11,8,1,0,5,11,1,0,1,2,19
2021-04-27,MIL,CHO,1, +10,36:07,15,6,3,0,10,5,1,0,4,4,12
2021-04-29,MIL,HOU,1, -7,37:35,19,12,4,1,4,10,2,4,1,3,29
2021-04-30,MIL,CHI,1, +10,29:49,17,7,5,1,2,7,1,0,4,2,16
2021-05-02,MIL,BRK,0, +3,36:10,16,7,8,3,5,4,1,1,4,2,18
2021-05-04,MIL,BRK,0, +6,36:11,13,8,6,4,8,10,1,1,2,2,23
2021-05-05,MIL,WAS,0, +1,31:35,20,10,8,4,5,6,0,1,5,2,29
2021-05-07,MIL,HOU,0, +8,33:52,17,7,9,4,4,8,2,2,3,2,20
2021-05-10,MIL,SAS,1, -21,30:55,14,9,5,2,2,6,0,0,2,1,20
2021-05-11,MIL,ORL,0, +12,34:32,15,5,4,1,4,2,2,0,0,1,15
2021-05-13,MIL,IND,1, +9,34:02,14,8,4,0,4,14,0,4,1,0,20
2021-05-15,MIL,MIA,0, +14,33:45,17,8,4,2,5,10,1,0,1,1,20
