Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,NYK,IND,1,-14,35.47,15,7,2,0,9,9,0,0,5,5,17
2020-12-26,NYK,PHI,0,-20,34.58,15,11,2,2,7,3,1,0,4,4,25
2020-12-27,NYK,MIL,0,20,37.12,17,8,5,3,14,7,0,1,2,4,29
2020-12-29,NYK,CLE,1,9,44.15,16,9,4,4,12,11,1,0,9,4,28
2020-12-31,NYK,TOR,1,-17,37.65,12,5,4,0,10,5,0,1,3,4,16
2021-01-02,NYK,IND,1,4,37.03,16,5,5,2,11,8,2,0,4,3,12
2021-01-04,NYK,ATL,1,5,43.18,19,11,5,0,17,9,1,0,7,2,28
2021-01-06,NYK,UTA,0,12,39.52,26,10,5,0,16,7,0,0,5,4,30
2021-01-08,NYK,OKC,0,-12,30.7,15,8,1,1,12,7,1,0,2,5,18
2021-01-10,NYK,DEN,0,-25,38.48,16,11,5,2,10,5,0,0,3,2,29
2021-01-11,NYK,CHO,1,-21,30.35,9,2,2,0,5,5,0,1,4,2,11
2021-01-13,NYK,BRK,0,-7,40.25,25,13,7,2,7,5,2,0,2,3,30
2021-01-15,NYK,CLE,1,-3,38.05,20,11,4,2,6,6,0,0,1,3,28
2021-01-17,NYK,BOS,1,30,31.05,14,7,5,2,12,4,3,0,3,2,20
2021-01-18,NYK,ORL,0,7,39.4,19,5,6,2,17,1,0,0,0,4,21
2021-01-21,NYK,GSW,1,15,36.38,11,4,2,1,17,9,1,0,2,3,16
2021-01-22,NYK,SAC,1,-9,35.88,17,8,4,0,15,4,0,0,2,2,26
2021-01-24,NYK,POR,1,-3,32.68,18,7,1,1,7,5,2,0,5,6,25
2021-01-26,NYK,UTA,1,-14,35.0,16,6,4,2,10,4,0,0,2,4,18
2021-01-29,NYK,CLE,0,21,35.15,13,7,2,0,8,6,1,1,2,2,16
2021-01-31,NYK,LAC,0,-14,35.13,18,9,5,4,12,5,0,0,3,4,27
2021-02-01,NYK,CHI,1,-8,39.23,16,7,4,1,11,7,2,0,5,3,23
2021-02-03,NYK,CHI,1,4,38.33,20,11,7,5,6,6,2,0,3,2,27
2021-02-06,NYK,POR,0,11,38.72,16,7,4,2,11,4,0,0,1,5,22
2021-02-07,NYK,MIA,0,-6,37.95,18,10,8,3,13,7,0,1,3,0,26
2021-02-09,NYK,MIA,1,-2,36.67,18,4,7,1,8,3,2,0,3,3,12
2021-02-12,NYK,WAS,1,18,32.43,15,8,3,2,18,4,1,0,4,3,24
2021-02-13,NYK,HOU,0,22,33.23,15,7,2,1,9,2,0,1,1,2,22
2021-02-15,NYK,ATL,0,11,40.93,22,14,13,7,9,5,0,0,3,1,44
2021-02-17,NYK,ORL,1,-18,36.25,19,11,7,3,7,3,0,0,5,2,25
2021-02-21,NYK,MIN,0,4,39.05,16,8,4,2,14,4,0,0,4,5,25
2021-02-23,NYK,GSW,0,-8,34.62,21,8,6,3,10,7,0,0,1,2,25
2021-02-25,NYK,SAC,0,19,30.82,18,9,4,2,14,4,1,0,5,4,21
2021-02-27,NYK,IND,0,3,41.52,22,12,5,2,10,6,4,0,5,5,28
2021-02-28,NYK,DET,1,19,37.75,18,10,6,3,8,6,2,1,1,2,25
2021-03-02,NYK,SAS,1,-26,30.92,16,6,5,1,11,5,0,1,3,3,14
2021-03-04,NYK,DET,0,10,42.2,19,11,4,1,16,7,0,1,3,1,27
2021-03-11,NYK,MIL,1,-33,28.57,11,3,2,1,8,6,0,1,6,3,7
2021-03-13,NYK,OKC,1,22,39.1,15,8,6,3,12,12,2,0,3,1,26
2021-03-15,NYK,BRK,1,-5,41.2,27,13,6,3,12,6,3,0,5,2,33
2021-03-16,NYK,PHI,1,-3,40.58,19,7,3,1,15,8,0,0,2,3,19
2021-03-18,NYK,ORL,0,1,39.63,20,8,5,1,10,17,1,0,2,3,18
2021-03-21,NYK,PHI,0,-1,46.15,23,7,7,4,7,3,5,0,5,4,24
2021-03-23,NYK,WAS,0,18,37.78,24,13,10,7,6,2,0,0,3,5,37
2021-03-25,NYK,WAS,0,4,36.87,16,5,5,1,9,4,1,0,1,4,13
2021-03-29,NYK,MIA,0,-10,35.88,17,7,9,3,8,3,0,0,5,4,22
2021-03-31,NYK,MIN,1,-1,39.25,20,11,5,2,12,6,0,0,4,3,26
2021-04-02,NYK,DAL,0,-13,37.07,20,5,7,1,8,11,1,1,5,3,14
2021-04-03,NYK,DET,1,44,30.17,16,9,9,5,8,3,0,0,3,3,29
2021-04-05,NYK,BRK,1,-2,38.62,19,7,4,0,15,12,1,1,5,3,19
2021-04-07,NYK,BOS,1,-2,36.8,23,9,6,2,9,6,3,1,3,3,22
2021-04-09,NYK,MEM,0,4,38.18,12,4,2,1,10,11,1,0,3,5,15
2021-04-11,NYK,TOR,0,6,38.38,19,7,8,1,8,5,0,0,5,4,26
2021-04-12,NYK,LAL,0,15,38.65,23,13,6,2,10,4,2,1,7,3,34
2021-04-14,NYK,NOP,1,10,42.25,26,11,8,5,8,5,0,0,4,5,32
2021-04-16,NYK,DAL,1,8,40.63,29,16,11,6,10,7,1,1,3,1,44
2021-04-18,NYK,NOP,0,10,47.23,28,11,8,2,5,10,5,0,4,4,33
2021-04-20,NYK,CHO,0,12,40.1,16,5,6,1,10,7,2,0,2,2,16
2021-04-21,NYK,ATL,0,10,40.82,21,11,8,6,11,6,1,0,4,4,40
2021-04-24,NYK,TOR,0,17,39.37,17,10,7,5,10,1,0,0,4,3,31
2021-04-26,NYK,PHO,0,-8,38.05,17,6,6,3,6,4,1,0,3,2,18
2021-04-28,NYK,CHI,0,19,36.18,23,12,7,4,7,3,0,1,0,3,34
2021-05-02,NYK,HOU,1,25,30.32,22,13,9,4,7,6,1,0,3,3,31
2021-05-03,NYK,MEM,1,14,38.23,23,9,8,5,6,6,1,0,1,3,28
2021-05-05,NYK,DEN,1,-16,29.63,15,5,5,0,8,5,0,1,5,3,14
2021-05-07,NYK,PHO,1,-23,33.43,16,8,5,1,11,4,0,0,3,4,24
2021-05-09,NYK,LAC,1,6,37.8,19,7,4,0,14,5,0,0,4,4,14
2021-05-11,NYK,LAL,1,-2,43.68,26,11,8,4,8,5,0,0,3,3,31
2021-05-13,NYK,SAS,0,4,44.88,21,7,5,1,9,9,1,0,3,3,25
2021-05-15,NYK,CHO,0,9,46.1,25,12,10,4,10,13,1,0,4,4,33
2021-05-16,NYK,BOS,0,4,37.48,17,5,5,2,7,7,1,1,4,3,20
