Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-27,SAC,PHO,0, -16,2:46,0,0,0,0,0,1,0,0,0,0,0
2021-01-04,SAC,GSW,1, -31,7:47,3,2,1,0,0,0,0,0,0,0,4
2021-01-08,SAC,TOR,0, -21,5:45,3,1,1,0,1,0,1,0,0,0,2
2021-01-09,SAC,POR,0, -26,12:57,3,0,2,0,4,2,0,0,0,0,1
2021-01-15,SAC,LAC,0, -38,11:59,3,2,0,0,1,0,0,1,0,0,4
2021-01-20,SAC,LAC,1, -19,6:27,3,1,0,0,1,0,0,0,0,1,2
2021-01-27,SAC,ORL,1, +14,0:39,0,0,0,0,0,0,0,0,0,0,0
2021-02-12,SAC,ORL,0, -11,1:35,0,0,0,0,0,0,0,0,0,0,0
2021-02-18,SAC,MIA,0, -8,4:50,3,2,2,1,0,2,1,0,0,0,6
2021-02-20,SAC,CHI,1, -8,6:05,1,0,0,0,0,0,0,0,0,1,0
2021-02-21,SAC,MIL,1, -13,1:39,2,1,2,1,0,0,0,0,0,0,3
2021-02-25,SAC,NYK,1, -19,3:14,2,0,1,0,1,0,1,0,1,1,0
2021-02-26,SAC,DET,1, +3,3:15,0,0,0,0,1,0,0,0,1,0,0
2021-03-11,SAC,HOU,0, +20,1:33,1,1,0,0,0,0,0,0,0,0,2
2021-03-13,SAC,ATL,1, -15,1:10,0,0,0,0,0,1,0,0,0,0,0
2021-03-15,SAC,CHO,1, -6,3:55,2,1,1,1,0,1,0,0,0,0,3
2021-03-17,SAC,WAS,1, +2,18:34,3,2,1,0,1,2,0,0,0,1,6
2021-03-19,SAC,BOS,1, +11,10:39,4,1,0,0,0,0,0,0,2,2,3
2021-03-20,SAC,PHI,1, -24,16:32,2,2,1,1,0,1,0,0,0,0,5
2021-03-22,SAC,CLE,1, +14,3:28,0,0,0,0,0,0,0,0,1,1,0
2021-03-24,SAC,ATL,0, +2,7:00,2,0,1,0,1,0,0,0,0,1,0
2021-03-25,SAC,GSW,0, +22,11:33,3,1,3,1,0,1,0,0,0,1,3
2021-03-29,SAC,SAS,1, +17,1:11,0,0,0,0,0,1,0,0,0,0,0
2021-03-31,SAC,SAS,1, -14,2:46,1,1,0,0,0,1,0,0,0,0,2
2021-04-02,SAC,LAL,0, -21,3:11,1,0,1,0,0,2,0,0,1,1,0
2021-04-20,SAC,MIN,0, -14,1:00,0,0,0,0,0,0,0,0,0,0,0
2021-04-28,SAC,UTA,0, -49,16:54,8,6,2,1,0,0,0,0,0,0,16
2021-04-30,SAC,LAL,1, +4,6:44,0,0,0,0,0,0,0,0,0,0,0
2021-05-02,SAC,DAL,1, +12,19:40,4,1,1,0,2,0,1,0,1,4,2
2021-05-04,SAC,OKC,1, +4,18:27,10,4,6,2,1,0,0,0,1,2,13
2021-05-05,SAC,IND,1, +11,6:37,1,1,0,0,0,0,0,1,0,0,2
2021-05-07,SAC,SAS,0, -9,1:08,0,0,0,0,0,0,0,0,0,0,0
2021-05-09,SAC,OKC,0, +28,17:48,7,3,3,1,1,1,1,1,1,1,7
2021-05-11,SAC,OKC,0, +16,13:47,9,2,2,1,2,2,1,0,1,1,6
2021-05-13,SAC,MEM,1, -6,32:27,17,12,5,4,4,2,1,0,1,1,31
2021-05-14,SAC,MEM,1, -1,25:20,13,5,2,0,9,2,1,0,4,4,16
