Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,POR,UTA,0,-20,21.87,9,5,2,1,3,3,1,0,2,3,13
2020-12-26,POR,HOU,0,2,34.75,11,5,2,0,11,6,0,1,3,3,12
2020-12-28,POR,LAL,1,8,25.92,7,5,1,0,12,3,1,0,0,1,10
2020-12-30,POR,LAC,1,-23,22.77,4,2,0,0,4,1,0,2,4,3,4
2021-01-01,POR,GSW,1,25,17.58,8,3,1,1,8,2,1,0,1,5,8
2021-01-03,POR,GSW,1,-15,23.33,10,3,1,0,6,3,2,2,2,2,7
2021-01-05,POR,CHI,0,-3,28.02,15,6,2,0,11,6,0,1,1,4,12
2021-01-07,POR,MIN,0,18,23.03,10,8,0,0,7,2,1,0,2,2,17
2021-01-09,POR,SAC,1,26,23.23,8,4,0,0,8,5,3,1,2,2,10
2021-01-11,POR,TOR,0,1,8.77,5,1,0,0,2,0,0,0,1,1,2
2021-01-13,POR,SAC,1,6,30.28,8,6,0,0,12,0,2,3,3,5,18
2021-01-14,POR,IND,0,-24,20.72,8,2,3,1,8,2,0,1,2,2,5
2021-03-26,POR,ORL,1,7,18.52,6,3,2,1,8,2,1,1,4,4,8
2021-03-28,POR,TOR,1,5,19.48,7,4,2,1,4,2,0,1,0,3,10
2021-03-31,POR,DET,1,23,20.68,4,2,0,0,6,4,1,0,4,3,6
2021-04-02,POR,MIL,0,-18,21.47,7,2,1,1,11,3,1,0,3,4,9
2021-04-03,POR,OKC,0,48,17.82,5,3,1,0,7,4,2,0,0,1,9
2021-04-08,POR,UTA,1,-19,22.15,8,4,2,1,6,4,1,1,2,5,10
2021-04-11,POR,MIA,0,-9,22.3,3,2,0,0,9,4,0,3,4,4,6
2021-04-13,POR,BOS,0,-1,25.92,6,4,1,0,9,7,3,1,2,4,8
2021-04-16,POR,SAS,1,1,22.23,11,4,0,0,6,4,0,1,3,2,9
2021-04-18,POR,CHO,1,-8,23.72,8,4,2,1,6,2,1,2,0,2,12
2021-04-21,POR,DEN,0,-1,28.9,11,3,1,0,7,6,1,0,1,3,8
2021-04-23,POR,MEM,0,-2,29.02,15,11,1,1,17,5,1,1,2,5,26
2021-04-25,POR,MEM,0,-7,29.35,13,6,0,0,19,5,1,2,2,1,16
2021-04-27,POR,IND,1,21,19.52,10,4,0,0,10,4,1,1,3,2,11
2021-04-28,POR,MEM,1,21,21.0,10,5,0,0,9,0,1,1,2,0,15
2021-04-30,POR,BRK,1,19,25.7,12,9,0,0,11,1,0,0,3,3,23
2021-05-02,POR,BOS,1,10,28.95,10,6,1,1,11,4,2,0,1,4,14
2021-05-03,POR,ATL,1,-9,23.4,6,2,1,0,9,2,0,1,2,0,4
2021-05-05,POR,CLE,1,36,20.6,10,6,1,1,11,3,0,4,1,3,15
2021-05-07,POR,LAL,0,5,30.7,8,5,0,0,13,5,1,0,1,3,10
2021-05-08,POR,SAS,0,22,20.72,15,8,0,0,9,5,0,0,1,1,17
2021-05-10,POR,HOU,0,11,28.77,14,10,1,0,6,5,3,1,1,2,22
2021-05-12,POR,UTA,1,7,32.43,14,3,0,0,15,6,3,4,1,3,11
2021-05-13,POR,PHO,1,-1,26.13,7,3,0,0,8,3,2,1,4,5,7
2021-05-16,POR,DEN,0,16,20.37,10,8,1,1,13,2,1,2,3,3,20
