Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,UTA,POR,1,20,3.15,1,0,1,0,1,0,0,0,0,0,0
2020-12-26,UTA,MIN,0,-5,1.02,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,UTA,SAS,1,21,5.58,0,0,0,0,2,0,0,0,0,1,0
2021-01-21,UTA,NOP,0,11,1.98,0,0,0,0,0,0,0,0,0,0,0
2021-01-23,UTA,GSW,0,19,9.62,2,1,2,1,1,1,0,0,1,0,3
2021-01-26,UTA,NYK,0,14,1.07,0,0,0,0,0,0,0,0,0,0,0
2021-01-27,UTA,DAL,0,12,10.52,2,0,2,0,1,1,0,0,1,2,0
2021-01-29,UTA,DAL,0,19,20.88,8,5,4,2,7,1,3,0,0,6,12
2021-01-31,UTA,DEN,1,-11,3.08,0,0,0,0,1,0,0,0,0,0,0
2021-02-04,UTA,ATL,1,21,3.27,0,0,0,0,0,0,0,0,0,1,0
2021-02-13,UTA,MIA,0,18,1.92,0,0,0,0,0,0,0,0,0,0,0
2021-02-17,UTA,LAC,1,18,2.32,0,0,0,0,0,0,0,0,0,1,0
2021-02-22,UTA,CHO,0,22,1.3,0,0,0,0,0,0,0,0,0,0,0
2021-02-24,UTA,LAL,0,25,4.2,0,0,0,0,1,0,0,0,0,0,1
2021-02-27,UTA,ORL,1,15,1.28,1,0,1,0,0,1,0,0,0,1,0
2021-03-18,UTA,WAS,1,-9,0.95,0,0,0,0,0,0,0,0,0,0,0
2021-03-22,UTA,CHI,1,25,1.63,0,0,0,0,0,0,1,0,0,0,0
2021-03-24,UTA,BRK,0,30,4.48,2,1,0,0,1,0,0,0,0,1,2
2021-03-27,UTA,MEM,0,16,5.75,1,0,1,0,1,0,0,0,0,1,0
2021-04-16,UTA,IND,0,8,3.17,0,0,0,0,0,0,0,0,0,0,2
2021-04-17,UTA,LAL,1,-12,19.8,4,3,0,0,5,2,0,0,1,4,6
2021-04-19,UTA,LAL,1,14,3.15,1,1,0,0,1,0,0,0,0,0,2
2021-04-21,UTA,HOU,1,23,3.6,0,0,0,0,1,1,0,0,0,0,0
2021-04-28,UTA,SAC,1,49,5.95,1,0,1,0,2,2,0,1,0,2,0
2021-04-30,UTA,PHO,1,-21,8.53,3,2,1,1,1,0,0,0,0,0,5
2021-05-03,UTA,SAS,0,11,1.27,0,0,0,0,0,0,0,0,0,1,0
2021-05-05,UTA,SAS,0,32,8.0,1,0,0,0,1,0,0,0,1,0,0
2021-05-14,UTA,OKC,1,16,6.72,2,1,0,0,1,0,0,0,0,0,2
2021-05-16,UTA,SAC,1,22,2.88,1,0,0,0,0,0,0,0,0,0,0
