Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-25,MIA,NOP,0,13,0.32,0,0,0,0,0,0,0,0,0,0,0
2020-12-29,MIA,MIL,0,-47,27.43,4,1,3,0,4,0,1,0,0,1,3
2021-01-04,MIA,OKC,0,28,5.98,2,1,0,0,2,0,1,0,1,1,2
2021-01-09,MIA,WAS,1,4,7.1,2,0,1,0,2,1,0,0,0,1,0
2021-01-16,MIA,DET,0,-20,27.43,9,6,5,4,1,1,0,0,4,3,16
2021-01-18,MIA,DET,0,6,3.62,0,0,0,0,0,0,0,0,0,2,0
2021-01-22,MIA,TOR,1,-20,4.33,0,0,0,0,2,0,0,0,0,0,0
2021-01-23,MIA,BRK,1,-4,9.78,2,1,2,1,2,0,0,1,0,0,3
2021-01-25,MIA,BRK,1,-13,21.37,3,1,3,1,1,1,0,0,1,4,3
2021-01-27,MIA,DEN,0,-27,25.98,3,0,2,0,5,2,1,0,1,2,1
2021-01-28,MIA,LAC,0,-4,23.18,4,2,2,1,1,1,0,1,0,3,5
2021-01-30,MIA,SAC,0,1,7.47,2,0,1,0,0,0,0,0,0,2,0
2021-02-05,MIA,WAS,0,27,1.67,0,0,0,0,0,0,0,0,1,0,0
2021-02-13,MIA,UTA,1,-18,1.92,0,0,0,0,0,0,0,0,0,0,0
2021-02-18,MIA,SAC,1,8,1.28,0,0,0,0,0,0,0,0,0,0,0
2021-02-22,MIA,OKC,1,14,2.22,0,0,0,0,0,0,0,0,0,0,0
2021-02-26,MIA,UTA,0,8,8.15,2,0,1,0,4,1,0,0,1,2,0
2021-02-28,MIA,ATL,0,10,2.2,0,0,0,0,0,0,0,0,0,0,0
2021-03-04,MIA,NOP,1,10,17.43,7,2,4,1,5,0,0,2,0,3,5
2021-03-11,MIA,ORL,0,8,11.22,4,2,3,1,3,1,1,0,0,3,5
2021-03-12,MIA,CHI,1,11,25.27,3,2,1,0,5,1,0,1,1,4,4
2021-03-14,MIA,ORL,1,5,22.37,8,4,3,0,4,0,2,2,1,2,8
2021-03-16,MIA,CLE,0,15,24.38,5,2,3,1,5,0,0,0,0,4,5
2021-03-17,MIA,MEM,1,-4,20.78,2,0,2,0,0,1,0,1,1,3,0
2021-03-19,MIA,IND,0,-27,19.18,4,3,1,1,4,1,0,0,0,4,7
2021-04-13,MIA,PHO,1,-20,3.17,0,0,0,0,0,0,0,0,0,0,0
2021-04-14,MIA,DEN,1,-17,6.23,0,0,0,0,1,1,0,0,0,1,0
2021-04-18,MIA,BRK,0,2,10.98,3,0,2,0,1,0,1,0,1,1,0
2021-04-19,MIA,HOU,0,22,22.43,9,1,6,0,6,1,1,0,0,2,3
2021-04-21,MIA,SAS,1,20,18.72,6,1,2,1,2,2,0,0,0,4,3
2021-04-26,MIA,CHI,0,-8,2.63,1,0,1,0,0,0,0,0,0,1,0
2021-05-01,MIA,CLE,1,17,1.67,0,0,0,0,0,0,0,0,0,0,0
2021-05-02,MIA,CHO,1,10,1.15,0,0,0,0,0,1,0,0,0,0,0
2021-05-04,MIA,DAL,0,-14,20.12,2,1,1,0,2,1,0,1,0,2,2
2021-05-13,MIA,PHI,0,12,1.72,0,0,0,0,1,0,0,0,0,0,0
2021-05-15,MIA,MIL,1,-14,2.17,0,0,0,0,0,0,0,0,0,0,0
2021-05-16,MIA,DET,1,13,33.83,9,6,1,0,5,2,2,2,2,4,17
