Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,MIN,DET,0, +10,30:26,10,6,4,2,11,7,1,2,4,4,22
2020-12-26,MIN,UTA,1, +5,29:54,19,6,5,1,12,3,1,4,2,3,16
2021-01-09,MIN,SAS,0, -3,37:00,17,9,3,2,13,4,0,3,3,2,25
2021-01-13,MIN,MEM,0, -11,34:25,17,8,4,1,14,3,0,2,1,2,25
2021-02-10,MIN,LAC,0, -7,30:52,15,8,7,2,10,3,1,0,3,3,18
2021-02-12,MIN,CHO,1, -6,31:31,18,9,8,5,8,2,2,1,1,2,25
2021-02-14,MIN,TOR,1, +4,33:27,11,8,3,2,11,3,1,3,7,6,20
2021-02-16,MIN,LAL,0, -8,32:37,10,7,1,1,6,4,1,0,2,4,15
2021-02-17,MIN,IND,0, -6,37:29,19,8,7,2,10,1,2,2,2,4,30
2021-02-19,MIN,TOR,0, -5,30:30,13,8,3,1,13,4,0,2,5,4,19
2021-02-21,MIN,NYK,1, -4,31:23,18,9,7,3,15,4,1,3,3,5,27
2021-02-23,MIN,MIL,1, -27,35:48,19,10,6,1,8,11,1,0,3,2,26
2021-02-24,MIN,CHI,1, -7,31:00,20,10,4,2,8,5,2,1,4,6,24
2021-02-27,MIN,WAS,1, -16,32:16,19,7,6,2,11,5,0,3,5,5,23
2021-02-28,MIN,PHO,0, -19,33:16,16,7,7,2,10,1,1,1,2,4,21
2021-03-03,MIN,CHO,0, -33,32:00,14,6,5,1,15,3,0,0,4,4,16
2021-03-11,MIN,NOP,1, +30,28:37,19,7,10,2,7,1,0,2,3,3,16
2021-03-13,MIN,POR,0, -4,34:17,21,12,4,2,10,4,1,2,2,4,34
2021-03-14,MIN,POR,0, +2,40:18,9,5,4,1,8,8,1,1,7,4,13
2021-03-16,MIN,LAL,1, -16,35:04,19,10,8,2,6,7,1,2,4,4,29
2021-03-18,MIN,PHO,1, +4,35:50,24,15,7,5,10,8,1,0,4,1,41
2021-03-19,MIN,PHO,1, -12,35:30,12,9,4,3,9,1,0,1,5,4,24
2021-03-22,MIN,OKC,0, -9,38:26,28,10,12,5,10,1,2,1,1,1,33
2021-03-24,MIN,DAL,0, -20,33:36,20,8,9,4,5,6,0,0,2,3,22
2021-03-26,MIN,HOU,0, +6,35:04,26,9,9,4,16,8,1,1,5,3,29
2021-03-27,MIN,HOU,0, -22,33:10,11,7,3,2,15,4,0,2,4,4,27
2021-03-29,MIN,BRK,1, -5,38:58,22,13,8,4,12,5,0,3,2,2,31
2021-03-31,MIN,NYK,0, +1,39:34,18,7,7,2,17,6,0,2,3,4,18
2021-04-02,MIN,MEM,1, -12,34:05,25,11,8,1,16,2,1,1,0,4,30
2021-04-03,MIN,PHI,1, -9,44:01,23,11,12,4,14,5,1,1,2,6,39
2021-04-05,MIN,SAC,0, +10,36:06,18,8,3,2,13,5,2,0,1,2,23
2021-04-07,MIN,IND,1, -4,34:38,17,12,6,2,12,6,0,1,4,4,32
2021-04-09,MIN,BOS,1, -9,42:02,22,10,9,4,12,7,1,0,6,3,30
2021-04-11,MIN,CHI,0, +4,36:48,15,8,7,3,12,8,0,2,4,4,27
2021-04-16,MIN,MIA,0, +8,25:36,14,8,4,4,5,5,0,1,3,6,24
2021-04-18,MIN,LAC,1, -19,24:54,15,5,6,1,6,5,0,0,3,4,16
2021-04-20,MIN,SAC,1, +14,36:14,17,9,9,4,18,5,0,4,3,3,26
2021-04-21,MIN,SAC,1, -3,32:58,17,7,6,3,5,6,1,0,2,3,26
2021-04-24,MIN,UTA,1, +5,37:08,18,9,7,2,12,3,0,1,4,3,24
2021-04-26,MIN,UTA,0, +1,36:20,13,7,4,1,11,2,1,0,4,4,21
2021-04-27,MIN,HOU,1, +7,31:29,22,12,7,2,7,5,1,0,5,6,31
2021-04-29,MIN,GSW,0, +12,32:47,18,6,7,3,11,7,0,0,2,2,22
2021-05-01,MIN,NOP,0, -4,36:43,19,8,9,4,14,3,3,0,4,6,28
2021-05-05,MIN,MEM,0, -4,24:22,15,7,6,3,4,5,1,0,4,5,22
2021-05-07,MIN,MIA,1, -9,30:44,16,8,6,2,6,4,0,0,4,5,27
2021-05-09,MIN,ORL,1, +32,28:35,19,10,7,2,9,4,1,2,1,3,27
2021-05-11,MIN,DET,1, +19,33:55,19,10,11,4,8,5,3,0,2,3,28
2021-05-13,MIN,DEN,0, -11,39:01,18,6,7,4,11,4,0,0,5,4,20
2021-05-15,MIN,BOS,0, -16,27:06,19,9,5,0,14,2,0,0,3,3,24
2021-05-16,MIN,DAL,0, +15,31:11,12,6,4,1,9,5,2,0,1,6,23
