Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-22,LAC,LAL,1,7,34.02,26,10,8,1,5,5,0,2,3,2,0,3,5,26,1
2020-12-25,LAC,DEN,1,13,30.35,14,8,4,2,3,3,2,5,7,4,1,2,4,21,13
2020-12-30,LAC,POR,0,23,30.42,17,9,5,3,7,8,1,3,7,3,1,0,4,28,23
2021-01-01,LAC,UTA,1,-6,38.68,19,8,4,2,2,4,4,16,9,0,3,0,2,20,8
2021-01-03,LAC,PHO,1,5,34.13,21,4,3,0,7,10,1,6,3,1,1,2,0,15,-11
2021-01-05,LAC,SAS,0,-3,37.23,22,13,3,1,3,3,2,3,10,2,1,0,1,30,14
2021-01-06,LAC,GSW,1,7,34.52,12,7,3,0,7,7,0,4,4,1,1,7,2,21,14
2021-01-08,LAC,GSW,1,-10,34.18,17,7,5,3,7,8,0,3,4,2,0,2,2,24,-1
2021-01-10,LAC,CHI,0,3,38.22,22,14,9,7,0,0,0,2,4,3,0,2,0,35,-3
2021-01-13,LAC,NOP,0,5,38.85,18,8,4,2,10,11,1,6,9,2,0,2,1,28,10
2021-01-15,LAC,SAC,1,38,27.52,15,10,3,1,6,6,0,4,6,1,0,1,0,27,31
2021-01-17,LAC,IND,0,33,30.78,13,8,2,1,0,0,2,7,5,0,0,1,2,17,19
2021-01-20,LAC,SAC,0,19,34.98,22,13,5,3,3,3,0,3,5,6,0,3,0,32,18
2021-01-22,LAC,OKC,0,14,37.13,21,10,7,1,10,10,1,8,2,3,2,2,2,31,2
2021-01-24,LAC,OKC,0,8,36.48,24,14,9,4,2,2,1,9,8,0,0,0,1,34,14
2021-01-29,LAC,ORL,1,26,28.58,15,8,6,2,6,6,0,4,3,0,0,0,1,24,23
2021-01-31,LAC,NYK,1,14,34.07,15,8,3,1,11,11,0,4,3,1,1,1,1,28,19
2021-02-02,LAC,BRK,1,-4,39.25,24,12,5,1,8,9,1,5,5,4,2,0,1,33,7
2021-02-03,LAC,CLE,1,22,31.57,14,9,6,3,3,4,0,6,3,1,0,4,0,24,25
2021-02-05,LAC,BOS,0,-4,36.8,19,8,5,0,12,14,1,11,5,1,0,3,3,28,-9
2021-02-07,LAC,SAC,0,-3,34.93,21,9,2,0,2,4,1,10,2,0,0,2,1,20,-6
2021-02-10,LAC,MIN,1,7,36.55,25,13,6,5,5,7,1,8,5,2,1,5,1,36,25
2021-02-12,LAC,CHI,1,19,32.87,21,14,6,1,4,5,0,6,3,2,0,0,0,33,4
