Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-26,IND,CHI,1, +19,2:05,1,1,0,0,0,0,1,0,0,0,2
2020-12-31,IND,CLE,0, +20,11:01,6,0,2,0,1,0,1,0,2,3,0
2021-01-02,IND,NYK,0, -4,4:16,1,0,1,0,2,0,0,0,0,0,0
2021-01-12,IND,GSW,1, +9,5:54,3,1,1,0,3,0,0,0,0,1,2
2021-01-14,IND,POR,1, +24,2:24,1,1,1,1,0,0,0,0,0,0,3
2021-01-17,IND,LAC,1, -33,5:14,2,0,1,0,2,0,0,0,2,0,0
2021-01-20,IND,DAL,0, -12,0:31,0,0,0,0,0,0,0,0,0,0,0
2021-02-02,IND,MEM,0, +18,3:05,0,0,0,0,0,0,0,0,0,0,0
2021-02-03,IND,MIL,1, -20,4:52,2,2,0,0,1,0,0,0,0,0,4
2021-02-10,IND,BRK,1, -10,2:41,2,1,2,1,2,0,0,0,0,0,3
2021-02-13,IND,ATL,1, +12,0:38,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,IND,PHI,1, -16,5:25,2,1,1,0,1,0,1,0,0,1,4
2021-03-15,IND,DEN,1, -15,1:29,1,0,0,0,0,0,0,0,0,0,0
2021-03-22,IND,MIL,1, -27,4:30,0,0,0,0,0,1,0,1,0,0,0
2021-04-02,IND,CHO,0, -17,1:41,1,0,0,0,1,1,0,0,0,0,0
2021-04-03,IND,SAS,1, +6,14:31,5,3,4,3,0,1,1,0,0,1,9
2021-04-06,IND,CHI,0, -16,13:01,4,1,2,0,1,0,0,1,1,1,2
2021-04-07,IND,MIN,0, +4,13:21,3,2,1,0,6,1,1,0,1,1,5
2021-04-13,IND,LAC,0, -11,0:54,0,0,0,0,0,0,0,0,0,1,0
2021-04-19,IND,SAS,0, -15,3:08,2,1,1,1,2,1,0,0,0,1,5
2021-04-21,IND,OKC,0, +6,15:46,8,3,3,0,4,1,0,0,0,2,6
2021-04-24,IND,DET,0, +6,3:51,2,0,1,0,0,1,0,1,0,0,0
2021-04-25,IND,ORL,1, +19,7:04,3,2,0,0,3,1,0,0,1,0,4
2021-04-27,IND,POR,0, -21,8:16,4,3,2,2,2,0,0,0,0,2,9
2021-04-29,IND,BRK,0, -17,12:31,6,1,3,0,4,1,1,0,0,1,3
2021-05-01,IND,OKC,1, +57,14:47,5,2,2,1,4,1,0,2,2,3,5
2021-05-03,IND,WAS,1, -13,0:04,0,0,0,0,0,0,0,0,0,0,0
2021-05-05,IND,SAC,0, -11,18:39,9,5,3,1,6,2,0,0,1,1,11
2021-05-06,IND,ATL,0, +7,11:37,5,2,0,0,3,0,0,0,0,2,4
2021-05-08,IND,WAS,0, -1,14:57,4,2,2,1,2,0,1,0,1,3,5
2021-05-10,IND,CLE,1, +9,25:00,16,11,4,3,7,0,0,1,1,3,25
2021-05-11,IND,PHI,0, +9,18:37,7,2,5,2,5,2,0,1,2,1,6
2021-05-13,IND,MIL,0, -9,26:46,13,5,5,2,9,1,0,1,0,4,12
2021-05-15,IND,LAL,0, -7,26:05,9,6,6,3,3,1,3,2,1,3,15
2021-05-16,IND,TOR,1, +12,17:48,11,4,7,3,4,1,0,0,1,0,13
