Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,SAS,MEM,1,12,32.02,10,5,3,1,5,7,0,5,3,3,0,2,1,16,3
2020-12-26,SAS,TOR,0,5,28.45,15,5,2,0,2,2,2,9,0,1,1,2,2,12,-10
2020-12-27,SAS,NOP,1,-3,30.78,10,5,5,2,2,2,2,11,5,1,2,2,3,14,3
2020-12-30,SAS,LAL,0,-14,24.35,9,3,2,1,0,0,1,3,3,0,0,2,3,7,-4
2021-01-01,SAS,LAL,0,-6,34.52,11,7,9,5,7,8,1,10,1,2,1,4,3,26,-12
2021-01-03,SAS,UTA,0,-21,27.75,16,10,0,0,2,2,2,7,2,2,0,3,2,22,-20
2021-01-05,SAS,LAC,1,3,30.27,11,4,3,1,0,0,4,11,4,0,1,0,4,9,-14
2021-01-07,SAS,LAL,1,9,30.7,10,2,2,1,0,0,1,2,2,1,0,1,2,5,9
2021-01-09,SAS,MIN,1,3,41.75,12,6,5,2,3,4,3,9,4,1,0,0,3,17,4
2021-01-10,SAS,MIN,1,-8,33.73,6,1,2,0,1,2,0,7,1,1,3,2,4,3,-17
2021-01-12,SAS,OKC,1,10,38.52,11,6,2,0,6,7,2,7,1,2,0,0,3,18,1
2021-01-14,SAS,HOU,0,-4,31.22,16,12,3,2,3,5,3,6,2,1,1,1,5,29,-12
2021-01-16,SAS,HOU,0,12,31.5,10,4,3,1,2,3,2,7,2,0,2,0,5,11,8
2021-01-18,SAS,POR,1,21,24.53,6,3,4,1,3,4,0,4,1,0,0,2,2,10,-2
2021-01-20,SAS,GSW,1,-22,27.2,12,2,3,0,8,11,2,8,3,0,0,1,1,12,-14
2021-01-22,SAS,DAL,0,-5,34.57,14,7,3,0,3,4,3,14,3,0,0,2,6,17,-1
2021-01-24,SAS,WAS,0,20,28.4,9,5,1,1,2,2,0,4,1,0,0,1,1,13,-9
2021-01-27,SAS,BOS,0,4,31.2,14,9,1,0,0,0,3,10,1,1,0,2,2,18,8
2021-01-29,SAS,DEN,0,10,32.28,14,9,2,1,0,0,4,9,3,1,1,1,0,19,2
2021-01-30,SAS,MEM,0,-17,20.83,6,3,1,0,6,9,1,5,1,1,0,3,0,12,-10
2021-02-01,SAS,MEM,0,-31,30.57,16,7,8,3,8,8,3,10,3,1,1,1,1,25,-17
2021-02-03,SAS,MIN,0,3,21.33,9,2,2,0,2,3,0,2,2,1,0,2,2,6,-16
2021-02-06,SAS,HOU,1,5,25.8,7,3,2,0,4,7,2,6,1,0,0,2,2,10,3
2021-02-08,SAS,GSW,0,5,28.08,13,4,4,1,0,0,3,6,2,0,0,0,1,9,6
2021-02-09,SAS,GSW,0,-23,33.0,16,5,2,0,3,3,1,6,6,0,1,3,1,13,-16
2021-02-12,SAS,ATL,1,11,27.58,11,8,3,2,2,2,0,2,1,0,0,1,1,20,23
2021-02-14,SAS,CHO,1,12,31.38,14,7,3,1,3,4,2,8,3,1,0,0,2,18,11
2021-03-02,SAS,NYK,0,26,10.53,6,4,2,1,0,0,0,2,1,0,0,0,0,9,-3
2021-03-04,SAS,OKC,0,-5,22.03,6,3,4,1,2,2,0,3,1,1,0,1,4,9,-1
2021-03-10,SAS,DAL,1,-11,21.62,8,4,3,2,2,2,0,4,0,0,0,1,3,12,-17
2021-03-12,SAS,ORL,0,27,22.98,9,5,2,0,1,2,1,5,0,0,1,1,1,11,-3
2021-03-14,SAS,PHI,1,-35,24.02,7,5,1,0,0,0,0,0,1,0,0,0,1,10,-14
