Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,POR,UTA,0, -20,4:27,2,0,1,0,0,1,0,0,1,1,0
2020-12-30,POR,LAC,1, -23,8:05,3,1,2,0,0,2,1,0,1,1,2
2021-01-01,POR,GSW,1, +25,3:59,1,0,0,0,0,0,0,0,1,0,0
2021-01-07,POR,MIN,0, +18,3:44,0,0,0,0,0,1,0,0,0,1,0
2021-01-18,POR,SAS,0, -21,3:30,0,0,0,0,0,0,0,0,0,0,0
2021-02-01,POR,MIL,1, -28,9:23,1,0,0,0,0,0,1,0,0,0,0
2021-02-02,POR,WAS,1, +11,1:12,0,0,0,0,0,0,0,0,0,0,0
2021-02-04,POR,PHI,1, +16,3:43,2,0,0,0,0,0,0,0,0,1,0
2021-02-22,POR,PHO,1, -32,8:51,2,1,1,0,2,0,0,0,0,0,2
2021-04-02,POR,MIL,0, -18,3:44,3,0,1,0,0,0,0,0,0,0,0
2021-04-27,POR,IND,1, +21,7:10,2,0,0,0,2,0,0,0,0,2,0
2021-04-28,POR,MEM,1, +21,2:15,1,1,1,1,1,0,0,0,0,0,3
2021-04-30,POR,BRK,1, +19,3:07,1,1,1,1,1,0,0,0,0,1,3
2021-05-05,POR,CLE,1, +36,4:59,1,0,1,0,2,0,0,0,1,0,0
2021-05-08,POR,SAS,0, +22,3:47,1,1,0,0,1,0,0,0,0,1,2
2021-05-10,POR,HOU,0, +11,2:03,0,0,0,0,1,0,0,0,1,0,0
2021-05-12,POR,UTA,1, +7,0:55,0,0,0,0,0,0,0,0,0,0,0
