Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,MIA,ORL,1, -6,19:59,6,2,3,1,3,1,2,0,0,2,5
2020-12-29,MIA,MIL,0, -47,24:47,5,1,5,1,5,2,2,2,2,2,5
2020-12-30,MIA,MIL,0, +11,28:59,10,5,7,3,8,4,0,1,3,2,15
2021-01-01,MIA,DAL,1, -10,28:42,10,3,7,2,3,2,2,2,0,3,8
2021-01-04,MIA,OKC,0, +28,27:30,9,7,7,5,8,1,0,0,2,2,19
2021-01-06,MIA,BOS,0, -2,21:12,7,4,6,3,5,0,0,0,0,4,11
2021-01-09,MIA,WAS,1, +4,31:34,15,7,11,4,6,5,1,1,2,2,18
2021-01-12,MIA,PHI,1, -3,45:03,12,6,9,3,8,4,2,1,3,4,15
2021-01-14,MIA,PHI,1, -17,38:52,13,5,7,1,6,4,1,0,2,2,12
2021-01-16,MIA,DET,0, -20,24:07,4,1,4,1,3,2,0,1,3,3,3
2021-01-18,MIA,DET,0, +6,24:59,8,4,5,1,3,3,0,2,2,3,9
2021-01-20,MIA,TOR,1, +9,28:11,10,5,6,2,8,8,0,1,3,3,15
2021-01-22,MIA,TOR,1, -20,20:40,5,1,2,0,1,1,2,0,1,3,2
2021-01-23,MIA,BRK,1, -4,21:44,9,2,8,1,7,4,2,0,0,1,5
2021-01-25,MIA,BRK,1, -13,17:58,7,1,5,0,6,1,0,2,1,4,2
2021-01-27,MIA,DEN,0, -27,21:57,9,3,7,3,6,0,0,0,0,1,9
2021-01-28,MIA,LAC,0, -4,24:49,6,3,6,3,4,1,0,0,3,0,9
2021-01-30,MIA,SAC,0, +1,25:43,9,4,8,3,4,3,2,0,1,3,11
2021-02-01,MIA,CHO,0, -8,22:10,7,4,5,3,7,0,0,1,1,1,11
2021-02-03,MIA,WAS,0, -3,27:02,9,2,8,2,11,0,1,1,1,3,8
2021-02-05,MIA,WAS,0, +27,20:41,8,6,7,5,7,1,0,0,0,3,17
2021-02-07,MIA,NYK,1, +6,26:39,13,6,9,2,5,2,1,0,0,4,15
2021-02-09,MIA,NYK,0, +2,30:39,10,7,8,6,3,0,0,1,1,4,20
2021-02-11,MIA,HOU,1, +7,31:00,7,2,6,2,13,0,0,2,2,2,6
