Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2021-01-17,BOS,NYK,0,-30,19.62,13,3,8,1,2,3,0,3,4,3,0,5,1,9,-9
2021-01-20,BOS,PHI,1,-8,21.72,15,6,9,5,2,2,0,2,6,0,0,3,3,19,-1
2021-01-22,BOS,PHI,1,-12,28.58,16,8,7,1,2,3,0,3,5,3,0,1,0,19,-21
2021-01-24,BOS,CLE,0,38,23.8,12,7,5,3,4,4,0,5,4,3,0,0,3,21,30
2021-01-27,BOS,SAS,1,-4,27.2,15,6,7,2,0,0,0,0,2,1,0,2,0,14,-16
2021-01-30,BOS,LAL,0,-1,28.2,12,1,5,0,2,2,0,6,4,0,1,1,1,4,-8
2021-02-02,BOS,GSW,1,4,30.5,18,6,9,3,4,4,3,7,5,0,0,0,1,19,9
2021-02-05,BOS,LAC,1,4,32.35,19,9,7,2,4,5,0,1,4,1,1,1,0,24,3
2021-02-07,BOS,PHO,1,-9,32.53,20,4,11,4,2,2,3,4,2,0,0,3,3,14,-16
2021-02-09,BOS,UTA,1,-14,29.78,12,2,4,1,2,2,1,4,7,0,0,0,2,7,-16
2021-02-11,BOS,TOR,0,14,29.75,12,5,8,5,6,6,0,5,3,1,0,5,2,21,21
2021-02-14,BOS,WAS,1,-13,29.05,18,9,7,4,3,4,0,7,2,2,0,5,1,25,-19
2021-02-16,BOS,DEN,0,13,31.27,13,5,8,3,4,4,0,1,4,0,0,3,0,17,-5
2021-02-19,BOS,ATL,0,12,33.57,16,10,8,5,3,3,0,5,6,3,1,3,2,28,26
2021-02-21,BOS,NOP,1,-5,35.63,21,5,12,1,3,3,0,1,4,1,2,2,3,14,4
2021-02-23,BOS,DAL,1,-3,33.37,19,8,11,4,1,1,0,4,3,0,0,0,2,21,9
2021-02-26,BOS,IND,0,6,33.22,19,10,10,4,8,8,0,3,6,1,0,1,1,32,3
2021-02-28,BOS,WAS,0,1,32.83,17,7,7,3,4,5,0,5,8,2,0,3,1,21,4
2021-03-02,BOS,LAC,0,5,33.82,19,8,12,6,3,4,1,4,6,0,0,1,1,25,6
2021-03-04,BOS,TOR,0,7,33.52,11,4,6,2,5,5,0,2,6,0,2,5,0,15,4
2021-03-11,BOS,BRK,1,-12,34.3,12,5,7,1,0,0,0,3,2,1,1,2,1,11,-7
2021-03-14,BOS,HOU,1,27,26.05,11,4,7,3,5,5,0,6,5,1,0,3,1,16,14
2021-03-16,BOS,UTA,0,-8,33.67,16,7,7,2,0,0,0,2,5,2,0,2,1,16,-5
2021-03-19,BOS,SAC,0,-11,36.3,18,6,8,3,1,1,0,2,7,0,0,1,3,16,-12
2021-03-21,BOS,ORL,0,16,31.9,11,5,7,2,2,2,0,5,4,2,0,1,0,14,18
2021-03-24,BOS,MIL,1,-2,35.32,18,9,9,5,0,0,0,2,6,3,1,4,0,23,-6
2021-03-26,BOS,MIL,1,8,31.33,16,6,10,3,6,6,0,2,5,3,0,2,1,21,13
2021-03-29,BOS,NOP,0,-6,33.07,18,8,9,2,5,5,0,4,4,0,0,3,3,23,6
2021-03-31,BOS,DAL,0,-5,37.23,19,7,9,2,6,6,0,5,6,1,0,1,3,22,1
2021-04-02,BOS,HOU,0,16,28.2,8,4,6,3,0,0,0,6,8,0,0,2,0,11,24
2021-04-04,BOS,CHO,0,30,26.02,12,5,9,2,0,0,1,2,6,1,0,0,1,12,14
2021-04-06,BOS,PHI,0,-10,35.97,14,6,5,2,0,0,0,3,6,0,0,1,1,14,-13
2021-04-09,BOS,MIN,0,9,39.13,14,5,10,3,4,4,1,7,9,2,0,4,2,17,10
2021-04-11,BOS,DEN,1,18,33.17,15,6,7,0,2,2,0,5,6,1,1,1,1,14,-2
2021-04-13,BOS,POR,1,1,36.03,17,7,11,4,3,3,0,8,7,1,0,1,2,21,3
2021-04-15,BOS,LAL,1,8,24.58,7,4,3,2,2,2,0,2,7,0,0,2,2,12,16
2021-04-17,BOS,GSW,0,5,38.4,20,9,11,4,4,5,1,8,3,2,0,2,4,26,3
2021-04-22,BOS,PHO,0,13,36.9,17,11,11,5,5,6,0,4,4,0,1,4,1,32,6
2021-04-25,BOS,CHO,1,-21,29.48,17,7,9,3,3,5,2,6,4,2,0,0,1,20,-17
2021-05-05,BOS,ORL,1,36,28.33,18,11,9,6,4,5,1,3,4,1,0,1,1,32,25
2021-05-07,BOS,CHI,1,-22,35.28,22,10,13,6,7,8,1,4,3,1,1,2,1,33,-4
2021-05-09,BOS,MIA,0,-6,39.88,12,5,4,1,7,8,0,2,6,2,0,4,2,18,6
2021-05-11,BOS,MIA,0,-8,38.45,27,14,11,4,4,6,1,7,4,1,0,1,2,36,-8
