Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,MIA,ORL,1,-6,8.03,1,0,0,0,0,0,0,2,0,0,0,0,0,0,-4
2020-12-29,MIA,MIL,0,-47,30.8,17,6,6,1,2,2,1,3,6,1,1,1,0,15,-28
2020-12-30,MIA,MIL,0,11,9.38,3,1,1,0,1,1,0,0,1,1,0,1,0,3,-7
2021-01-01,MIA,DAL,1,-10,6.45,2,0,0,0,0,0,0,0,0,0,0,1,1,0,-4
2021-01-04,MIA,OKC,0,28,5.98,6,4,2,0,0,0,0,0,2,0,0,0,1,8,-1
2021-01-16,MIA,DET,0,-20,27.23,6,3,2,1,0,0,1,5,1,0,0,5,0,7,-1
2021-01-18,MIA,DET,0,6,34.03,15,8,4,2,0,0,1,5,3,2,1,2,3,18,17
2021-01-20,MIA,TOR,1,9,34.62,12,9,6,4,6,6,1,8,5,1,0,5,4,28,11
2021-01-22,MIA,TOR,1,-20,38.63,16,8,8,2,4,6,0,4,5,3,0,3,2,22,-27
2021-01-23,MIA,BRK,1,-4,32.38,14,7,9,4,0,0,0,5,3,1,0,1,4,18,-4
2021-01-25,MIA,BRK,1,-13,34.57,17,5,8,1,0,0,0,2,2,0,1,1,1,11,-19
2021-01-27,MIA,DEN,0,-27,38.92,16,7,9,3,0,0,0,2,1,3,0,2,0,17,-16
2021-01-28,MIA,LAC,0,-4,32.93,12,5,3,0,0,0,1,3,3,0,0,1,3,10,-5
2021-02-05,MIA,WAS,0,27,31.98,17,11,6,2,1,2,3,8,1,2,0,4,3,25,17
2021-02-07,MIA,NYK,1,6,30.92,11,6,7,4,0,0,0,4,3,0,0,2,2,16,2
2021-02-09,MIA,NYK,0,2,32.93,8,3,6,3,2,2,0,2,3,1,0,2,1,11,8
2021-02-11,MIA,HOU,1,7,40.85,18,7,10,2,0,0,1,5,3,4,0,3,2,16,3
2021-02-13,MIA,UTA,1,-18,34.32,15,8,9,4,3,3,0,3,0,3,1,5,4,23,-14
2021-02-15,MIA,LAC,1,-7,21.47,6,2,4,0,2,2,0,2,1,0,0,1,4,6,-17
2021-02-17,MIA,GSW,1,-8,40.58,14,7,9,5,0,0,0,1,2,0,0,1,1,19,-4
2021-02-18,MIA,SAC,1,8,31.48,14,6,8,4,0,0,0,3,2,1,0,1,3,16,10
2021-02-20,MIA,LAL,1,2,39.83,14,10,6,5,2,2,1,5,3,2,1,1,4,27,9
2021-02-22,MIA,OKC,1,14,40.98,18,7,9,3,3,3,0,5,9,3,2,0,1,20,23
2021-02-24,MIA,TOR,0,8,36.35,9,2,4,1,2,2,2,4,7,0,1,2,3,7,12
2021-02-26,MIA,UTA,0,8,29.23,9,5,4,2,0,0,1,4,1,0,0,2,2,12,4
2021-02-28,MIA,ATL,0,10,32.75,15,8,8,4,4,4,0,3,7,1,1,0,2,24,-1
2021-03-02,MIA,ATL,0,-14,35.68,12,3,4,0,0,0,0,2,1,3,0,2,1,6,-4
2021-03-04,MIA,NOP,1,10,25.32,13,4,7,1,4,4,1,4,1,0,0,1,2,13,1
2021-03-11,MIA,ORL,0,8,28.57,12,6,4,1,0,0,1,2,2,1,0,1,1,13,11
2021-03-12,MIA,CHI,1,11,25.75,11,4,7,2,0,0,0,2,5,2,0,1,0,10,4
2021-03-14,MIA,ORL,1,5,18.48,9,1,6,1,0,0,0,1,1,0,0,1,0,3,-3
2021-03-16,MIA,CLE,0,15,23.77,9,4,3,2,0,0,1,5,2,1,0,1,3,10,19
2021-03-17,MIA,MEM,1,-4,24.9,10,2,5,1,0,0,0,6,3,0,0,0,4,5,11
2021-03-19,MIA,IND,0,-27,18.72,8,3,4,1,0,0,0,0,2,1,0,2,0,7,-9
