Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-26,OKC,CHO,1,2,16.33,3,1,2,1,3,2,1,1,1,3,5
2020-12-28,OKC,UTA,0,-1,11.43,3,2,0,0,1,1,0,0,0,2,4
2020-12-29,OKC,ORL,0,-11,9.57,1,0,1,0,1,0,0,0,1,1,0
2020-12-31,OKC,NOP,0,-33,7.3,3,0,1,0,1,0,0,0,0,0,0
2021-01-02,OKC,ORL,1,9,14.58,5,0,1,0,5,0,0,0,0,1,2
2021-01-04,OKC,MIA,1,-28,8.15,0,0,0,0,1,2,1,1,2,0,2
2021-01-06,OKC,NOP,1,1,12.75,3,1,1,0,2,2,1,0,1,2,2
2021-01-08,OKC,NYK,1,12,6.38,3,2,1,1,1,0,0,0,0,2,5
2021-01-10,OKC,BRK,1,13,13.03,1,0,0,0,2,0,0,0,0,3,0
2021-01-12,OKC,SAS,0,-10,3.43,0,0,0,0,0,0,0,1,1,1,0
2021-01-13,OKC,LAL,0,-29,14.6,5,4,2,1,5,4,1,1,0,2,9
2021-01-15,OKC,CHI,0,2,27.3,6,6,1,1,5,2,2,0,0,1,14
2021-01-19,OKC,DEN,1,-18,6.13,2,0,0,0,0,0,0,0,0,0,0
2021-01-22,OKC,LAC,1,-14,9.38,1,0,1,0,3,1,1,0,0,2,0
2021-01-24,OKC,LAC,1,-8,13.52,6,3,1,1,4,1,0,0,0,1,7
2021-01-25,OKC,POR,1,3,21.57,7,3,3,0,7,2,1,0,0,2,7
2021-01-27,OKC,PHO,1,5,17.57,2,1,0,0,4,3,0,0,1,3,2
2021-01-29,OKC,BRK,0,-22,5.43,0,0,0,0,0,0,1,0,0,0,0
2021-02-01,OKC,HOU,0,-30,20.28,7,3,3,1,4,2,0,0,0,1,7
2021-02-03,OKC,HOU,0,17,23.13,8,7,3,3,6,2,0,0,1,0,19
2021-02-05,OKC,MIN,0,-3,36.43,6,4,2,1,4,2,2,0,3,2,9
2021-02-06,OKC,MIN,0,2,30.43,10,5,3,0,9,0,2,0,1,1,10
2021-02-08,OKC,LAL,1,-7,29.5,6,3,1,1,8,2,1,1,0,2,7
2021-02-10,OKC,LAL,1,-1,40.25,14,11,3,2,6,2,3,0,5,5,24
2021-02-12,OKC,DEN,1,-2,35.82,8,3,1,1,11,9,1,0,2,3,7
2021-02-14,OKC,MIL,0,5,33.97,8,4,2,0,4,5,1,0,3,2,10
2021-02-16,OKC,POR,0,-11,19.7,2,1,1,1,8,1,1,0,3,4,3
2021-02-17,OKC,MEM,1,-9,24.33,1,1,0,0,5,3,1,0,0,2,2
2021-02-19,OKC,MIL,1,-13,18.65,4,2,2,0,5,2,1,1,1,3,4
2021-02-21,OKC,CLE,1,16,18.67,6,4,1,0,3,1,4,0,0,2,8
2021-02-22,OKC,MIA,0,-14,23.58,6,2,3,1,7,1,0,0,0,1,6
2021-02-24,OKC,SAS,0,3,18.02,3,1,1,1,5,1,0,1,2,2,3
