Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2021-01-08,HOU,ORL,0, +42,5:28,3,3,1,1,1,0,1,0,0,0,7
2021-01-10,HOU,LAL,0, -18,3:02,3,0,0,0,2,1,0,0,0,0,0
2021-01-12,HOU,LAL,0, -17,5:16,2,0,1,0,0,2,0,0,0,0,0
2021-01-14,HOU,SAS,1, +4,15:41,5,3,0,0,5,1,0,1,1,2,6
2021-01-16,HOU,SAS,1, -12,16:32,5,1,0,0,5,0,0,1,4,3,2
2021-01-22,HOU,DET,1, +1,2:30,0,0,0,0,0,0,0,0,0,0,0
2021-01-23,HOU,DAL,1, +25,20:15,9,3,2,0,6,0,1,3,0,4,8
2021-03-11,HOU,SAC,1, -20,32:18,9,6,1,1,9,0,0,3,2,2,13
2021-03-12,HOU,UTA,1, -15,28:31,15,6,4,0,10,1,3,1,1,1,15
2021-03-14,HOU,BOS,0, -27,30:58,10,6,3,2,4,3,2,1,2,2,21
2021-03-16,HOU,ATL,0, -12,33:54,6,3,1,0,5,2,0,2,2,0,7
2021-03-17,HOU,GSW,0, -14,30:00,7,5,1,1,9,0,0,0,3,2,13
2021-03-19,HOU,DET,0, -13,20:39,6,4,1,0,5,0,0,1,0,1,8
2021-03-21,HOU,OKC,0, -2,14:14,1,0,1,0,1,0,0,0,3,3,0
2021-03-22,HOU,TOR,0, +18,19:24,6,1,2,1,8,1,1,2,0,2,7
2021-03-24,HOU,CHO,0, -25,25:48,4,3,1,1,2,1,3,1,0,6,9
2021-03-26,HOU,MIN,1, -6,24:04,3,1,2,0,7,0,0,1,0,0,2
2021-03-27,HOU,MIN,1, +22,23:10,3,3,1,1,6,1,0,1,1,4,8
2021-03-29,HOU,MEM,0, -10,11:13,3,3,0,0,3,0,0,0,0,2,6
2021-03-31,HOU,BRK,1, -12,15:35,2,2,0,0,4,0,1,0,0,0,4
2021-04-02,HOU,BOS,1, -16,23:59,5,3,0,0,3,2,0,1,0,1,6
2021-04-04,HOU,NOP,0, -7,20:46,5,4,0,0,5,0,1,1,0,3,9
2021-04-05,HOU,PHO,0, -3,19:36,7,4,3,1,3,3,0,2,1,3,13
2021-04-07,HOU,DAL,0, +9,16:16,1,1,0,0,5,0,0,1,0,2,2
2021-04-09,HOU,LAC,1, -17,20:56,6,4,3,2,6,0,0,0,0,1,14
2021-04-10,HOU,GSW,1, -16,16:02,2,1,1,0,2,0,0,1,0,0,2
2021-04-12,HOU,PHO,1, -6,24:14,4,3,1,1,7,0,0,2,0,3,9
2021-04-14,HOU,IND,0, -8,13:55,4,0,1,0,8,0,1,0,0,2,0
2021-04-16,HOU,DEN,0, -29,22:56,8,2,2,0,7,2,1,0,0,2,4
2021-04-18,HOU,ORL,1, +4,21:45,5,2,1,0,6,0,0,0,0,1,6
2021-04-19,HOU,MIA,1, -22,18:49,6,3,1,0,4,0,1,1,0,1,6
2021-04-21,HOU,UTA,0, -23,29:13,6,2,3,0,3,0,1,2,0,1,6
2021-04-23,HOU,LAC,0, -5,23:11,6,2,2,1,3,0,0,2,0,3,5
2021-04-24,HOU,DEN,1, -13,41:56,12,7,2,1,4,2,3,0,2,2,18
2021-04-27,HOU,MIN,0, -7,21:19,12,6,2,0,3,0,2,1,1,1,15
2021-04-29,HOU,MIL,0, +7,19:57,5,2,2,0,5,0,1,1,1,1,5
2021-05-01,HOU,GSW,0, -26,33:02,10,6,3,0,9,0,0,1,0,2,16
2021-05-02,HOU,NYK,0, -25,31:44,9,5,2,1,6,0,0,1,1,4,13
2021-05-05,HOU,PHI,0, -20,44:26,17,10,4,2,10,6,0,2,2,3,23
2021-05-07,HOU,MIL,1, -8,39:13,21,10,10,6,7,7,0,0,2,6,26
2021-05-08,HOU,UTA,1, -8,39:15,19,11,8,4,10,2,2,0,0,2,27
2021-05-10,HOU,POR,1, -11,38:55,9,5,3,3,9,4,2,1,1,2,15
2021-05-12,HOU,LAL,1, -2,37:11,10,7,5,3,10,2,0,3,2,2,20
2021-05-14,HOU,LAC,0, +7,34:13,12,5,6,0,9,1,1,0,2,3,13
2021-05-16,HOU,ATL,1, -29,36:18,15,4,9,2,6,4,2,0,4,4,10
