Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,ATL,CHI,1, +20,27:03,10,4,6,2,2,4,1,0,0,2,11
2020-12-26,ATL,MEM,1, +10,26:36,12,8,5,4,2,4,1,0,3,5,21
2020-12-28,ATL,DET,0, +8,26:46,8,2,5,1,3,2,1,0,1,3,9
2020-12-30,ATL,BRK,1, -4,21:05,6,3,2,1,2,4,1,0,0,0,7
2021-01-01,ATL,BRK,1, +18,21:02,8,4,5,2,1,2,4,0,2,3,10
2021-01-02,ATL,CLE,0, -5,27:57,11,5,5,3,10,1,1,1,3,2,13
2021-01-04,ATL,NYK,0, -5,31:20,12,4,6,1,2,3,1,0,0,2,9
2021-01-06,ATL,CHO,0, -8,32:57,15,7,12,5,5,6,0,0,1,4,19
2021-01-09,ATL,CHO,1, -8,32:34,13,4,10,3,4,6,0,0,0,3,11
2021-01-11,ATL,PHI,0, +18,24:27,9,3,4,1,5,1,1,0,1,1,8
2021-01-15,ATL,UTA,1, -24,21:57,11,5,4,0,1,2,1,0,0,1,10
2021-01-16,ATL,POR,1, -6,35:57,10,5,4,1,6,4,1,0,3,2,13
2021-01-18,ATL,MIN,0, +11,40:45,16,7,8,3,6,8,4,0,2,0,17
2021-01-20,ATL,DET,0, +8,39:24,12,6,4,3,5,4,2,0,1,3,17
2021-01-22,ATL,MIN,1, +18,33:30,7,2,3,0,5,2,0,0,1,3,4
2021-01-24,ATL,MIL,1, -14,29:12,11,3,6,2,2,2,2,0,1,0,8
2021-01-26,ATL,LAC,0, +9,35:19,10,5,3,3,2,3,0,1,2,4,13
2021-01-27,ATL,BRK,0, -4,38:38,11,4,7,3,3,4,0,1,1,3,11
2021-01-29,ATL,WAS,1, +16,29:59,10,2,5,1,5,3,1,0,0,5,5
2021-02-01,ATL,LAL,0, -8,39:21,8,3,5,3,4,3,0,0,0,1,10
2021-02-03,ATL,DAL,0, -6,38:30,15,8,8,4,5,10,2,0,2,3,21
2021-02-04,ATL,UTA,0, -21,33:58,14,7,5,2,1,1,3,1,3,2,16
2021-02-06,ATL,TOR,0, +11,36:42,9,6,8,5,3,4,0,0,2,3,19
2021-02-10,ATL,DAL,1, -1,34:48,15,9,7,4,8,3,1,0,0,2,23
2021-02-12,ATL,SAS,0, -11,23:46,8,2,3,1,2,4,1,0,2,2,5
2021-02-13,ATL,IND,0, -12,35:04,10,4,8,2,5,10,1,1,2,3,10
2021-02-15,ATL,NYK,1, -11,36:40,12,2,9,1,1,5,2,0,2,1,8
2021-02-17,ATL,BOS,1, +8,34:54,7,3,4,1,2,2,2,0,1,2,7
2021-02-19,ATL,BOS,1, -12,30:13,7,2,5,1,2,3,0,1,1,1,5
2021-02-21,ATL,DEN,0, +8,30:42,8,5,4,1,4,2,0,0,1,6,11
2021-02-23,ATL,CLE,1, -1,37:07,14,8,8,4,3,1,4,0,0,1,22
2021-02-24,ATL,BOS,0, +15,27:58,7,2,3,1,2,4,0,0,2,4,5
2021-02-26,ATL,OKC,1, -9,35:11,14,5,9,3,6,4,0,0,0,1,15
2021-02-28,ATL,MIA,1, -10,40:57,13,5,9,1,4,4,6,0,4,3,13
2021-03-02,ATL,MIA,1, +14,32:05,13,6,5,1,2,5,0,0,2,3,16
2021-03-03,ATL,ORL,1, +3,32:21,11,5,7,3,6,3,2,1,1,3,13
2021-03-11,ATL,TOR,1, +1,31:26,16,6,9,3,4,1,1,2,0,4,19
