Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-22,GSW,BRK,1, -26,11:17,4,2,0,0,2,0,0,0,2,3,4
2020-12-25,GSW,MIL,1, -39,11:01,3,1,1,0,3,0,0,0,0,1,2
2020-12-27,GSW,CHI,1, +1,16:53,5,3,0,0,4,4,0,0,0,2,8
2020-12-29,GSW,DET,1, +10,21:49,2,0,1,0,5,4,1,0,0,1,2
2021-01-01,GSW,POR,0, -25,12:05,1,1,0,0,0,0,1,1,0,3,2
2021-01-03,GSW,POR,0, +15,17:20,1,1,0,0,5,2,0,0,1,1,2
2021-01-04,GSW,SAC,0, +31,12:23,6,5,0,0,3,2,0,0,0,3,11
2021-01-06,GSW,LAC,0, -7,12:14,2,2,0,0,3,3,1,0,3,2,6
2021-01-08,GSW,LAC,0, +10,11:55,1,1,0,0,2,0,1,0,3,5,2
2021-01-10,GSW,TOR,0, +1,14:11,1,1,0,0,3,0,0,1,0,0,2
2021-01-12,GSW,IND,0, -9,15:38,2,1,0,0,9,1,0,0,1,1,3
2021-01-14,GSW,DEN,1, -10,9:43,1,0,1,0,4,0,0,0,0,1,0
2021-01-18,GSW,LAL,1, +2,19:21,3,3,1,1,6,1,0,0,0,3,7
2021-01-20,GSW,SAS,0, +22,13:38,1,1,0,0,5,2,1,1,1,2,2
2021-01-21,GSW,NYK,0, -15,12:37,1,1,0,0,2,1,0,0,0,2,3
2021-01-23,GSW,UTA,1, -19,13:21,2,2,1,1,3,1,0,0,0,1,5
2021-01-25,GSW,MIN,0, +22,18:54,4,1,0,0,5,4,0,1,1,2,2
2021-01-27,GSW,MIN,0, +12,11:48,3,1,0,0,10,4,0,0,2,1,2
2021-01-28,GSW,PHO,1, -21,15:30,2,1,0,0,4,1,2,0,0,1,2
2021-01-30,GSW,DET,0, +27,22:31,3,3,0,0,6,4,0,2,0,1,6
