Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,ORL,MIA,0,6,14.45,4,2,0,0,2,0,1,0,0,3,6
2020-12-26,ORL,WAS,1,10,16.92,6,4,0,0,5,1,0,0,0,3,8
2020-12-27,ORL,WAS,1,7,19.93,6,1,0,0,7,2,0,1,0,1,6
2020-12-29,ORL,OKC,1,11,13.58,4,3,0,0,2,0,2,0,2,4,7
2020-12-31,ORL,PHI,0,-24,24.22,7,2,0,0,7,1,1,1,2,2,6
2021-01-02,ORL,OKC,0,-9,15.23,4,2,0,0,2,0,1,1,0,1,5
2021-01-04,ORL,CLE,0,20,22.88,7,5,0,0,12,1,1,1,1,4,12
2021-01-06,ORL,CLE,0,11,24.92,4,3,0,0,10,2,1,0,1,3,6
2021-01-08,ORL,HOU,1,-42,22.97,7,4,1,1,5,2,0,0,0,1,11
2021-01-09,ORL,DAL,1,-14,23.85,4,4,0,0,8,0,3,0,0,1,12
2021-01-11,ORL,MIL,0,-22,18.55,3,1,0,0,3,1,0,0,0,0,2
2021-01-15,ORL,BOS,1,-27,32.85,8,5,1,0,12,2,1,0,1,1,12
2021-01-16,ORL,BRK,1,-7,24.67,9,3,2,0,4,2,0,1,0,2,9
2021-01-18,ORL,NYK,1,-7,24.77,4,1,0,0,7,1,2,0,0,2,5
2021-01-20,ORL,MIN,1,1,25.82,5,0,1,0,6,1,1,1,1,1,2
2021-01-22,ORL,IND,1,-2,27.28,6,1,1,0,5,2,1,0,0,0,5
2021-01-24,ORL,CHO,0,-3,19.07,2,2,0,0,7,1,0,2,1,1,5
2021-01-25,ORL,CHO,0,9,25.82,4,3,0,0,8,3,1,0,1,1,8
2021-01-27,ORL,SAC,0,-14,25.92,6,4,0,0,14,3,0,1,2,4,8
2021-01-29,ORL,LAC,0,-26,23.8,4,2,0,0,3,2,0,2,0,0,7
2021-01-31,ORL,TOR,1,-13,25.65,7,3,3,1,6,0,1,2,2,2,8
2021-02-02,ORL,TOR,0,-15,15.47,3,2,0,0,1,0,0,0,1,2,6
2021-02-05,ORL,CHI,0,4,18.53,5,2,0,0,6,3,1,1,0,3,7
2021-02-06,ORL,CHI,0,-26,15.97,1,0,0,0,5,1,0,1,1,1,0
2021-02-09,ORL,POR,1,-9,6.9,3,2,0,0,3,0,0,0,0,0,4
2021-02-11,ORL,GSW,1,-6,23.55,4,3,1,0,8,2,0,2,0,0,9
2021-02-12,ORL,SAC,1,11,27.45,6,4,0,0,5,0,2,1,0,3,8
2021-02-14,ORL,PHO,1,-19,33.82,6,4,2,1,6,1,0,1,3,2,9
2021-02-17,ORL,NYK,0,18,16.2,1,0,0,0,4,0,0,2,0,0,0
2021-02-19,ORL,GSW,0,4,12.93,0,0,0,0,1,0,0,0,0,0,2
2021-02-21,ORL,DET,0,9,11.82,2,0,0,0,2,1,0,3,0,1,0
2021-02-23,ORL,DET,0,-12,15.2,4,1,0,0,6,1,0,1,0,2,5
2021-02-25,ORL,BRK,1,-37,6.37,2,1,0,0,0,0,0,0,0,0,2
2021-03-01,ORL,DAL,0,-6,12.52,2,0,0,0,2,0,1,0,0,2,0
2021-03-03,ORL,ATL,0,-3,12.67,3,2,1,1,3,1,0,0,0,1,5
2021-03-11,ORL,MIA,1,-8,22.87,6,0,1,0,11,0,1,1,1,0,0
