Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,MIL,BOS,1, -1,37:33,20,10,8,3,14,8,0,0,2,2,27
2020-12-25,MIL,GSW,0, +39,25:47,15,10,8,6,4,5,2,0,2,2,31
2020-12-27,MIL,NYK,1, -20,32:46,18,8,6,1,4,5,0,0,0,1,22
2020-12-29,MIL,MIA,1, +47,25:15,13,10,5,4,4,5,2,0,5,3,25
2020-12-30,MIL,MIA,1, -11,37:00,15,3,4,0,7,9,1,0,2,5,8
2021-01-01,MIL,CHI,0, +30,25:20,10,6,2,2,2,6,3,1,2,2,14
2021-01-04,MIL,DET,0, +10,35:50,10,7,4,2,9,4,0,0,6,0,19
2021-01-06,MIL,DET,0, +15,31:02,15,9,6,5,5,7,0,0,2,3,23
2021-01-08,MIL,UTA,0, -13,35:58,19,11,8,3,10,4,0,0,2,3,31
2021-01-09,MIL,CLE,0, +10,35:28,16,10,6,3,5,6,1,1,3,3,27
2021-01-11,MIL,ORL,1, +22,29:49,17,9,6,2,10,3,1,0,3,3,20
2021-01-13,MIL,DET,1, +9,31:19,12,5,5,1,2,6,1,1,2,4,12
2021-01-15,MIL,DAL,0, +3,37:05,20,8,9,4,8,6,0,0,1,2,25
2021-01-18,MIL,BRK,1, -2,36:15,20,10,5,0,4,4,4,0,2,4,25
2021-01-21,MIL,LAL,0, -7,36:24,15,6,6,3,5,7,0,0,1,2,20
2021-01-24,MIL,ATL,0, +14,33:08,16,9,6,1,8,7,1,0,2,4,19
2021-01-27,MIL,TOR,1, +7,34:43,17,8,8,5,10,7,1,0,1,3,24
2021-01-29,MIL,NOP,1, -5,36:23,17,6,6,1,8,8,2,0,1,4,16
2021-01-30,MIL,CHO,1, -12,32:27,9,5,6,4,4,4,0,0,4,3,18
2021-02-01,MIL,POR,0, +28,25:16,6,5,4,4,5,9,2,0,1,2,17
2021-02-03,MIL,IND,0, +20,26:00,9,4,3,1,5,4,0,0,3,1,12
2021-02-05,MIL,CLE,1, +18,30:59,11,6,3,1,4,5,0,0,3,1,15
2021-02-06,MIL,CLE,1, +25,29:23,13,8,5,4,1,4,1,0,2,2,20
2021-02-08,MIL,DEN,1, +13,36:23,16,9,5,0,8,12,3,0,3,1,29
2021-02-10,MIL,PHO,1, -1,35:36,17,7,6,3,5,11,1,0,3,5,18
2021-02-12,MIL,UTA,1, -14,37:48,14,6,4,2,2,4,0,0,3,4,18
2021-02-14,MIL,OKC,1, -5,35:23,22,10,7,2,3,3,1,1,5,4,23
2021-02-16,MIL,TOR,0, -11,37:33,8,4,3,1,7,0,2,0,5,4,11
2021-02-18,MIL,TOR,0, -14,37:08,13,5,3,0,8,5,1,0,6,4,13
2021-02-19,MIL,OKC,0, +13,35:50,18,7,5,1,8,4,1,0,2,3,20
2021-02-21,MIL,SAC,0, +13,32:37,22,13,5,3,8,6,4,2,5,2,32
2021-02-23,MIL,MIN,0, +27,33:34,19,6,6,3,7,4,2,0,0,0,15
2021-02-25,MIL,NOP,0, +4,38:51,24,14,4,2,7,6,0,0,2,1,31
2021-02-28,MIL,LAC,0, +5,32:47,14,6,5,2,6,8,0,0,2,3,19
2021-03-02,MIL,DEN,0, -31,29:06,12,6,6,3,4,6,1,0,1,1,20
2021-03-04,MIL,MEM,1, +1,39:07,17,6,4,1,10,4,2,0,5,1,22
