Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,DET,MIN,1,-10,21.2,6,3,2,1,0,0,0,1,3,0,0,4,2,7,-3
2020-12-26,DET,CLE,0,-9,19.5,7,1,3,0,1,2,0,3,2,0,0,2,2,3,-5
2020-12-28,DET,ATL,1,-8,29.38,12,4,6,2,0,0,1,2,8,2,0,2,4,10,-3
2020-12-29,DET,GSW,0,-10,16.95,4,0,2,0,0,0,0,0,1,0,0,2,0,0,-9
2021-01-01,DET,BOS,0,3,23.4,6,0,2,0,0,0,0,1,6,0,0,2,2,0,-2
2021-01-03,DET,BOS,0,-2,24.0,5,2,2,1,0,0,0,1,4,0,0,2,4,5,-3
2021-01-04,DET,MIL,1,-10,13.4,7,3,3,1,0,0,0,0,1,0,0,3,1,7,-13
2021-04-03,DET,NYK,0,-44,19.92,3,0,1,0,0,0,0,5,3,0,0,1,2,0,-26
2021-04-05,DET,OKC,1,24,25.1,9,4,4,1,0,0,1,3,7,4,2,3,2,9,3
2021-04-08,DET,SAC,1,12,20.97,7,5,2,1,0,0,0,3,2,0,1,2,1,11,12
2021-04-10,DET,POR,1,-15,16.52,3,0,0,0,2,2,0,3,1,1,1,4,0,2,-15
2021-04-14,DET,LAC,0,-2,25.02,10,4,3,0,0,0,1,3,6,1,0,1,2,8,-11
2021-04-16,DET,OKC,0,6,26.75,10,3,2,1,2,2,0,4,7,5,1,2,2,9,11
2021-04-19,DET,CLE,0,4,33.38,8,5,1,0,2,2,1,3,9,1,0,5,3,12,3
2021-04-22,DET,SAS,1,-15,30.63,15,5,4,1,1,1,0,0,5,1,1,4,2,12,-10
2021-04-24,DET,IND,1,-6,18.3,1,0,0,0,0,0,0,2,5,0,0,5,1,0,1
2021-04-26,DET,ATL,0,14,23.2,5,1,0,0,0,0,1,4,5,3,0,3,4,2,11
2021-04-29,DET,DAL,0,-10,29.98,6,1,2,0,0,0,0,1,11,2,0,3,2,2,-7
2021-05-01,DET,CHO,1,-13,31.78,11,4,5,2,0,0,0,6,6,2,1,4,1,10,-9
2021-05-03,DET,ORL,0,-7,27.7,7,3,0,0,1,2,0,2,7,2,0,5,3,7,-1
2021-05-04,DET,CHO,0,-3,28.97,6,1,5,1,1,2,0,5,7,1,1,7,4,4,-8
2021-05-08,DET,PHI,1,-14,21.37,8,4,3,2,0,0,1,1,6,0,0,2,2,10,-2
2021-05-09,DET,CHI,0,-12,38.42,17,9,6,3,0,0,0,7,8,0,0,7,2,21,-8
2021-05-11,DET,MIN,0,-19,35.88,13,5,3,1,2,2,0,6,7,0,0,3,3,13,-15
2021-05-14,DET,DEN,0,-13,37.6,8,1,6,0,0,0,0,3,7,1,2,2,1,2,-12
2021-05-16,DET,MIA,0,-13,30.9,7,3,5,2,2,2,0,0,4,1,0,3,5,10,-9
