Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-29,NOP,PHO,1,-25,9.63,7,2,2,0,0,0,0,0,1,1,0,0,0,4,10
2020-12-31,NOP,OKC,1,33,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2021-01-13,NOP,LAC,1,-5,15.57,6,3,3,2,2,2,0,2,0,0,1,1,2,10,-6
2021-01-15,NOP,LAL,1,-17,10.7,8,2,3,0,0,0,0,0,2,0,0,0,1,4,2
2021-01-17,NOP,SAC,1,5,15.1,5,1,0,0,1,2,0,2,5,0,0,0,3,3,9
2021-01-19,NOP,UTA,1,-16,3.65,3,1,0,0,2,2,0,0,0,0,0,0,0,4,0
2021-01-21,NOP,UTA,1,-11,1.98,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6
2021-01-30,NOP,HOU,0,-14,9.88,5,3,2,2,2,4,0,0,1,0,0,0,0,10,4
2021-02-01,NOP,SAC,0,-9,15.62,6,1,0,0,0,0,0,1,1,1,0,0,1,2,-10
2021-02-03,NOP,PHO,0,22,2.55,2,1,1,0,0,0,0,0,0,0,0,0,0,2,-4
2021-02-06,NOP,MEM,0,9,18.85,6,3,2,0,0,0,0,1,4,1,0,2,2,6,-16
2021-02-09,NOP,HOU,0,29,19.85,6,3,0,0,4,4,0,2,1,0,0,2,3,10,12
2021-02-10,NOP,CHI,1,-13,23.75,7,5,3,2,2,4,1,2,4,2,0,0,2,14,-5
2021-02-12,NOP,DAL,1,-13,16.62,5,2,2,1,0,0,0,2,0,0,0,1,1,5,-2
2021-02-14,NOP,DET,1,-11,16.67,9,4,5,2,0,0,0,0,2,4,0,1,0,10,-5
2021-02-16,NOP,MEM,1,31,22.18,6,2,2,0,0,0,0,1,4,1,0,1,2,4,5
2021-02-17,NOP,POR,0,-2,17.48,6,2,4,2,0,2,1,2,4,0,0,0,0,6,11
2021-02-19,NOP,PHO,0,-18,18.78,8,0,4,0,0,0,0,1,4,1,0,0,2,0,-10
2021-02-21,NOP,BOS,0,5,6.83,0,0,0,0,0,0,0,0,3,0,0,0,0,0,-7
2021-02-24,NOP,DET,0,10,6.83,4,2,2,1,0,0,0,0,0,0,0,1,3,5,-6
2021-03-04,NOP,MIA,0,-10,17.15,9,5,4,1,0,0,0,1,1,1,0,0,3,11,7
2021-03-11,NOP,MIN,0,-30,22.08,12,5,3,1,0,0,1,2,4,3,1,0,1,11,-21
2021-03-12,NOP,CLE,0,34,22.87,10,2,2,1,0,0,1,3,0,1,0,2,3,5,1
