Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-27,LAL,MIN,0,36,7.67,2,0,0,0,4,0,0,2,2,1,0
2021-02-24,LAL,UTA,1,-25,5.12,0,0,0,0,1,0,0,0,1,0,1
2021-02-28,LAL,GSW,0,26,6.37,1,1,0,0,3,0,1,0,2,2,2
2021-03-21,LAL,PHO,1,-17,1.78,0,0,0,0,1,0,0,0,0,0,1
2021-03-23,LAL,NOP,1,-17,3.27,1,1,0,0,0,0,1,1,1,0,2
2021-03-26,LAL,CLE,0,14,1.93,0,0,0,0,1,0,0,0,0,0,0
2021-03-31,LAL,MIL,0,-15,2.3,1,0,0,0,0,0,0,0,0,0,0
2021-04-02,LAL,SAC,1,21,3.18,0,0,0,0,1,0,0,0,0,0,0
2021-04-04,LAL,LAC,1,-18,3.35,0,0,0,0,1,0,0,0,2,0,0
2021-04-06,LAL,TOR,1,9,1.22,0,0,0,0,0,0,0,0,0,2,0
2021-04-10,LAL,BRK,1,25,2.6,2,1,0,0,1,1,0,0,0,0,3
2021-04-12,LAL,NYK,1,-15,2.53,0,0,0,0,0,0,0,0,1,1,0
2021-04-15,LAL,BOS,0,-8,7.02,1,0,0,0,4,0,0,1,1,1,2
2021-04-19,LAL,UTA,0,-14,4.83,2,0,0,0,2,0,0,0,0,0,1
2021-05-06,LAL,LAC,1,-24,2.65,0,0,0,0,0,0,0,0,1,1,0
