Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,SAS,MEM,1, +12,28:46,17,9,4,1,3,1,0,1,2,3,20
2020-12-26,SAS,TOR,0, +5,28:43,14,5,5,1,6,4,0,1,0,2,12
2020-12-27,SAS,NOP,1, -3,20:15,7,2,2,0,4,1,0,2,2,3,4
2021-01-05,SAS,LAC,1, +3,25:14,16,6,6,2,6,2,1,0,1,0,14
2021-01-07,SAS,LAL,1, +9,31:20,18,11,7,3,5,3,0,0,1,1,28
2021-01-09,SAS,MIN,1, +3,32:46,11,4,3,1,3,1,2,1,0,4,10
2021-01-10,SAS,MIN,1, -8,36:43,21,9,3,1,9,4,1,0,2,2,20
2021-01-12,SAS,OKC,1, +10,31:34,16,6,4,1,10,6,1,2,2,3,13
2021-01-14,SAS,HOU,0, -4,30:21,10,4,6,1,2,1,0,0,2,3,11
2021-01-16,SAS,HOU,0, +12,17:26,7,2,0,0,2,2,0,0,1,0,4
2021-01-18,SAS,POR,1, +21,24:15,17,10,1,0,2,1,1,1,1,0,22
2021-01-20,SAS,GSW,1, -22,23:18,8,2,3,0,3,0,0,1,0,1,4
2021-01-22,SAS,DAL,0, -5,30:21,18,11,7,4,9,2,0,1,1,1,26
2021-01-24,SAS,WAS,0, +20,24:05,13,7,3,1,2,0,0,2,0,1,15
2021-01-27,SAS,BOS,0, +4,28:19,14,8,6,3,3,2,0,2,0,1,20
2021-01-29,SAS,DEN,0, +10,22:14,3,1,1,1,3,3,0,0,0,1,5
2021-01-30,SAS,MEM,0, -17,26:10,7,5,2,2,5,2,0,1,0,1,14
2021-02-01,SAS,MEM,0, -31,18:15,8,5,4,2,1,0,1,1,1,0,12
2021-02-24,SAS,OKC,1, -3,25:47,10,3,3,2,7,1,1,1,2,1,11
2021-02-27,SAS,NOP,0, +3,23:11,10,5,3,1,5,0,0,1,0,5,21
2021-03-01,SAS,BRK,0, -11,15:08,3,0,2,0,4,0,0,0,2,3,2
2021-04-01,BRK,CHO,0, +22,29:30,10,4,1,1,9,6,2,1,0,2,11
2021-04-04,BRK,CHI,1, -8,26:29,10,5,1,1,3,1,0,3,1,2,11
2021-04-05,BRK,NYK,0, +2,29:00,8,3,1,0,6,2,1,2,2,2,8
2021-04-07,BRK,NOP,0, +28,22:41,12,8,2,2,3,2,0,2,2,2,22
2021-04-10,BRK,LAL,0, -25,22:35,8,5,0,0,3,2,0,3,2,3,12
