Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-27,CLE,PHI,0, +24,4:40,1,0,0,0,2,0,0,0,0,0,2
2020-12-31,CLE,IND,1, -20,2:21,0,0,0,0,0,0,0,0,0,0,0
2021-01-04,CLE,ORL,1, -20,14:46,8,2,2,1,0,0,3,0,1,1,6
2021-01-06,CLE,ORL,1, -11,20:35,9,4,2,0,6,1,0,0,0,2,10
2021-01-07,CLE,MEM,1, +4,20:32,3,1,0,0,3,0,0,0,2,1,2
2021-01-09,CLE,MIL,1, -10,11:36,1,0,1,0,1,0,0,0,0,1,0
2021-01-11,CLE,MEM,0, -10,10:02,2,2,0,0,0,0,0,0,0,0,4
2021-01-12,CLE,UTA,0, -30,23:01,8,4,1,0,3,2,1,0,0,0,9
2021-01-15,CLE,NYK,0, +3,20:41,5,2,1,0,5,4,0,0,0,1,6
2021-01-22,CLE,BRK,0, +12,0:50,0,0,0,0,0,0,0,0,0,0,0
2021-02-01,CLE,MIN,0, +2,14:11,5,2,1,0,4,1,0,1,0,1,5
2021-02-03,CLE,LAC,0, -22,21:04,5,3,0,0,5,0,1,2,1,1,7
2021-02-05,CLE,MIL,0, -18,17:37,3,2,0,0,3,2,0,1,1,3,4
2021-02-06,CLE,MIL,0, -25,4:32,2,0,1,0,2,0,0,0,0,1,1
2021-02-10,CLE,DEN,1, -38,16:52,9,1,4,0,3,2,2,0,3,0,3
2021-02-12,CLE,POR,1, -19,25:42,8,3,1,0,6,1,1,0,0,4,10
2021-02-14,CLE,LAC,1, -17,16:38,5,3,1,1,3,2,0,1,0,4,7
2021-02-15,CLE,GSW,1, -31,18:57,3,2,0,0,0,4,0,0,0,2,6
2021-02-19,CLE,DEN,0, -17,13:47,4,1,0,0,4,0,0,1,1,1,2
2021-02-21,CLE,OKC,0, -16,8:18,0,0,0,0,2,0,0,0,2,2,2
2021-02-23,CLE,ATL,0, +1,15:57,5,4,1,0,4,2,2,0,0,2,8
2021-02-24,CLE,HOU,0, +16,11:18,5,2,0,0,0,2,1,1,1,4,5
2021-02-27,CLE,PHI,1, +3,19:25,3,0,1,0,4,0,0,1,2,3,0
2021-03-01,CLE,HOU,1, +11,12:30,0,0,0,0,3,0,0,0,1,1,2
2021-03-12,CLE,NOP,1, -34,2:26,2,1,0,0,0,0,0,0,0,0,2
2021-03-14,CLE,ATL,1, -18,5:30,0,0,0,0,0,0,0,0,0,1,0
2021-03-19,CLE,SAS,0, -6,17:16,9,4,2,0,11,1,1,0,0,4,15
2021-03-22,CLE,SAC,0, -14,12:57,6,4,0,0,2,0,2,1,0,1,8
2021-03-24,CLE,CHI,1, +9,5:07,1,1,0,0,2,0,0,0,0,0,2
2021-03-26,CLE,LAL,1, -14,10:39,3,3,0,0,2,0,0,1,2,2,6
2021-03-27,CLE,SAC,1, -2,14:35,2,2,1,1,4,0,1,0,0,1,6
2021-03-29,CLE,UTA,1, -39,20:48,7,2,3,1,2,0,1,2,1,0,5
2021-04-01,CLE,PHI,0, -20,6:10,2,1,1,0,2,0,0,0,1,0,2
2021-04-05,CLE,SAS,1, +24,8:29,3,2,0,0,3,0,0,0,0,1,6
2021-04-08,CLE,OKC,1, +27,10:23,2,1,1,0,1,0,0,0,0,1,4
2021-04-10,CLE,TOR,0, -20,8:43,1,0,0,0,1,0,1,0,2,2,0
2021-04-11,CLE,NOP,0, -7,16:51,3,2,0,0,1,0,0,1,1,3,4
2021-04-15,CLE,GSW,0, -18,1:18,0,0,0,0,0,0,0,0,0,0,2
2021-04-21,CLE,CHI,0, +16,2:59,1,1,0,0,2,0,0,0,0,1,2
2021-04-25,CLE,WAS,1, -9,8:36,0,0,0,0,0,1,0,0,1,1,0
