Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,CHI,ATL,0,-20,30.2,9,6,6,4,5,5,1,7,4,2,0,2,1,21,-34
2020-12-26,CHI,IND,0,-19,27.15,14,6,8,2,2,3,2,9,0,0,0,2,2,16,-15
2020-12-27,CHI,GSW,0,-1,29.25,13,7,7,4,5,7,0,7,1,1,1,2,1,23,13
2020-12-29,CHI,WAS,1,8,19.25,8,3,2,1,2,3,1,4,0,0,0,1,2,9,-2
2021-01-15,CHI,OKC,1,-2,35.02,14,5,9,3,3,3,1,6,0,1,2,2,5,16,-8
2021-01-17,CHI,DAL,1,16,32.93,19,10,7,2,7,8,1,10,3,0,0,2,2,29,5
2021-01-18,CHI,HOU,0,5,33.67,12,5,11,4,4,4,0,7,0,2,0,2,3,18,-6
2021-01-22,CHI,CHO,1,13,29.57,17,10,8,3,0,0,1,2,0,1,1,1,2,23,-5
2021-01-23,CHI,LAL,0,-11,35.92,14,5,5,0,2,2,0,7,1,1,0,2,3,12,-14
2021-01-25,CHI,BOS,0,-16,31.1,12,7,6,3,1,2,1,6,1,0,0,1,3,18,-15
2021-01-30,CHI,POR,0,-1,35.75,18,12,11,6,1,1,0,6,0,0,1,2,1,31,8
2021-02-01,CHI,NYK,0,8,33.6,18,11,12,6,2,2,0,5,2,1,0,4,1,30,16
2021-02-03,CHI,NYK,0,-4,35.62,8,3,4,0,3,4,0,4,0,0,0,0,3,9,-8
2021-02-05,CHI,ORL,1,-4,17.15,9,5,5,2,1,1,0,5,0,0,0,1,2,13,-16
2021-03-11,CHI,PHI,0,-22,27.53,11,8,7,7,0,0,0,4,0,0,1,1,1,23,-13
2021-03-12,CHI,MIA,0,-11,33.05,18,8,10,4,0,0,1,6,2,0,0,2,2,20,-9
2021-03-14,CHI,TOR,0,23,32.07,12,4,9,2,3,3,0,7,1,1,1,0,0,13,8
2021-03-16,CHI,OKC,0,21,32.27,14,7,9,3,5,7,1,5,1,0,2,1,3,22,25
