Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-22,LAL,LAC,0,-7,28.35,17,7,8,3,5,7,2,5,5,0,0,4,2,22,2
2020-12-25,LAL,DAL,0,23,31.4,18,8,8,3,3,4,1,7,10,1,0,4,0,22,16
2020-12-27,LAL,MIN,0,36,26.2,13,6,5,1,5,7,0,9,5,1,0,4,1,18,16
2020-12-28,LAL,POR,0,-8,35.92,20,11,7,3,4,5,2,9,6,2,1,3,2,29,0
2020-12-30,LAL,SAS,1,14,35.22,23,11,3,1,3,5,0,5,8,1,1,2,1,26,-1
2021-01-01,LAL,SAS,1,6,35.68,22,8,7,3,7,7,1,11,10,2,0,4,0,26,18
2021-01-03,LAL,MEM,1,14,32.0,16,9,6,3,1,3,0,13,8,1,0,2,2,22,19
2021-01-05,LAL,MEM,1,2,34.08,20,11,4,1,3,3,2,12,7,1,1,6,0,26,20
2021-01-07,LAL,SAS,0,-9,34.9,15,8,7,4,7,11,0,6,12,0,0,4,3,27,-10
2021-01-08,LAL,CHI,0,2,34.15,21,11,5,0,6,8,0,7,7,0,0,4,1,28,9
2021-01-10,LAL,HOU,1,18,30.35,15,7,6,1,3,6,1,7,7,1,1,2,2,18,10
2021-01-12,LAL,HOU,1,17,29.18,20,10,9,4,2,4,1,8,5,0,1,5,0,26,15
2021-01-13,LAL,OKC,1,29,27.48,20,9,8,5,3,4,0,6,7,0,0,2,2,26,14
2021-01-15,LAL,NOP,0,17,30.5,11,6,6,2,7,7,1,8,11,1,0,3,3,21,14
2021-01-18,LAL,GSW,0,-2,37.97,16,6,7,2,5,8,0,5,5,1,0,5,1,19,-9
2021-01-21,LAL,MIL,1,7,38.07,25,13,10,6,2,2,1,6,8,1,1,3,2,34,15
2021-01-23,LAL,CHI,1,11,28.5,16,6,2,0,5,8,0,11,6,2,0,6,1,17,9
2021-01-25,LAL,CLE,1,7,38.12,26,19,11,7,1,2,0,8,6,2,2,3,1,46,11
2021-01-27,LAL,PHI,1,-1,38.53,22,12,5,2,8,11,0,6,7,0,0,3,3,34,3
2021-01-28,LAL,DET,1,-15,35.75,19,8,8,4,2,3,2,7,10,1,0,2,2,22,-11
2021-01-30,LAL,BOS,1,1,37.35,17,7,11,4,3,5,1,7,7,0,1,5,3,21,11
2021-02-01,LAL,ATL,1,8,37.97,12,5,6,2,9,11,0,7,9,2,1,2,0,21,10
2021-02-04,LAL,DEN,0,21,35.45,19,12,5,2,1,2,0,10,10,0,1,2,1,27,21
2021-02-06,LAL,DET,0,6,46.48,26,13,7,3,4,6,0,5,11,4,0,7,3,33,8
2021-02-08,LAL,OKC,0,7,42.5,22,11,10,2,4,5,0,14,12,2,2,5,3,28,8
2021-02-10,LAL,OKC,0,1,41.05,20,9,9,3,4,4,0,6,7,2,0,5,2,25,6
2021-02-12,LAL,MEM,0,10,34.13,15,9,4,1,9,14,1,9,8,2,0,5,2,28,8
2021-02-14,LAL,DEN,1,-17,30.93,18,9,5,0,4,7,1,10,9,0,1,1,2,22,-17
2021-02-16,LAL,MIN,1,8,37.88,20,13,4,1,3,4,0,13,7,0,1,5,1,30,4
2021-02-18,LAL,BRK,0,-11,32.98,23,14,6,1,3,6,0,8,7,0,0,3,1,32,-7
2021-02-20,LAL,MIA,0,-2,37.45,21,7,8,1,4,4,1,9,9,1,1,5,3,19,11
2021-02-22,LAL,WAS,0,-3,43.25,29,14,10,2,1,3,0,9,13,1,0,8,2,31,3
2021-02-24,LAL,UTA,1,-25,27.82,13,7,5,1,4,5,0,4,4,1,0,4,0,19,-20
2021-02-26,LAL,POR,0,9,35.57,21,11,5,2,4,8,1,11,7,4,3,2,1,28,9
2021-02-28,LAL,GSW,0,26,24.4,12,7,5,3,2,4,2,6,4,2,2,2,2,19,18
2021-03-02,LAL,PHO,0,-10,37.63,24,16,8,3,3,5,0,5,6,2,1,3,1,38,2
2021-03-12,LAL,IND,0,5,34.35,13,5,4,1,7,11,0,3,10,1,0,3,4,18,11
2021-03-15,LAL,GSW,1,31,30.48,13,8,4,2,4,6,1,10,11,0,0,6,3,22,33
2021-03-16,LAL,MIN,0,16,31.2,14,8,7,4,5,5,1,12,12,0,1,4,0,25,0
2021-03-18,LAL,CHO,0,11,36.5,23,14,9,4,5,6,1,8,6,1,1,3,2,37,7
2021-03-20,LAL,ATL,0,-5,10.6,6,3,2,1,3,3,0,1,4,0,0,1,0,10,-5
2021-04-30,LAL,SAC,0,-4,31.85,12,6,5,1,3,5,1,8,7,2,1,5,1,16,5
2021-05-02,LAL,TOR,0,-7,27.55,11,6,5,2,5,7,0,7,6,0,0,5,2,19,-4
2021-05-15,LAL,IND,1,7,28.45,22,11,4,1,1,2,3,7,8,0,0,4,2,24,7
2021-05-16,LAL,NOP,1,12,27.47,22,11,5,2,1,2,1,1,6,3,0,2,0,25,-2
